ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-03-27 19:16:31:751
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,160,0,0.00,0.00,178.48,240.85,162.96,117.06,3.22,3.34,2.63,3.09,56.55,44.94,124.00,80.00,217.00,170.00,0.00,0.00,134.43,218.99,192.88,140.17,20.65,5.71,167.34,245.12,190.35,139.21,6.92,6.33,773.14,376.71,0.00,0.00,1.525,199.399,47.770,4.564,-3.48,-3.65,-3.03,2.64,1.10,1.02,0.970,0.976,0.243,0.217,0.017,0.017,
0.017,11111100,2,0,0,163,0,0.00,0.00,178.56,240.95,162.90,117.25,3.21,3.31,2.61,3.02,56.51,45.01,124.00,81.00,214.00,169.00,0.00,0.00,135.60,219.08,191.67,140.10,14.77,5.52,167.16,245.11,190.13,139.05,6.73,6.24,773.28,377.14,0.00,0.00,1.545,196.806,47.314,5.020,-3.48,-3.65,-3.03,2.64,1.10,1.02,0.970,0.976,0.244,0.217,0.019,0.019,
0.139,11111100,21,0,0,5,0,0.00,0.00,178.66,241.13,162.53,116.49,3.16,3.29,2.56,3.02,56.41,46.95,124.00,79.00,214.00,169.00,0.00,0.00,134.49,219.08,192.99,139.92,19.37,5.58,167.09,245.13,190.04,138.96,6.64,6.37,773.44,376.44,0.00,0.00,1.557,195.086,47.115,3.696,-3.48,-3.65,-3.03,2.64,1.10,1.02,0.969,0.976,0.245,0.218,0.013,0.013,
0.172,11111100,5,0,0,11,0,0.00,0.00,178.69,241.29,162.52,116.17,3.15,3.28,2.54,3.06,56.33,48.59,123.00,80.00,214.00,169.00,0.00,0.00,132.12,219.08,195.36,139.92,25.10,5.58,167.16,245.00,190.13,138.86,6.73,6.66,773.77,375.47,0.00,0.00,1.565,194.134,47.043,3.144,-3.48,-3.65,-3.03,2.64,1.10,1.02,0.969,0.976,0.246,0.219,0.010,0.010,
0.244,11111100,12,0,0,24,0,0.00,0.00,178.89,241.29,162.30,116.17,3.14,3.28,2.52,3.06,56.38,48.59,123.00,80.00,214.00,169.00,0.00,0.00,133.86,219.08,193.73,139.92,20.30,5.58,167.09,245.00,190.04,138.86,6.64,6.66,774.15,374.48,0.00,0.00,1.574,192.857,46.930,2.967,-3.48,-3.65,-3.03,2.64,1.10,1.02,0.969,0.975,0.247,0.220,0.009,0.010,
0.261,11111100,2,0,0,27,0,0.00,0.00,178.89,240.81,162.30,116.23,3.13,3.28,2.52,3.02,56.38,50.00,123.00,79.00,214.00,169.00,0.00,0.00,133.86,218.59,193.73,139.53,20.30,5.43,167.09,244.80,190.04,138.62,6.64,6.50,774.37,373.79,0.00,0.00,1.593,190.665,46.129,3.472,-3.48,-3.65,-3.03,2.64,1.10,1.02,0.969,0.976,0.245,0.218,0.012,0.012,
0.278,11111100,2,0,0,30,0,0.00,0.00,169.27,232.45,159.52,116.30,3.17,3.32,2.59,3.04,55.09,48.71,121.00,78.00,211.00,174.00,0.00,0.00,134.00,215.05,188.98,139.19,5.62,5.52,163.35,241.38,189.27,138.24,6.69,6.78,767.38,373.35,0.00,0.00,1.615,193.220,31.730,3.696,-3.48,-3.65,-3.03,2.64,1.10,1.02,0.985,0.989,0.174,0.146,0.013,0.013,
0.322,11111100,7,0,0,38,0,0.00,0.00,155.38,232.45,158.05,116.30,3.17,3.33,2.74,3.05,52.13,48.71,121.00,78.00,205.00,174.00,0.00,0.00,127.84,215.05,188.87,139.19,6.73,5.52,157.27,241.38,188.46,138.24,6.78,6.78,754.91,372.51,0.00,0.00,0.976,326.298,34.558,5.998,-3.48,-3.65,-3.03,2.64,1.10,1.02,0.993,0.995,0.113,0.096,0.015,0.015,
0.361,11111100,6,0,0,45,0,0.00,0.00,155.38,217.84,158.05,118.58,3.16,3.32,2.74,3.21,52.13,40.20,121.00,86.00,205.00,174.00,0.00,0.00,127.84,208.20,188.87,139.84,6.73,5.52,157.27,234.88,188.46,139.36,6.78,6.36,736.15,373.25,0.00,0.00,1.023,313.266,12.274,7.887,-3.48,-3.65,-3.03,2.64,1.10,1.02,0.999,0.999,0.048,0.030,0.021,0.022,
0.400,11111100,6,0,0,52,0,0.00,0.00,155.45,217.84,157.44,118.58,3.19,3.32,2.76,3.21,47.14,40.20,119.00,86.00,205.00,174.00,0.00,0.00,127.61,208.20,188.41,139.84,6.60,5.52,157.24,234.88,188.09,139.36,6.50,6.36,717.34,374.04,0.00,0.00,1.063,301.479,11.916,6.906,-3.48,-3.65,-3.03,2.64,1.10,1.02,0.999,0.999,0.049,0.030,0.019,0.019,
