ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-02-12 14:14:27:236
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,135,1,0.00,0.00,129.23,193.62,171.07,87.16,3.88,3.76,3.07,3.46,7.79,43.49,134.00,59.00,205.00,119.00,0.00,0.00,109.50,183.36,177.70,97.90,3.93,4.15,123.03,196.00,178.00,97.00,3.87,2.00,740.00,541.53,0.00,0.00,2.126,134.203,23.808,33.249,-4.63,-4.76,-2.48,2.94,0.58,0.53,0.957,0.963,0.181,0.145,0.225,0.227,
0.006,11111100,0,0,0,136,1,0.00,0.00,130.06,193.71,170.71,86.94,3.67,3.75,3.28,3.27,19.42,43.12,134.00,59.00,205.00,119.00,0.00,0.00,109.54,183.00,177.90,97.00,3.61,2.00,123.00,196.00,178.00,97.00,3.46,2.00,740.52,538.21,0.00,0.00,2.154,132.136,24.559,32.171,-4.64,-4.75,-2.48,2.94,0.58,0.53,0.957,0.963,0.189,0.152,0.221,0.223,
0.011,11111100,0,0,0,137,1,0.00,0.00,129.72,193.65,170.72,87.35,3.62,3.72,3.44,3.55,23.03,44.09,134.00,59.00,198.00,119.00,0.00,0.00,109.50,183.00,177.70,97.00,3.93,2.00,123.00,197.00,178.00,97.00,3.46,2.00,740.61,537.29,0.00,0.00,2.180,130.375,23.754,32.619,-4.64,-4.74,-2.48,2.94,0.58,0.53,0.956,0.962,0.186,0.148,0.227,0.228,
0.017,11111100,0,0,0,138,1,0.00,0.00,129.98,193.77,170.31,87.14,3.58,3.75,3.32,3.56,28.74,43.55,134.00,59.00,197.00,119.00,0.00,0.00,109.54,183.36,177.90,97.90,3.61,4.15,123.00,196.00,178.00,97.00,3.46,2.00,740.65,537.28,0.00,0.00,2.210,128.712,23.795,31.082,-4.64,-4.74,-2.48,2.94,0.58,0.53,0.957,0.964,0.189,0.151,0.219,0.221,
0.022,11111100,0,0,0,139,1,0.00,0.00,129.66,193.77,170.72,87.14,3.57,3.76,3.25,3.57,33.43,43.55,135.00,59.00,206.00,119.00,0.00,0.00,109.50,183.36,178.00,97.90,3.45,4.15,123.00,196.00,178.00,97.00,3.46,2.00,741.02,533.04,0.00,0.00,2.223,127.935,23.284,31.308,-4.64,-4.74,-2.48,2.94,0.58,0.53,0.957,0.963,0.186,0.148,0.222,0.223,
0.028,11111100,0,0,0,170,1,0.00,0.00,129.87,192.84,170.02,87.22,3.60,3.72,3.27,3.51,15.98,45.57,134.00,59.00,205.00,119.00,0.00,0.00,109.28,136.20,177.59,135.84,4.22,9.14,123.00,183.00,178.00,97.50,3.46,2.24,741.02,533.74,0.00,0.00,2.272,125.200,22.171,31.028,-4.64,-4.74,-2.48,2.94,0.58,0.53,0.957,0.964,0.182,0.143,0.225,0.226,
0.200,11111100,30,0,0,171,1,0.00,0.00,128.97,192.84,170.74,87.22,3.56,3.72,3.22,3.51,38.00,45.57,134.00,59.00,205.00,119.00,0.00,0.00,108.93,136.20,177.91,135.84,4.40,9.14,122.64,183.00,178.05,97.50,3.53,2.24,740.48,533.16,0.00,0.00,2.288,124.615,21.393,30.255,-4.64,-4.74,-2.48,2.94,0.58,0.53,0.959,0.965,0.177,0.138,0.220,0.222,
0.211,11111100,1,0,0,173,1,0.00,0.00,128.97,192.84,170.74,86.13,3.55,3.78,3.21,3.55,38.00,43.52,134.00,59.00,205.00,118.00,0.00,0.00,108.93,183.00,177.91,97.50,4.40,2.24,122.64,195.00,178.05,97.00,3.53,2.00,739.14,531.71,0.00,0.00,2.296,124.469,21.332,28.778,-4.64,-4.75,-2.48,2.94,0.58,0.53,0.961,0.968,0.177,0.138,0.210,0.212,
0.217,11111100,0,0,0,174,1,0.00,0.00,129.06,192.84,170.98,86.13,3.55,3.80,3.21,3.58,36.86,43.52,134.00,59.00,205.00,118.00,0.00,0.00,108.93,183.00,177.91,97.50,4.40,2.24,122.64,195.00,178.05,97.00,3.53,2.00,738.24,529.87,0.00,0.00,2.301,124.085,21.398,29.105,-4.64,-4.75,-2.48,2.94,0.58,0.53,0.961,0.967,0.178,0.139,0.213,0.214,
0.228,11111100,1,0,0,176,1,0.00,0.00,129.06,192.62,170.69,87.34,3.60,3.81,3.23,3.46,33.64,45.64,134.00,59.00,205.00,118.00,0.00,0.00,108.79,183.00,177.62,97.50,4.15,2.24,122.64,196.00,178.05,97.00,3.53,2.00,737.01,530.64,0.00,0.00,2.328,122.277,20.993,30.324,-4.64,-4.75,-2.48,2.93,0.58,0.53,0.958,0.964,0.177,0.137,0.225,0.226,
