ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-02-08 18:26:59:376
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,168,1,0.00,0.00,172.31,219.34,196.96,101.48,4.87,5.14,4.37,4.83,60.67,46.12,147.00,61.00,239.00,150.00,0.00,0.00,132.43,196.38,200.25,110.50,6.90,6.17,160.68,223.03,200.64,109.91,5.17,6.05,778.27,629.98,0.00,0.00,4.350,65.981,16.547,25.113,-3.55,-3.62,-2.96,2.90,1.06,1.03,0.913,0.929,0.256,0.182,0.316,0.322,
0.006,11111100,0,0,0,169,1,0.00,0.00,172.32,219.35,196.94,102.00,4.88,5.10,4.37,4.85,60.80,45.19,147.00,61.00,239.00,151.00,0.00,0.00,132.50,196.50,200.31,110.50,6.93,5.56,160.68,223.10,200.64,109.71,5.17,5.99,778.76,630.44,0.00,0.00,4.346,65.916,16.550,25.470,-3.55,-3.62,-2.96,2.90,1.06,1.03,0.912,0.928,0.256,0.182,0.320,0.326,
0.011,11111100,0,0,0,170,1,0.00,0.00,172.33,219.48,196.88,101.12,4.87,5.16,4.38,4.83,60.79,48.80,147.00,61.00,239.00,151.00,0.00,0.00,132.50,196.38,200.31,110.50,6.93,6.17,160.68,223.12,200.64,109.90,5.17,5.87,779.15,629.69,0.00,0.00,4.347,66.090,16.609,24.814,-3.55,-3.62,-2.96,2.90,1.06,1.03,0.915,0.930,0.257,0.183,0.312,0.318,
0.033,11111100,3,0,0,174,1,0.00,0.00,172.41,219.63,196.86,102.02,4.89,5.06,4.36,4.90,60.57,48.59,147.00,60.00,239.00,150.00,0.00,0.00,132.58,196.42,200.33,110.51,7.11,5.97,160.83,223.23,200.59,109.95,5.28,6.20,779.59,629.84,0.00,0.00,4.331,66.154,16.709,25.407,-3.55,-3.62,-2.96,2.90,1.06,1.03,0.912,0.928,0.257,0.184,0.319,0.324,
0.172,11111100,24,0,0,19,1,0.00,0.00,173.41,220.74,196.56,100.71,4.90,5.08,4.34,4.74,60.87,51.64,147.00,61.00,239.00,150.00,0.00,0.00,132.95,196.91,200.00,110.18,7.03,5.87,161.13,224.00,200.50,109.73,5.21,6.22,780.81,628.22,0.00,0.00,4.316,66.373,17.396,24.674,-3.55,-3.61,-2.96,2.90,1.06,1.03,0.913,0.930,0.266,0.193,0.308,0.314,
0.189,11111100,2,0,0,22,1,0.00,0.00,178.47,227.09,197.33,100.20,4.88,5.14,4.26,4.73,61.80,53.55,149.00,62.00,239.00,142.00,0.00,0.00,134.32,199.35,200.72,110.16,7.33,5.99,163.32,226.10,200.85,109.71,4.94,5.99,786.84,626.57,0.00,0.00,4.173,67.221,21.224,24.566,-3.55,-3.61,-2.96,2.90,1.06,1.03,0.903,0.922,0.308,0.238,0.300,0.306,
0.200,11111100,1,0,0,24,1,0.00,0.00,180.71,228.48,197.22,99.35,4.86,5.16,4.06,4.61,63.57,54.52,150.00,58.00,239.00,142.00,0.00,0.00,134.74,200.51,200.89,109.76,7.07,6.54,164.47,227.02,200.86,109.45,5.30,6.12,794.59,624.18,0.00,0.00,4.132,67.384,22.530,24.279,-3.55,-3.61,-2.96,2.90,1.06,1.03,0.899,0.919,0.323,0.254,0.294,0.301,
0.217,11111100,2,0,0,27,1,0.00,0.00,180.71,228.22,197.22,99.91,4.84,5.14,4.05,4.65,63.57,53.57,150.00,58.00,239.00,142.00,0.00,0.00,134.74,200.46,200.89,109.57,7.07,6.69,164.47,227.21,200.86,109.22,5.30,6.12,802.27,622.09,0.00,0.00,4.134,67.225,22.447,24.785,-3.55,-3.61,-2.96,2.90,1.06,1.03,0.898,0.917,0.322,0.253,0.301,0.308,
0.222,11111100,0,0,0,28,1,0.00,0.00,180.62,228.22,197.10,99.91,4.83,5.14,4.11,4.65,64.42,53.57,149.00,58.00,239.00,142.00,0.00,0.00,134.66,200.46,200.89,109.57,7.25,6.69,164.60,227.21,200.75,109.22,5.03,6.12,809.77,621.10,0.00,0.00,4.136,67.276,22.350,24.695,-3.55,-3.61,-2.96,2.90,1.06,1.03,0.898,0.918,0.321,0.252,0.300,0.306,
0.228,11111100,0,0,0,29,1,0.00,0.00,180.62,228.52,197.10,99.58,4.83,5.17,4.10,4.63,64.42,54.43,149.00,58.00,239.00,142.00,0.00,0.00,134.66,200.62,200.89,109.82,7.25,6.22,164.60,227.22,200.75,109.33,5.03,6.24,817.22,618.37,0.00,0.00,4.119,67.641,22.520,24.411,-3.55,-3.61,-2.96,2.90,1.06,1.03,0.900,0.919,0.322,0.253,0.295,0.302,
