ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-02-07 14:12:32:774
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,146,1,0.00,0.00,120.60,238.70,208.43,117.97,3.41,3.21,2.53,2.99,-18.15,13.81,166.00,71.00,239.00,161.00,0.00,0.00,106.93,229.68,219.50,132.61,3.98,3.73,123.64,248.50,220.05,132.30,3.54,3.94,668.79,454.34,0.00,0.00,0.186,1507.209,56.951,206.440,-4.37,-4.15,-2.63,2.33,0.92,1.01,0.990,0.990,0.039,0.036,0.135,0.135,
0.006,11111100,0,0,0,147,1,0.00,0.00,120.80,237.91,207.53,117.59,3.35,3.20,2.70,3.01,-18.86,11.14,166.00,71.00,239.00,161.00,0.00,0.00,106.72,229.00,219.41,132.50,4.22,3.00,123.64,248.31,220.05,131.59,3.54,4.43,666.14,454.05,0.00,0.00,0.186,1508.889,50.570,196.239,-4.37,-4.15,-2.64,2.33,0.92,1.01,0.991,0.991,0.035,0.032,0.128,0.128,
0.011,11111100,0,0,0,148,1,0.00,0.00,120.80,237.97,207.88,117.78,3.23,3.20,2.86,3.03,-21.55,12.12,166.00,71.00,239.00,161.00,0.00,0.00,106.72,228.89,219.41,132.27,4.22,3.50,123.50,247.99,220.10,131.50,4.62,4.16,663.73,453.95,0.00,0.00,0.186,1510.400,50.727,206.072,-4.37,-4.15,-2.64,2.33,0.92,1.01,0.990,0.990,0.035,0.032,0.134,0.134,
0.017,11111100,0,0,0,149,1,0.00,0.00,120.59,237.87,207.60,117.67,3.29,3.23,2.65,3.03,-21.62,14.15,166.00,71.00,239.00,161.00,0.00,0.00,106.38,228.89,219.37,132.27,3.61,3.50,123.50,247.93,220.10,131.50,4.62,3.99,661.47,454.18,0.00,0.00,0.186,1511.760,47.725,199.813,-4.37,-4.15,-2.64,2.33,0.92,1.01,0.991,0.991,0.033,0.030,0.130,0.130,
0.022,11111100,0,0,0,150,1,0.00,0.00,120.59,237.64,207.60,117.51,3.34,3.23,2.68,2.97,-21.62,13.26,166.00,71.00,239.00,161.00,0.00,0.00,106.38,228.89,219.37,132.27,3.61,3.50,123.50,247.93,220.10,131.50,4.62,3.99,659.39,454.47,0.00,0.00,0.185,1512.984,45.563,198.445,-4.37,-4.15,-2.64,2.33,0.92,1.01,0.991,0.991,0.031,0.028,0.129,0.129,
0.256,11111100,41,0,0,12,1,0.00,0.00,120.97,238.69,209.11,116.87,3.30,3.19,2.70,2.95,-22.27,11.82,168.00,71.00,239.00,161.00,0.00,0.00,106.50,229.32,220.00,131.39,5.00,3.73,123.36,248.00,220.95,130.77,3.53,2.64,658.98,454.97,0.00,0.00,0.185,1514.085,57.690,211.458,-4.37,-4.16,-2.64,2.32,0.92,1.01,0.990,0.990,0.039,0.036,0.137,0.137,
0.272,11111100,2,0,0,15,1,0.00,0.00,120.84,238.75,209.68,117.21,3.30,3.18,2.38,2.99,-20.75,13.21,168.00,71.00,239.00,161.00,0.00,0.00,106.37,229.32,220.28,131.39,4.00,3.73,123.50,248.00,221.00,131.00,3.00,3.46,658.97,456.01,0.00,0.00,0.185,1515.077,57.118,220.978,-4.36,-4.16,-2.64,2.32,0.93,1.01,0.989,0.989,0.039,0.036,0.143,0.143,
0.289,11111100,2,0,0,18,1,0.00,0.00,120.70,238.71,210.04,117.48,3.27,3.18,2.49,2.93,-18.66,12.96,168.00,71.00,239.00,162.00,0.00,0.00,106.50,229.32,220.50,131.39,3.32,3.73,123.00,248.00,221.00,131.00,2.00,3.46,659.30,458.45,0.00,0.00,0.184,1515.969,56.192,228.510,-4.37,-4.17,-2.64,2.32,0.92,1.00,0.988,0.988,0.038,0.035,0.148,0.148,
0.300,11111100,1,0,0,20,1,0.00,0.00,120.70,238.54,210.04,117.71,3.27,3.16,2.49,3.02,-18.66,7.51,168.00,71.00,239.00,161.00,0.00,0.00,106.50,229.32,220.50,131.39,3.32,3.73,123.00,248.00,221.00,131.00,2.00,3.46,659.54,460.42,0.00,0.00,0.184,1516.772,54.842,232.416,-4.37,-4.17,-2.64,2.32,0.92,1.00,0.988,0.988,0.037,0.034,0.150,0.150,
0.306,11111100,0,0,0,21,1,0.00,0.00,120.52,238.54,210.71,117.71,3.23,3.16,2.95,3.02,-19.66,7.51,169.00,71.00,239.00,161.00,0.00,0.00,106.15,229.32,221.04,131.39,4.49,3.73,122.00,248.00,221.00,131.00,2.00,3.46,659.87,463.44,0.00,0.00,0.184,1517.495,53.307,239.397,-4.37,-4.17,-2.64,2.32,0.92,1.00,0.987,0.987,0.036,0.033,0.155,0.155,
