ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-02-05 19:30:09:558
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,112,1,0.00,0.00,110.70,192.61,159.22,63.86,39.20,40.21,32.10,33.06,2.98,1.11,133.00,32.00,214.00,93.00,0.00,0.00,96.80,189.77,175.09,81.81,5.41,4.84,117.00,211.10,176.00,81.71,4.41,5.99,587.88,440.06,0.00,0.00,0.337,899.912,-72.989,101.245,-4.01,-3.95,-2.63,2.75,0.91,0.93,0.991,0.990,-0.077,-0.083,0.110,0.110,
0.006,11111100,0,0,0,113,1,0.00,0.00,110.83,192.36,159.37,64.31,38.91,39.15,32.30,32.45,2.21,2.60,133.00,32.00,212.00,91.00,0.00,0.00,96.80,189.87,175.09,81.75,5.41,4.59,117.00,211.00,176.00,81.73,4.41,6.22,591.07,440.47,0.00,0.00,0.354,856.244,-69.776,100.765,-4.01,-3.95,-2.63,2.75,0.90,0.93,0.990,0.990,-0.077,-0.083,0.115,0.115,
0.011,11111100,0,0,0,114,1,0.00,0.00,110.88,192.67,158.88,63.69,38.86,39.45,32.61,33.07,1.72,3.41,133.00,32.00,185.00,91.00,0.00,0.00,96.80,189.99,175.09,81.50,5.41,4.16,117.00,210.96,176.00,81.60,4.41,4.70,593.24,439.65,0.00,0.00,0.368,824.541,-65.576,90.881,-4.01,-3.95,-2.63,2.75,0.90,0.93,0.991,0.991,-0.075,-0.082,0.108,0.108,
0.017,11111100,0,0,0,115,1,0.00,0.00,110.78,192.66,158.88,63.47,38.93,39.32,33.43,32.82,2.14,3.39,133.00,32.00,211.00,91.00,0.00,0.00,96.83,189.82,175.10,81.65,5.24,4.58,117.00,211.10,176.00,81.71,4.41,5.99,594.25,439.05,0.00,0.00,0.380,797.604,-63.780,86.052,-4.01,-3.95,-2.63,2.75,0.90,0.93,0.992,0.991,-0.076,-0.082,0.105,0.105,
0.217,11111100,35,0,0,151,1,0.00,0.00,112.96,194.72,158.09,62.62,39.65,40.00,33.68,33.90,2.16,4.71,131.00,30.00,202.00,92.00,0.00,0.00,97.87,190.86,174.68,80.90,5.33,4.74,118.19,212.00,175.58,80.73,4.61,6.22,597.00,437.97,0.00,0.00,0.391,778.008,-45.392,79.764,-4.01,-3.95,-2.63,2.75,0.90,0.93,0.993,0.993,-0.054,-0.061,0.100,0.100,
0.239,11111100,3,0,0,155,1,0.00,0.00,113.09,194.68,158.18,62.74,39.82,39.20,32.84,34.03,2.30,5.78,130.00,30.00,212.00,92.00,0.00,0.00,98.23,191.00,174.70,81.00,5.13,4.41,118.32,212.00,175.32,80.73,4.63,6.22,599.34,437.20,0.00,0.00,0.404,753.133,-43.716,78.928,-4.01,-3.95,-2.63,2.75,0.90,0.93,0.993,0.993,-0.054,-0.061,0.102,0.102,
0.250,11111100,1,0,0,157,1,0.00,0.00,113.28,194.59,158.80,62.50,39.79,39.08,32.28,34.30,3.19,4.60,131.00,30.00,211.00,91.00,0.00,0.00,98.23,191.00,174.70,81.00,5.13,4.41,118.32,212.00,175.32,80.73,4.63,6.22,601.52,436.67,0.00,0.00,0.421,722.045,-41.574,77.935,-4.02,-3.95,-2.63,2.75,0.90,0.93,0.993,0.993,-0.053,-0.061,0.105,0.105,
0.267,11111100,2,0,0,160,1,0.00,0.00,113.38,194.80,157.86,62.36,39.82,39.50,34.92,34.28,4.79,4.72,130.00,30.00,211.00,89.00,0.00,0.00,98.37,191.00,174.72,81.00,5.49,4.41,118.32,212.00,175.32,80.73,4.63,6.22,603.88,434.49,0.00,0.00,0.435,699.718,-39.214,69.428,-4.02,-3.96,-2.63,2.75,0.90,0.93,0.994,0.994,-0.052,-0.059,0.097,0.097,
0.283,11111100,2,0,0,163,1,0.00,0.00,113.39,194.71,157.80,62.11,39.88,39.52,34.44,33.61,4.03,5.89,130.00,30.00,211.00,88.00,0.00,0.00,98.37,190.86,174.72,80.90,5.49,4.74,118.32,212.00,175.32,80.73,4.63,6.22,606.03,432.94,0.00,0.00,0.449,677.866,-38.223,65.777,-4.02,-3.96,-2.63,2.75,0.90,0.93,0.994,0.994,-0.052,-0.060,0.095,0.095,
0.300,11111100,2,0,0,166,1,0.00,0.00,113.46,194.74,157.69,61.92,39.98,39.35,34.20,33.79,3.55,5.86,130.00,29.00,211.00,89.00,0.00,0.00,98.37,191.00,174.72,80.82,5.49,4.57,118.32,212.00,175.32,80.73,4.63,6.22,608.26,431.39,0.00,0.00,0.462,657.568,-36.740,62.317,-4.02,-3.96,-2.63,2.75,0.90,0.93,0.994,0.994,-0.051,-0.059,0.092,0.092,
