ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-24 17:23:04:416
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11110100,0,0,0,101,0,0.00,0.00,117.08,200.00,164.28,0.00,53.65,0.00,44.07,0.00,-9.70,0.00,121.00,62.00,199.00,122.00,0.00,0.00,101.65,183.58,185.00,104.39,5.08,5.47,126.00,213.57,185.50,105.03,4.21,7.44,614.11,392.81,0.00,0.00,1.096,290.193,-13.307,10.042,-3.75,-3.49,-2.78,2.85,0.95,1.07,0.999,0.998,-0.036,-0.055,0.031,0.030,
0.006,11110100,0,0,0,102,0,0.00,0.00,117.15,200.00,164.38,0.00,54.07,0.00,44.20,0.00,-7.61,0.00,121.00,62.00,216.00,125.00,0.00,0.00,101.65,183.58,185.00,104.39,5.08,5.47,126.00,213.51,185.27,104.93,4.06,7.59,614.37,386.21,0.00,0.00,1.096,290.193,-13.222,10.331,-3.75,-3.49,-2.78,2.85,0.95,1.07,0.999,0.998,-0.036,-0.055,0.032,0.031,
0.011,11111100,0,0,0,103,0,0.00,0.00,117.18,186.23,164.63,84.35,53.58,56.89,44.82,46.78,-5.79,-26.83,120.00,43.00,216.00,115.00,0.00,0.00,101.86,183.58,184.90,104.39,4.74,5.03,126.00,213.66,185.27,105.11,4.06,7.25,614.35,386.49,0.00,0.00,1.095,290.193,-13.570,11.255,-3.75,-3.49,-2.77,2.84,0.95,1.07,0.999,0.998,-0.037,-0.056,0.035,0.035,
0.017,11111100,0,0,0,104,0,0.00,0.00,117.42,185.85,164.87,84.20,53.60,55.68,45.62,47.23,-3.58,-24.75,120.00,43.00,215.00,119.00,0.00,0.00,101.77,183.58,184.90,104.39,5.09,5.47,126.00,213.57,185.50,104.87,4.21,7.37,608.31,394.46,0.00,0.00,1.097,286.089,-31.833,30.421,-3.74,-3.49,-2.77,2.84,0.95,1.07,0.990,0.988,-0.099,-0.118,0.101,0.100,
0.272,11111100,45,0,0,150,0,0.00,0.00,116.70,185.47,163.56,82.95,54.15,54.79,43.91,46.96,-2.34,-25.87,120.00,40.00,217.00,119.00,0.00,0.00,101.50,183.57,184.50,104.11,4.74,5.33,125.63,213.72,185.13,104.61,3.93,7.47,601.70,400.79,0.00,0.00,1.105,284.089,-33.371,26.252,-3.74,-3.48,-2.77,2.84,0.95,1.07,0.991,0.988,-0.105,-0.124,0.087,0.087,
0.289,11111100,2,0,0,153,0,0.00,0.00,116.59,185.25,163.66,83.23,53.95,54.54,44.57,47.52,-0.96,-27.84,120.00,40.00,198.00,119.00,0.00,0.00,101.32,183.57,184.41,104.11,4.38,5.33,125.50,213.56,185.00,104.64,3.45,7.49,594.88,407.41,0.00,0.00,1.121,279.485,-33.439,26.529,-3.74,-3.48,-2.77,2.83,0.95,1.07,0.990,0.988,-0.107,-0.127,0.089,0.089,
0.300,11111100,1,0,0,155,0,0.00,0.00,116.50,185.08,163.44,83.23,53.97,54.63,44.45,47.48,-0.14,-29.51,120.00,41.00,216.00,118.00,0.00,0.00,101.32,183.57,184.41,104.11,4.38,5.33,125.37,213.56,184.87,104.64,3.92,7.49,588.09,413.35,0.00,0.00,1.145,273.742,-32.599,23.267,-3.74,-3.48,-2.77,2.83,0.95,1.08,0.991,0.989,-0.107,-0.126,0.080,0.079,
0.317,11111100,2,0,0,158,0,0.00,0.00,116.27,185.08,163.51,83.23,53.65,54.63,44.75,47.48,0.56,-29.51,119.00,41.00,216.00,118.00,0.00,0.00,101.26,183.57,184.31,104.11,5.03,5.33,125.37,213.56,184.87,104.64,3.92,7.49,580.97,420.23,0.00,0.00,1.162,269.201,-32.961,25.310,-3.74,-3.48,-2.77,2.83,0.95,1.08,0.990,0.988,-0.110,-0.130,0.088,0.088,
0.322,11111100,0,0,0,159,0,0.00,0.00,116.27,184.86,163.51,83.16,53.65,54.89,44.75,47.26,0.56,-31.10,119.00,40.00,216.00,119.00,0.00,0.00,101.26,183.38,184.31,104.10,5.03,5.02,125.37,213.46,184.87,104.77,3.92,7.68,573.99,425.73,0.00,0.00,1.187,263.465,-32.143,22.528,-3.74,-3.48,-2.77,2.83,0.95,1.08,0.991,0.988,-0.109,-0.129,0.080,0.079,
0.333,11111100,1,0,0,161,0,0.00,0.00,115.95,184.76,163.76,83.19,54.11,54.78,45.25,47.39,0.59,-32.49,120.00,40.00,216.00,117.00,0.00,0.00,101.21,183.41,184.47,104.01,4.77,4.92,125.15,213.46,185.00,104.77,4.10,7.68,572.74,423.45,0.00,0.00,1.211,257.999,-32.196,22.431,-3.75,-3.48,-2.77,2.83,0.95,1.08,0.990,0.988,-0.111,-0.132,0.081,0.081,
