ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-04-02 15:22:16:704
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11110100,0,0,0,174,1,0.00,0.00,131.93,162.00,145.56,0.00,3.28,0.00,2.59,0.00,1.31,0.00,114.00,42.00,176.00,100.00,0.00,0.00,125.00,170.00,162.00,87.00,2.00,2.00,137.00,229.00,162.00,122.00,2.00,2.00,538.27,409.69,0.00,0.00,0.973,313.478,-61.751,20.235,-4.90,-5.07,-2.87,2.78,0.54,0.46,0.982,0.978,-0.182,-0.198,0.061,0.061,
0.006,11110100,0,0,0,175,1,0.00,0.00,132.10,162.00,145.48,0.00,3.28,0.00,2.57,0.00,0.99,0.00,113.00,43.00,178.00,114.00,0.00,0.00,125.00,171.00,162.00,87.00,2.00,2.00,137.00,229.00,162.00,123.00,2.00,2.00,535.21,407.88,0.00,0.00,0.973,313.478,-60.915,20.092,-4.90,-5.07,-2.87,2.78,0.54,0.46,0.982,0.979,-0.179,-0.196,0.060,0.060,
0.144,11111100,24,0,0,20,1,0.00,0.00,132.10,166.08,145.48,73.80,3.26,3.34,2.56,2.88,0.99,-43.26,113.00,42.00,178.00,101.00,0.00,0.00,125.00,173.00,162.00,86.00,2.00,2.00,137.00,184.00,162.00,87.00,2.00,2.00,527.14,406.06,0.00,0.00,1.042,285.764,-70.418,20.003,-4.90,-5.07,-2.87,2.78,0.54,0.46,0.972,0.968,-0.226,-0.244,0.065,0.065,
0.189,11111100,7,0,0,28,1,0.00,0.00,136.21,165.45,146.79,74.38,3.24,3.38,2.61,2.80,2.31,-44.74,115.00,42.00,181.00,101.00,0.00,0.00,127.00,174.00,163.00,87.00,2.00,2.00,139.00,183.00,163.00,87.00,2.00,2.00,522.68,408.62,0.00,0.00,1.150,259.649,-61.177,22.825,-4.90,-5.07,-2.87,2.79,0.54,0.46,0.973,0.969,-0.215,-0.234,0.082,0.082,
0.194,11111100,0,0,0,29,1,0.00,0.00,136.21,166.29,146.79,73.71,3.24,3.50,2.61,2.40,2.31,-44.05,115.00,42.00,181.00,102.00,0.00,0.00,127.00,173.00,163.00,86.00,2.00,2.00,139.00,184.00,163.00,87.00,2.00,2.00,520.30,410.75,0.00,0.00,1.270,236.412,-52.164,18.874,-4.90,-5.07,-2.87,2.79,0.54,0.46,0.977,0.972,-0.200,-0.221,0.074,0.074,
0.200,11111100,0,0,0,30,1,0.00,0.00,137.20,165.54,147.42,74.17,3.29,3.44,2.54,2.77,2.65,-44.99,115.00,42.00,180.00,101.00,0.00,0.00,128.00,173.00,163.00,87.00,2.00,2.00,138.00,228.00,163.00,123.00,2.00,2.00,517.74,413.99,0.00,0.00,1.389,215.105,-48.299,19.804,-4.94,-5.11,-2.86,2.79,0.52,0.45,0.976,0.971,-0.201,-0.225,0.085,0.085,
0.206,11111100,0,0,0,31,1,0.00,0.00,137.38,166.07,146.92,74.26,3.28,3.45,2.70,2.85,3.01,-45.41,115.00,42.00,179.00,101.00,0.00,0.00,128.00,173.00,162.00,87.00,2.00,2.00,138.00,184.00,163.00,87.00,2.00,2.00,516.34,416.95,0.00,0.00,1.529,196.009,-41.567,17.593,-4.94,-5.11,-2.86,2.79,0.52,0.45,0.979,0.973,-0.188,-0.215,0.083,0.083,
0.211,11111100,0,0,0,32,1,0.00,0.00,137.27,166.32,146.79,74.17,3.32,3.36,2.43,2.83,5.95,-46.11,115.00,43.00,180.00,101.00,0.00,0.00,128.00,173.00,163.00,86.00,2.00,2.00,141.00,184.00,163.00,87.00,2.00,2.00,515.17,419.73,0.00,0.00,1.676,178.963,-37.034,15.694,-4.94,-5.10,-2.86,2.79,0.52,0.45,0.980,0.974,-0.182,-0.211,0.081,0.081,
0.217,11111100,0,0,0,33,1,0.00,0.00,138.11,166.70,146.88,73.79,3.32,3.39,2.67,2.75,4.14,-47.11,115.00,42.00,180.00,101.00,0.00,0.00,128.00,174.00,163.00,86.00,2.00,2.00,140.00,185.00,163.00,87.00,2.00,2.00,519.81,421.57,0.00,0.00,1.839,163.572,-32.129,13.996,-4.94,-5.10,-2.86,2.80,0.52,0.45,0.982,0.976,-0.171,-0.202,0.079,0.078,
0.222,11111100,0,0,0,34,1,0.00,0.00,138.38,166.84,147.07,73.61,3.29,3.46,2.60,2.67,5.09,-46.93,115.00,42.00,183.00,101.00,0.00,0.00,128.00,174.00,163.00,86.00,2.00,2.00,140.00,185.00,163.00,87.00,2.00,2.00,523.87,421.24,0.00,0.00,2.007,149.704,-28.720,12.739,-4.93,-5.10,-2.85,2.80,0.53,0.45,0.983,0.977,-0.164,-0.199,0.078,0.078,
0.228,11111100,0,0,0,35,1,0.00,0.00,138.90,167.02,146.62,73.98,3.44,3.44,2.53,2.82,3.99,-48.43,115.00,42.00,180.00,103.00,0.00,0.00,128.00,174.00,164.00,86.00,2.00,2.00,140.00,185.00,163.00,87.00,2.00,2.00,527.16,421.34,0.00,0.00,2.191,137.179,-25.394,11.077,-4.93,-5.10,-2.85,2.80,0.53,0.45,0.985,0.978,-0.156,-0.194,0.073,0.073,
0.233,11111100,0,0,0,36,1,0.00,0.00,138.90,167.30,146.62,73.79,3.46,3.39,2.54,2.94,3.99,-49.43,115.00,42.00,180.00,101.00,0.00,0.00,128.00,173.00,164.00,86.00,2.00,2.00,140.00,185.00,163.00,87.00,2.00,2.00,531.44,419.80,0.00,0.00,2.384,126.023,-22.480,9.948,-4.93,-5.10,-2.85,2.80,0.53,0.45,0.986,0.979,-0.148,-0.189,0.071,0.071,
0.239,11111100,0,0,0,37,1,0.00,0.00,139.40,167.30,147.19,73.79,3.32,3.31,2.56,2.87,2.55,-49.43,115.00,42.00,180.00,101.00,0.00,0.00,129.00,173.00,163.00,86.00,2.00,2.00,140.00,185.00,161.00,87.00,2.00,2.00,534.80,421.15,0.00,0.00,2.583,115.829,-20.371,11.724,-4.93,-5.10,-2.85,2.80,0.53,0.45,0.986,0.978,-0.143,-0.187,0.091,0.091,
0.250,11111100,1,0,0,39,1,0.00,0.00,140.22,167.30,147.37,73.79,3.29,3.30,2.47,2.86,2.54,-49.43,115.00,42.00,180.00,101.00,0.00,0.00,129.00,173.00,163.00,86.00,2.00,2.00,141.00,185.00,163.00,87.00,2.00,2.00,538.20,422.23,0.00,0.00,2.809,106.549,-18.140,10.325,-4.94,-5.07,-2.85,2.81,0.52,0.46,0.987,0.979,-0.135,-0.184,0.087,0.086,
0.256,11111100,0,0,0,40,1,0.00,0.00,141.18,167.30,147.13,73.79,3.27,3.30,2.67,2.86,3.29,-49.43,115.00,42.00,181.00,101.00,0.00,0.00,130.00,173.00,162.00,86.00,2.00,2.00,142.00,185.00,163.00,87.00,2.00,2.00,541.10,424.09,0.00,0.00,3.045,98.074,-16.197,9.938,-4.94,-5.07,-2.85,2.81,0.52,0.46,0.988,0.979,-0.128,-0.180,0.090,0.090,
0.261,11111100,0,0,0,41,1,0.00,0.00,140.56,167.30,146.78,73.79,3.32,3.30,2.54,2.86,3.24,-49.43,115.00,42.00,180.00,101.00,0.00,0.00,129.00,173.00,163.00,86.00,2.00,2.00,141.00,185.00,163.00,87.00,2.00,2.00,543.32,424.75,0.00,0.00,3.285,90.536,-15.201,8.211,-4.93,-5.07,-2.85,2.81,0.53,0.46,0.989,0.980,-0.128,-0.185,0.080,0.079,
0.267,11111100,0,0,0,42,1,0.00,0.00,140.56,168.37,146.78,73.71,3.33,3.27,2.55,2.86,3.24,-49.59,115.00,42.00,180.00,101.00,0.00,0.00,129.00,175.00,163.00,86.00,2.00,2.00,141.00,186.00,163.00,87.00,2.00,2.00,546.01,425.61,0.00,0.00,3.543,83.935,-13.099,7.390,-4.93,-5.07,-2.85,2.81,0.53,0.46,0.991,0.982,-0.114,-0.175,0.077,0.076,
0.272,00111100,0,0,0,43,1,0.00,0.00,133.30,172.48,147.77,72.72,3.29,3.29,2.63,2.85,16.37,-49.85,116.00,41.00,180.00,102.00,0.00,0.00,126.00,188.00,164.00,86.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,554.94,426.96,0.00,0.00,3.861,78.006,-6.406,7.057,-4.93,-5.07,-2.85,2.81,0.53,0.46,0.996,0.991,-0.043,-0.110,0.078,0.079,
0.278,10111100,0,0,0,44,1,0.00,0.00,141.07,172.48,147.25,72.72,3.25,3.30,2.60,2.86,4.79,-49.85,115.00,41.00,181.00,102.00,0.00,0.00,130.00,188.00,162.00,86.00,2.00,2.00,142.00,0.00,163.00,0.00,2.00,0.00,560.96,424.74,0.00,0.00,4.057,73.620,-8.167,6.064,-4.93,-5.07,-2.85,2.81,0.53,0.46,0.995,0.988,-0.067,-0.138,0.070,0.070,
0.394,10111100,20,0,0,65,1,0.00,0.00,160.24,172.25,154.95,72.94,3.23,3.30,2.79,2.85,37.37,-48.62,120.00,41.00,191.00,102.00,0.00,0.00,140.00,188.00,166.00,86.00,2.00,2.00,153.00,0.00,166.00,0.00,2.00,0.00,568.80,425.74,0.00,0.00,4.344,68.665,-5.885,7.237,-4.93,-5.07,-2.85,2.81,0.53,0.46,0.995,0.989,-0.041,-0.117,0.091,0.091,
0.411,10111100,2,0,0,68,1,0.00,0.00,145.68,172.25,147.62,72.94,3.31,3.31,2.65,2.85,9.37,-48.62,116.00,41.00,181.00,102.00,0.00,0.00,132.00,188.00,163.00,86.00,2.00,2.00,144.00,0.00,163.00,0.00,2.00,0.00,576.29,425.00,0.00,0.00,4.629,64.206,-5.418,6.102,-4.93,-5.07,-2.85,2.81,0.53,0.46,0.996,0.990,-0.037,-0.118,0.080,0.081,
0.450,11111100,6,0,0,75,1,0.00,0.00,145.68,172.88,147.62,72.84,3.31,3.30,2.65,2.95,9.37,-46.09,116.00,41.00,181.00,101.00,0.00,0.00,132.00,177.00,163.00,85.00,2.00,2.00,144.00,188.00,163.00,86.00,2.00,2.00,584.56,425.85,0.00,0.00,4.910,60.293,-4.743,5.903,-4.93,-5.07,-2.85,2.81,0.53,0.46,0.996,0.990,-0.029,-0.114,0.082,0.082,
0.456,11111100,0,0,0,76,1,0.00,0.00,145.68,173.41,147.62,72.64,3.31,3.42,2.65,2.84,9.37,-45.07,116.00,41.00,181.00,102.00,0.00,0.00,132.00,177.00,163.00,85.00,2.00,2.00,144.00,188.00,163.00,86.00,2.00,2.00,592.22,426.42,0.00,0.00,5.186,56.890,-4.180,5.282,-4.93,-5.07,-2.85,2.81,0.53,0.46,0.997,0.991,-0.021,-0.112,0.077,0.077,
