ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-22 21:03:38:785
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11011100,0,0,0,149,0,0.00,0.00,129.00,199.95,0.00,144.04,0.00,50.99,0.00,45.27,0.00,-27.04,203.00,94.00,236.00,193.00,0.00,0.00,179.00,195.93,169.00,172.16,2.00,8.33,199.00,233.43,172.00,171.00,2.00,10.11,561.39,574.15,0.00,0.00,2.741,105.605,-13.399,31.743,-3.32,-3.00,-2.74,2.71,0.57,0.80,0.957,0.952,-0.094,-0.141,0.274,0.271,
0.006,11001100,0,0,0,150,0,0.00,0.00,129.00,203.69,0.00,145.53,0.00,51.15,0.00,45.29,0.00,-26.27,204.00,96.00,237.00,194.00,0.00,0.00,0.00,197.93,0.00,173.02,0.00,8.27,172.00,235.24,166.00,171.39,2.00,10.46,565.42,573.88,0.00,0.00,2.746,105.605,-11.439,31.914,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.958,0.954,-0.077,-0.124,0.276,0.273,
0.011,11001100,0,0,0,151,0,0.00,0.00,129.00,203.69,0.00,145.53,0.00,51.15,0.00,45.29,0.00,-26.27,203.00,96.00,237.00,194.00,0.00,0.00,0.00,197.93,0.00,173.02,0.00,8.27,171.00,235.24,167.00,171.39,2.00,10.46,569.17,573.53,0.00,0.00,2.746,105.605,-11.439,31.914,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.958,0.954,-0.077,-0.124,0.276,0.273,
0.117,11001100,18,0,0,170,0,0.00,0.00,129.00,203.69,0.00,145.53,0.00,51.15,0.00,45.29,0.00,-26.27,203.00,96.00,239.00,194.00,0.00,0.00,0.00,197.93,0.00,173.02,0.00,8.27,168.00,235.24,173.00,171.39,2.00,10.46,572.93,573.17,0.00,0.00,2.746,105.605,-11.439,31.914,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.958,0.954,-0.077,-0.124,0.276,0.273,
0.133,11011100,2,0,0,173,0,0.00,0.00,129.00,207.77,0.00,148.11,0.00,51.57,0.00,46.08,0.00,-24.00,200.00,85.00,239.00,206.00,0.00,0.00,173.00,199.80,166.00,174.22,2.00,8.22,182.36,237.26,168.69,172.28,4.33,10.17,577.38,573.89,0.00,0.00,2.748,105.605,-9.267,32.486,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.958,0.955,-0.057,-0.105,0.281,0.278,
0.189,11011100,9,0,0,3,0,0.00,0.00,129.00,215.30,0.00,145.28,0.00,50.85,0.00,45.94,0.00,-18.17,202.00,95.00,239.00,204.00,0.00,0.00,173.00,203.58,165.00,172.71,2.00,7.46,182.36,240.23,168.85,171.12,4.25,8.81,585.30,571.44,0.00,0.00,2.772,105.605,-5.319,29.653,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.966,0.964,-0.023,-0.071,0.258,0.256,
0.239,11011100,8,0,0,12,0,0.00,0.00,129.00,216.31,0.00,146.60,0.00,50.97,0.00,46.11,0.00,-11.21,203.00,96.00,239.00,205.00,0.00,0.00,173.00,203.75,166.00,173.20,2.00,7.24,182.19,240.94,170.14,171.58,4.61,8.78,592.84,569.67,0.00,0.00,2.769,105.605,-4.810,30.154,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.965,0.963,-0.018,-0.067,0.262,0.260,
0.272,11001100,5,0,0,18,0,0.00,0.00,129.00,215.66,0.00,145.64,0.00,51.05,0.00,45.70,0.00,-15.08,204.00,84.00,239.00,205.00,0.00,0.00,0.00,203.70,0.00,173.00,0.00,7.29,182.23,240.72,169.78,171.27,4.97,9.33,598.37,567.24,0.00,0.00,2.771,105.605,-5.141,29.732,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.966,0.964,-0.021,-0.070,0.259,0.257,
0.278,11111100,0,0,0,19,0,0.00,0.00,129.07,216.54,218.54,147.03,55.49,51.08,19.19,46.10,17.50,-5.87,178.00,97.00,239.00,206.00,0.00,0.00,144.00,203.95,154.00,173.26,2.00,7.05,203.76,240.94,192.18,171.58,16.66,8.78,604.29,565.56,0.00,0.00,2.767,105.605,-4.699,30.406,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.964,0.963,-0.017,-0.066,0.264,0.262,
0.289,11111100,1,0,0,21,0,0.00,0.00,129.07,216.71,218.54,147.17,55.49,51.27,19.19,46.32,17.50,-0.19,178.00,97.00,239.00,207.00,0.00,0.00,144.00,204.00,154.00,173.34,2.00,6.93,203.76,240.92,192.18,171.51,16.66,8.77,610.29,563.94,0.00,0.00,2.767,105.605,-4.601,30.461,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.964,0.963,-0.017,-0.065,0.265,0.263,
0.328,11011100,6,0,0,28,0,0.00,0.00,129.00,216.71,0.00,147.17,0.00,51.27,0.00,46.32,0.00,-0.19,202.00,97.00,239.00,207.00,0.00,0.00,181.00,204.00,176.00,173.34,2.00,6.93,206.00,240.92,187.00,171.51,2.00,8.77,614.39,561.68,0.00,0.00,2.767,105.605,-4.601,30.461,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.964,0.963,-0.017,-0.065,0.265,0.263,
0.367,11111100,6,0,0,35,0,0.00,0.00,129.07,182.91,218.54,138.94,55.49,46.96,19.19,42.86,17.50,-9.48,178.00,95.00,239.00,196.00,0.00,0.00,144.00,187.05,154.00,168.89,2.00,8.68,203.76,223.98,192.18,169.72,16.66,11.01,597.61,565.19,0.00,0.00,2.666,105.605,-24.429,32.800,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.942,0.933,-0.188,-0.233,0.279,0.275,
0.383,11011100,2,0,0,38,0,0.00,0.00,129.00,182.91,0.00,138.94,0.00,46.96,0.00,42.86,0.00,-9.48,199.00,95.00,222.00,196.00,0.00,0.00,180.50,187.05,195.50,168.89,4.08,8.68,199.00,223.98,181.00,169.72,2.00,11.01,580.38,568.14,0.00,0.00,2.666,105.605,-24.429,32.800,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.942,0.933,-0.188,-0.233,0.279,0.275,
0.422,01011100,6,0,0,45,0,0.00,0.00,129.00,182.91,0.00,138.94,0.00,46.96,0.00,42.86,0.00,-9.48,202.00,95.00,227.00,196.00,0.00,0.00,87.00,187.05,238.00,168.89,2.00,8.68,0.00,223.98,0.00,169.72,0.00,11.01,563.45,571.56,0.00,0.00,2.666,105.605,-24.429,32.800,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.942,0.933,-0.188,-0.233,0.279,0.275,
0.444,11111100,3,0,0,49,0,0.00,0.00,129.07,187.22,218.54,138.84,55.49,47.63,19.19,42.25,17.50,-22.13,178.00,83.00,239.00,189.00,0.00,0.00,144.00,189.55,154.00,169.30,2.00,9.17,203.76,226.42,192.18,169.58,16.66,10.67,548.90,572.99,0.00,0.00,2.696,105.605,-21.266,31.692,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.949,0.941,-0.161,-0.208,0.271,0.268,
0.450,11111100,0,0,0,50,0,0.00,0.00,129.07,187.54,218.54,138.82,55.49,47.78,19.19,41.19,17.50,-26.27,178.00,83.00,239.00,190.00,0.00,0.00,144.00,189.85,154.00,169.34,2.00,9.32,203.76,226.43,192.18,169.51,16.66,10.63,534.49,574.25,0.00,0.00,2.699,105.605,-21.010,31.584,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.949,0.942,-0.159,-0.206,0.270,0.267,
0.500,11001100,8,0,0,59,0,0.00,0.00,129.00,187.54,0.00,138.82,0.00,47.78,0.00,41.19,0.00,-26.27,199.00,83.00,223.00,190.00,0.00,0.00,0.00,189.85,0.00,169.34,0.00,9.32,174.00,226.43,188.00,169.51,2.00,10.63,520.09,575.50,0.00,0.00,2.699,105.605,-21.010,31.584,-3.32,-3.00,-2.74,2.70,0.57,0.81,0.949,0.942,-0.159,-0.206,0.270,0.267,
0.511,11111100,1,0,0,61,0,0.00,0.00,129.07,192.68,218.54,146.07,55.49,48.05,19.19,44.99,17.50,-28.64,178.00,97.00,239.00,196.00,0.00,0.00,144.00,192.14,154.00,173.50,2.00,8.10,203.76,228.88,192.18,172.38,16.66,10.36,525.99,577.03,0.00,0.00,2.706,105.605,-17.701,34.176,-3.32,-3.00,-2.74,2.71,0.57,0.81,0.947,0.941,-0.130,-0.177,0.292,0.289,
0.528,01011100,2,0,0,64,0,0.00,0.00,129.00,192.68,0.00,146.07,0.00,48.05,0.00,44.99,0.00,-28.64,212.00,97.00,239.00,196.00,0.00,0.00,213.00,192.14,199.00,173.50,2.00,8.10,0.00,228.88,0.00,172.38,0.00,10.36,531.90,578.57,0.00,0.00,2.706,105.605,-17.701,34.176,-3.32,-3.00,-2.74,2.71,0.57,0.81,0.947,0.941,-0.130,-0.177,0.292,0.289,
