ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-29 19:37:44:420
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11011100,0,0,0,136,1,0.00,0.00,132.00,195.16,0.00,109.70,0.00,46.47,0.00,43.07,0.00,-1.00,136.00,57.00,233.00,172.00,0.00,0.00,96.50,194.84,200.26,123.23,3.80,4.30,116.28,218.56,201.15,123.07,3.74,6.34,629.43,506.53,0.00,0.00,0.244,1231.038,-100.125,143.919,-4.10,-3.83,-2.64,2.66,0.86,0.98,0.990,0.990,-0.078,-0.082,0.115,0.115,
0.006,11011100,0,0,0,137,1,0.00,0.00,132.00,195.31,0.00,110.16,0.00,46.47,0.00,42.04,0.00,-6.41,146.00,58.00,233.00,172.00,0.00,0.00,96.50,194.78,200.26,123.14,3.80,4.43,116.28,218.77,201.15,122.95,3.74,6.68,613.43,486.53,0.00,0.00,0.244,1231.038,-99.072,150.154,-4.10,-3.83,-2.64,2.66,0.86,0.99,0.990,0.989,-0.077,-0.082,0.120,0.120,
0.011,11011100,0,0,0,138,1,0.00,0.00,132.00,195.62,0.00,109.49,0.00,46.69,0.00,43.58,0.00,-12.05,146.00,57.00,234.00,167.00,0.00,0.00,96.50,194.94,200.26,123.10,3.80,4.58,116.28,218.77,201.15,122.95,3.74,6.68,590.80,446.72,0.00,0.00,0.244,1231.038,-96.721,141.856,-4.10,-3.83,-2.64,2.66,0.86,0.99,0.991,0.990,-0.075,-0.080,0.113,0.113,
0.017,11011100,0,0,0,139,1,0.00,0.00,132.00,195.84,0.00,109.56,0.00,46.78,0.00,42.98,0.00,-16.60,146.00,56.00,232.00,166.00,0.00,0.00,96.52,195.22,200.42,123.14,4.13,4.43,116.28,219.00,201.19,122.91,3.68,6.46,593.02,445.25,0.00,0.00,0.244,1231.038,-95.326,142.269,-4.10,-3.82,-2.64,2.66,0.86,0.99,0.991,0.990,-0.074,-0.079,0.113,0.113,
0.022,11011100,0,0,0,140,1,0.00,0.00,132.00,195.84,0.00,109.56,0.00,46.78,0.00,42.98,0.00,-16.60,146.00,56.00,234.00,166.00,0.00,0.00,96.52,195.22,200.42,123.14,4.13,4.43,116.60,219.00,201.12,122.91,3.44,6.46,595.09,443.66,0.00,0.00,0.244,1231.038,-95.326,142.269,-4.10,-3.82,-2.64,2.66,0.86,0.99,0.991,0.990,-0.074,-0.079,0.113,0.113,
0.278,11111100,45,0,0,6,1,0.00,0.00,113.79,204.17,188.01,108.20,40.26,45.41,34.09,42.31,-1.02,-20.43,142.00,56.00,239.00,173.00,0.00,0.00,99.50,199.16,201.70,122.77,3.94,4.31,119.87,222.68,203.27,122.36,3.65,5.55,599.95,439.21,0.00,0.00,0.245,1231.038,-45.112,107.647,-4.09,-3.82,-2.64,2.66,0.87,0.99,0.996,0.996,-0.034,-0.039,0.086,0.086,
0.300,11111100,3,0,0,10,1,0.00,0.00,114.06,205.21,188.67,108.76,40.74,45.63,34.16,41.63,-1.54,-17.90,142.00,56.00,239.00,173.00,0.00,0.00,99.62,199.26,202.21,122.88,4.15,4.26,119.73,222.87,203.57,122.38,5.50,5.74,604.47,437.37,0.00,0.00,0.245,1231.038,-40.203,124.647,-4.08,-3.82,-2.64,2.67,0.87,0.99,0.995,0.994,-0.030,-0.035,0.100,0.100,
0.311,11111100,1,0,0,12,1,0.00,0.00,113.99,204.91,188.88,108.95,40.75,45.72,34.14,40.62,-1.59,-17.43,143.00,56.00,239.00,173.00,0.00,0.00,99.50,199.16,202.30,122.77,3.94,4.31,119.81,222.63,203.42,122.28,4.61,5.48,606.66,444.51,0.00,0.00,0.254,1173.671,-66.726,214.329,-4.08,-3.82,-2.64,2.67,0.87,0.99,0.983,0.982,-0.053,-0.058,0.178,0.178,
0.322,11111100,1,0,0,14,1,0.00,0.00,109.76,200.68,186.52,109.27,40.61,46.06,34.84,36.75,2.41,-16.64,142.00,57.00,239.00,171.00,0.00,0.00,97.47,196.63,200.86,121.87,4.56,3.93,118.07,220.50,202.50,122.00,3.98,5.99,604.77,451.82,0.00,0.00,0.263,1129.952,-111.813,200.377,-4.07,-3.81,-2.64,2.67,0.88,0.99,0.980,0.980,-0.094,-0.099,0.172,0.172,
0.344,11111100,3,0,0,18,1,0.00,0.00,105.95,193.26,183.60,105.44,39.05,45.06,34.37,41.09,0.12,-14.68,141.00,55.00,236.00,169.00,0.00,0.00,96.22,192.63,200.86,120.87,4.42,3.93,115.82,217.16,201.58,121.32,4.63,6.07,597.72,453.28,0.00,0.00,0.284,1045.840,-160.438,133.821,-4.07,-3.81,-2.64,2.67,0.88,1.00,0.981,0.981,-0.147,-0.152,0.124,0.124,
