ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-03-25 18:35:01:197
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,177,1,0.00,0.00,130.21,220.31,215.83,121.24,4.47,4.25,3.31,4.15,28.36,-25.62,193.00,91.00,239.00,161.00,0.00,0.00,118.44,215.00,226.13,130.50,5.06,2.24,132.00,227.50,226.00,130.50,3.46,3.32,653.52,530.92,0.00,0.00,0.190,1496.410,12.750,350.718,-4.61,-4.72,-2.73,2.37,0.57,0.52,0.974,0.974,0.010,0.007,0.227,0.227,
0.006,11111100,0,0,0,178,1,0.00,0.00,128.59,218.53,215.49,121.39,4.55,4.31,3.15,4.14,28.71,-27.45,193.00,91.00,239.00,161.00,0.00,0.00,117.29,214.00,225.64,130.50,3.47,2.24,131.36,226.60,225.95,130.50,3.54,3.24,650.08,528.71,0.00,0.00,0.189,1499.169,-19.998,351.402,-4.60,-4.73,-2.74,2.37,0.57,0.51,0.974,0.974,-0.011,-0.014,0.227,0.227,
0.011,11111100,0,0,0,179,1,0.00,0.00,127.10,217.62,215.97,122.01,4.49,4.28,3.24,4.20,28.56,-38.10,189.00,91.00,239.00,161.00,0.00,0.00,116.57,213.00,225.38,130.00,3.61,2.00,130.64,226.00,226.05,130.50,3.53,3.00,645.11,530.10,0.00,0.00,0.188,1501.652,-42.434,375.395,-4.60,-4.73,-2.74,2.37,0.57,0.51,0.970,0.970,-0.026,-0.029,0.241,0.241,
0.017,11111100,0,0,0,180,1,0.00,0.00,126.61,216.51,215.02,121.73,4.50,4.28,2.64,4.15,28.38,-41.26,189.00,91.00,239.00,161.00,0.00,0.00,116.29,212.00,225.64,130.00,3.47,2.00,130.48,225.50,225.97,130.50,3.93,3.32,639.18,529.15,0.00,0.00,0.188,1503.887,-57.056,354.167,-4.60,-4.72,-2.74,2.37,0.58,0.52,0.973,0.973,-0.035,-0.038,0.228,0.228,
0.228,11111100,37,0,0,38,1,0.00,0.00,128.15,218.48,215.59,121.62,4.45,4.27,3.15,3.95,28.00,-49.25,192.00,87.00,239.00,162.00,0.00,0.00,116.00,214.00,225.00,130.50,2.00,2.24,131.00,226.55,226.00,130.53,3.46,3.29,634.92,528.17,0.00,0.00,0.188,1505.898,-22.695,362.570,-4.58,-4.72,-2.74,2.37,0.58,0.52,0.972,0.972,-0.013,-0.016,0.233,0.233,
0.239,11111100,1,0,0,40,1,0.00,0.00,128.10,218.19,216.56,121.07,4.47,4.28,3.09,4.03,27.30,-50.11,192.00,91.00,239.00,162.00,0.00,0.00,117.48,214.00,225.97,130.50,3.93,2.24,131.00,226.55,226.00,130.53,3.46,3.29,630.32,529.04,0.00,0.00,0.188,1507.709,-27.662,362.630,-4.59,-4.73,-2.74,2.37,0.58,0.51,0.972,0.972,-0.016,-0.019,0.233,0.233,
0.244,11111100,0,0,0,41,1,0.00,0.00,128.72,218.19,215.63,121.07,4.30,4.28,3.24,4.03,29.74,-50.11,193.00,91.00,239.00,162.00,0.00,0.00,117.44,214.00,226.13,130.50,5.06,2.24,131.48,226.55,225.97,130.53,3.91,3.29,628.17,528.60,0.00,0.00,0.188,1509.338,-22.014,347.994,-4.59,-4.73,-2.74,2.37,0.58,0.51,0.975,0.975,-0.012,-0.016,0.224,0.224,
0.256,11111100,1,0,0,43,1,0.00,0.00,128.66,218.19,215.64,121.07,4.33,4.28,3.13,4.03,29.20,-50.11,193.00,91.00,239.00,162.00,0.00,0.00,117.29,214.00,225.64,130.50,3.47,2.24,131.36,226.55,225.95,130.53,3.54,3.29,628.03,528.37,0.00,0.00,0.188,1510.804,-22.437,351.279,-4.59,-4.73,-2.74,2.37,0.58,0.51,0.974,0.974,-0.013,-0.016,0.225,0.225,
0.272,11111100,2,0,0,46,1,0.00,0.00,128.66,218.82,215.45,120.55,4.34,4.28,3.18,3.93,29.17,-48.15,193.00,92.00,239.00,161.00,0.00,0.00,117.29,214.00,225.64,130.50,3.47,2.24,131.36,226.50,225.95,130.50,3.54,3.32,629.68,525.30,0.00,0.00,0.188,1512.124,-15.932,338.569,-4.58,-4.74,-2.74,2.36,0.58,0.51,0.976,0.976,-0.008,-0.012,0.217,0.218,
0.283,11111100,1,0,0,48,1,0.00,0.00,128.85,218.86,215.78,121.14,4.37,4.23,3.21,4.16,29.25,-38.91,193.00,92.00,239.00,160.00,0.00,0.00,117.29,214.00,225.64,130.50,3.47,2.24,131.36,226.50,225.95,130.50,3.54,3.32,632.36,525.12,0.00,0.00,0.187,1513.311,-13.624,354.064,-4.58,-4.75,-2.74,2.36,0.58,0.50,0.974,0.974,-0.007,-0.010,0.227,0.227,
0.300,11111100,2,0,0,51,1,0.00,0.00,128.85,218.79,215.78,121.80,4.39,4.29,3.21,4.20,29.25,-37.89,193.00,91.00,239.00,160.00,0.00,0.00,117.29,214.00,225.64,130.50,3.47,2.24,131.36,226.50,225.95,130.50,3.54,3.32,632.88,525.15,0.00,0.00,0.187,1514.380,-14.273,364.997,-4.58,-4.75,-2.74,2.36,0.58,0.50,0.972,0.972,-0.007,-0.011,0.233,0.233,
0.339,11111100,6,0,0,58,1,0.00,0.00,129.12,218.79,216.25,121.80,4.40,4.29,3.31,4.20,30.62,-37.89,193.00,91.00,239.00,160.00,0.00,0.00,117.91,214.00,225.96,130.50,4.71,2.24,131.64,226.50,226.05,130.50,3.53,3.32,633.85,525.58,0.00,0.00,0.187,1515.342,-12.017,369.982,-4.59,-4.75,-2.74,2.36,0.58,0.50,0.972,0.972,-0.006,-0.009,0.236,0.236,
