ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-03-29 18:44:33:000
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,102,0,0.00,0.00,125.35,190.14,152.69,58.02,2.30,2.38,1.85,1.87,13.20,-25.36,125.00,30.00,192.00,116.00,0.00,0.00,94.00,176.26,218.00,107.96,2.00,14.12,156.75,185.00,200.25,109.00,4.39,2.00,625.11,154.25,0.00,0.00,0.212,1523.947,-49.776,-424.989,-3.35,-3.26,-2.87,3.00,1.37,1.41,0.963,0.963,-0.030,-0.033,-0.269,-0.269,
0.006,01111100,0,0,0,103,0,0.00,0.00,125.31,190.13,152.73,57.94,2.32,2.39,1.80,1.84,13.47,-25.40,125.00,30.00,192.00,115.00,0.00,0.00,101.00,177.85,204.00,108.44,2.00,16.43,0.00,221.94,0.00,115.15,0.00,16.23,623.55,152.88,0.00,0.00,0.211,1523.952,-56.033,-450.723,-3.35,-3.26,-2.87,3.00,1.37,1.41,0.958,0.958,-0.033,-0.037,-0.284,-0.284,
0.011,11111100,0,0,0,104,0,0.00,0.00,125.18,190.13,152.69,57.94,2.31,2.39,1.81,1.85,13.82,-25.40,125.00,30.00,181.00,115.00,0.00,0.00,152.00,177.85,206.00,108.44,2.00,16.43,201.79,221.94,157.15,115.15,4.79,16.23,621.95,154.21,0.00,0.00,0.212,1523.957,-56.814,-435.967,-3.35,-3.26,-2.87,3.00,1.37,1.41,0.961,0.961,-0.034,-0.038,-0.275,-0.275,
0.217,11111100,36,0,0,141,0,0.00,0.00,125.67,190.13,152.64,57.94,2.27,2.39,1.79,1.85,11.38,-25.40,124.00,30.00,193.00,115.00,0.00,0.00,94.00,177.85,203.00,108.44,2.00,16.43,157.00,221.94,206.00,115.15,2.00,16.23,620.20,155.47,0.00,0.00,0.212,1523.961,-65.138,-437.926,-3.27,-3.25,-2.90,2.98,1.40,1.41,0.960,0.960,-0.039,-0.043,-0.276,-0.276,
0.222,11111100,0,0,0,142,0,0.00,0.00,125.67,190.62,152.64,57.79,2.26,2.40,1.79,1.82,11.38,-24.04,124.00,30.00,193.00,124.00,0.00,0.00,94.00,179.01,203.00,108.40,2.00,15.49,157.00,221.83,206.00,113.60,2.00,14.72,618.86,155.56,0.00,0.00,0.212,1523.965,-68.226,-432.780,-3.27,-3.25,-2.90,2.98,1.40,1.41,0.961,0.961,-0.041,-0.045,-0.273,-0.273,
0.233,11111100,1,0,0,144,0,0.00,0.00,125.55,190.72,153.39,58.28,2.25,2.38,1.64,1.89,11.73,-24.65,125.00,30.00,216.00,84.00,0.00,0.00,93.00,172.00,216.00,108.00,2.00,2.00,156.00,225.38,199.00,116.47,2.00,10.86,617.50,158.92,0.00,0.00,0.212,1523.969,-73.796,-419.972,-3.27,-3.25,-2.90,2.98,1.40,1.41,0.963,0.963,-0.045,-0.048,-0.266,-0.266,
0.239,11111100,0,0,0,145,0,0.00,0.00,125.63,190.72,152.82,58.28,2.26,2.38,1.77,1.89,11.70,-24.65,124.00,30.00,193.00,84.00,0.00,0.00,141.00,172.00,197.00,108.00,2.00,2.00,157.21,225.38,200.88,116.47,5.96,10.86,616.06,162.49,0.00,0.00,0.214,1523.972,-73.400,-378.701,-3.27,-3.25,-2.90,2.98,1.40,1.41,0.969,0.969,-0.045,-0.048,-0.241,-0.241,
0.250,01111100,1,0,0,147,0,0.00,0.00,125.77,190.77,152.84,58.10,2.26,2.39,1.77,1.83,10.80,-25.40,124.00,30.00,193.00,115.00,0.00,0.00,88.00,181.84,206.00,108.72,2.00,20.12,0.00,223.85,0.00,116.23,0.00,15.65,614.63,163.46,0.00,0.00,0.212,1523.975,-79.555,-438.200,-3.27,-3.25,-2.90,2.98,1.40,1.41,0.960,0.960,-0.048,-0.052,-0.276,-0.276,
0.267,11101100,2,0,0,150,0,0.00,0.00,125.89,191.01,152.86,58.15,2.28,2.33,1.80,1.85,12.06,-25.63,124.00,30.00,193.00,120.00,0.00,0.00,0.00,180.00,0.00,108.00,0.00,2.00,156.00,219.67,203.00,113.42,2.00,21.88,613.37,165.84,0.00,0.00,0.213,1523.977,-77.576,-405.176,-3.27,-3.25,-2.90,2.98,1.40,1.41,0.965,0.965,-0.047,-0.051,-0.257,-0.257,
0.283,11111100,2,0,0,153,0,0.00,0.00,126.22,191.36,152.97,58.74,2.26,2.34,1.80,1.92,12.51,-26.33,124.00,30.00,192.00,121.00,0.00,0.00,95.00,148.00,202.00,121.00,2.00,2.00,149.51,209.00,227.62,101.00,4.50,2.00,612.84,168.11,0.00,0.00,0.213,1523.979,-73.848,-408.553,-3.27,-3.25,-2.90,2.98,1.40,1.41,0.965,0.965,-0.045,-0.049,-0.259,-0.259,
