ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-02-08 15:14:40:601
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,110,1,0.00,0.00,151.43,162.41,154.48,40.79,4.97,6.03,4.27,5.07,26.97,-31.91,105.00,1.00,220.00,92.00,0.00,0.00,126.16,160.29,180.42,69.87,11.19,11.12,156.99,188.38,178.99,71.25,7.03,16.22,689.28,288.55,0.00,0.00,1.221,280.167,25.194,-28.713,-3.43,-4.89,-3.06,2.92,1.30,0.72,0.990,0.992,0.099,0.077,-0.105,-0.102,
0.006,11111100,0,0,0,111,1,0.00,0.00,151.53,162.48,154.37,40.63,4.96,6.03,4.24,5.11,27.20,-32.39,105.00,1.00,213.00,92.00,0.00,0.00,126.22,160.28,180.43,69.85,11.20,10.95,157.07,188.96,179.03,71.61,7.32,12.94,689.62,288.11,0.00,0.00,1.221,280.167,25.401,-28.925,-3.44,-4.89,-3.05,2.92,1.29,0.72,0.989,0.992,0.099,0.078,-0.105,-0.103,
0.011,11111100,0,0,0,112,0,0.00,0.00,151.45,162.29,154.52,40.63,4.96,6.03,4.28,5.10,27.24,-32.74,105.00,1.00,220.00,92.00,0.00,0.00,126.09,160.29,180.49,69.87,10.86,11.12,157.00,188.76,179.07,71.74,7.25,13.67,671.68,273.70,0.00,0.00,1.150,280.167,-29.512,-62.514,-3.45,-4.89,-3.05,2.92,1.29,0.72,0.972,0.970,-0.091,-0.110,-0.219,-0.215,
0.017,11111100,0,0,0,113,0,0.00,0.00,151.33,162.31,154.69,40.57,4.96,6.03,4.27,5.10,28.01,-33.32,105.00,1.00,220.00,92.00,0.00,0.00,126.09,160.24,180.49,69.83,10.86,11.04,157.00,188.85,179.07,71.53,7.25,12.72,654.70,260.84,0.00,0.00,1.167,280.167,-26.589,-58.794,-3.45,-4.50,-3.05,2.96,1.29,0.87,0.975,0.974,-0.081,-0.101,-0.207,-0.204,
0.022,11111100,0,0,0,114,0,0.00,0.00,183.09,162.11,170.58,40.62,4.96,6.03,4.26,5.08,34.71,-33.46,126.00,1.00,225.00,92.00,0.00,0.00,136.40,160.06,187.10,69.82,11.32,10.98,171.73,188.53,184.75,71.56,5.93,13.28,638.19,249.21,0.00,0.00,1.175,280.167,-24.927,-56.158,-3.45,-4.36,-3.05,2.98,1.29,0.93,0.977,0.976,-0.075,-0.096,-0.198,-0.196,
0.267,11111100,43,0,0,158,0,0.00,0.00,152.11,161.65,156.23,41.08,4.95,6.01,4.31,5.17,27.96,-33.39,105.00,1.00,221.00,92.00,0.00,0.00,126.43,159.34,181.02,69.91,11.86,11.18,157.34,187.77,179.47,71.26,7.28,14.24,622.02,238.92,0.00,0.00,1.182,280.167,-23.897,-52.970,-3.46,-4.26,-3.05,2.99,1.29,0.97,0.980,0.978,-0.072,-0.092,-0.187,-0.186,
0.283,11111100,2,0,0,161,0,0.00,0.00,152.05,161.70,156.15,41.09,4.92,5.93,4.26,5.05,27.63,-33.69,105.00,1.00,221.00,92.00,0.00,0.00,126.56,159.34,180.94,69.91,11.62,11.18,157.26,187.84,179.39,71.12,7.11,14.00,606.29,229.34,0.00,0.00,1.187,280.167,-22.345,-51.497,-3.46,-4.17,-3.05,3.00,1.28,1.00,0.981,0.980,-0.067,-0.087,-0.183,-0.181,
0.294,11111100,1,0,0,163,0,0.00,0.00,152.02,161.66,156.18,41.07,4.88,5.84,4.22,5.01,27.09,-33.84,104.00,1.00,221.00,92.00,0.00,0.00,126.41,159.41,181.07,69.92,11.83,11.42,157.33,187.91,179.36,71.22,7.17,14.34,590.85,220.30,0.00,0.00,1.191,280.167,-21.239,-50.447,-3.47,-4.10,-3.05,3.01,1.28,1.03,0.982,0.981,-0.063,-0.084,-0.179,-0.178,
0.344,11111100,8,0,0,172,0,0.00,0.00,152.19,161.66,156.42,41.07,4.84,5.84,4.23,5.01,26.81,-33.84,105.00,1.00,221.00,92.00,0.00,0.00,126.41,159.41,181.07,69.92,11.83,11.42,157.40,187.91,179.33,71.22,7.23,14.34,594.00,240.72,0.00,0.00,1.318,256.551,-18.304,-12.762,-3.47,-4.10,-3.05,3.01,1.28,1.03,0.997,0.995,-0.058,-0.081,-0.054,-0.053,
0.361,11111100,2,0,0,175,0,0.00,0.00,152.26,161.59,156.33,41.05,4.79,5.72,4.19,4.83,26.59,-34.03,105.00,1.00,221.00,92.00,0.00,0.00,126.52,159.31,180.94,69.82,11.41,11.36,157.40,187.78,179.33,71.09,7.23,13.53,596.81,259.93,0.00,0.00,1.441,235.624,-15.214,-11.009,-3.48,-3.98,-3.05,3.03,1.28,1.08,0.997,0.996,-0.051,-0.076,-0.051,-0.050,
