ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-29 20:08:38:602
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,23,1,0.00,0.00,139.02,204.50,153.16,87.74,28.34,30.30,24.40,29.17,34.18,-36.39,125.00,60.00,174.00,122.00,0.00,0.00,123.55,205.00,165.53,99.00,3.29,2.00,138.00,219.00,165.00,99.00,2.00,3.46,616.65,509.84,0.00,0.00,8.220,30.931,-1.249,6.304,-4.56,-4.71,-2.76,2.42,0.65,0.59,0.987,0.982,0.042,-0.101,0.157,0.158,
0.006,11111100,0,0,0,24,1,0.00,0.00,138.87,204.39,152.98,87.94,27.89,30.19,24.70,27.92,36.04,-33.19,125.00,60.00,181.00,125.00,0.00,0.00,123.60,205.00,165.50,98.00,3.24,2.00,138.00,219.00,165.00,98.00,2.00,2.00,616.69,508.27,0.00,0.00,8.130,31.262,-1.335,6.715,-4.56,-4.71,-2.76,2.42,0.65,0.59,0.985,0.981,0.039,-0.102,0.167,0.167,
0.011,11111100,0,0,0,25,1,0.00,0.00,138.73,204.35,153.07,87.61,27.97,30.76,24.70,28.37,38.49,-33.96,125.00,60.00,182.00,125.00,0.00,0.00,123.50,206.00,165.50,99.00,3.16,2.00,138.00,219.00,165.00,98.00,2.00,2.00,616.45,507.26,0.00,0.00,8.060,31.605,-1.434,6.516,-4.56,-4.71,-2.76,2.42,0.65,0.59,0.986,0.982,0.036,-0.104,0.160,0.160,
0.017,11111100,0,0,0,26,1,0.00,0.00,138.85,204.35,152.58,87.61,27.61,30.76,23.36,28.37,36.59,-33.96,126.00,60.00,178.00,125.00,0.00,0.00,123.50,206.00,165.56,99.00,3.24,2.00,138.00,219.00,165.00,98.00,2.00,2.00,616.14,505.13,0.00,0.00,7.995,31.928,-1.435,6.408,-4.56,-4.71,-2.76,2.42,0.65,0.59,0.987,0.982,0.036,-0.103,0.156,0.156,
0.222,11111100,36,0,0,63,1,0.00,0.00,140.14,204.35,151.69,87.61,28.14,30.76,23.93,28.37,35.26,-33.96,125.00,60.00,179.00,125.00,0.00,0.00,124.00,206.00,164.50,99.00,2.24,2.00,138.00,219.00,164.00,98.00,2.00,2.00,616.59,504.48,0.00,0.00,8.008,31.876,-1.183,6.498,-4.56,-4.71,-2.76,2.42,0.65,0.59,0.986,0.983,0.043,-0.097,0.158,0.159,
0.228,11111100,0,0,0,64,1,0.00,0.00,140.31,206.47,151.82,85.45,27.98,30.46,24.44,27.47,36.33,-37.53,125.00,60.00,178.00,123.00,0.00,0.00,124.00,206.00,164.50,97.00,2.24,2.00,138.00,220.00,164.00,97.00,2.00,2.00,618.73,503.16,0.00,0.00,7.911,32.551,-0.614,6.068,-4.58,-4.68,-2.77,2.43,0.64,0.60,0.988,0.986,0.057,-0.080,0.144,0.145,
0.233,11111100,0,0,0,65,1,0.00,0.00,140.23,206.58,151.69,85.29,28.12,30.83,23.55,26.72,35.41,-40.32,125.00,59.00,179.00,124.00,0.00,0.00,123.89,206.00,164.60,97.00,2.97,2.00,138.00,219.00,164.00,97.00,2.00,2.00,620.85,500.53,0.00,0.00,7.763,33.274,-0.583,6.037,-4.59,-4.69,-2.77,2.43,0.64,0.60,0.988,0.987,0.057,-0.078,0.141,0.141,
0.239,11111100,0,0,0,66,1,0.00,0.00,140.00,206.51,151.87,84.87,27.86,30.60,24.06,25.95,37.51,-41.03,125.00,60.00,175.00,123.00,0.00,0.00,123.89,206.00,164.60,97.00,2.97,2.00,138.00,219.00,164.00,97.00,2.00,2.00,623.06,496.20,0.00,0.00,7.614,34.023,-0.642,6.058,-4.59,-4.69,-2.77,2.43,0.64,0.59,0.989,0.987,0.055,-0.078,0.139,0.139,
0.244,11111100,0,0,0,67,1,0.00,0.00,140.06,206.30,151.65,85.02,28.11,30.98,22.49,25.09,36.45,-40.90,126.00,60.00,180.00,116.00,0.00,0.00,123.89,206.00,164.60,97.00,2.97,2.00,138.00,219.00,164.00,97.00,2.00,2.00,625.45,492.83,0.00,0.00,7.501,34.598,-0.680,6.143,-4.59,-4.70,-2.77,2.42,0.64,0.59,0.989,0.987,0.053,-0.078,0.139,0.139,
0.250,11111100,0,0,0,68,1,0.00,0.00,140.12,206.51,151.53,84.87,28.23,30.71,22.87,26.36,34.47,-42.00,125.00,60.00,175.00,125.00,0.00,0.00,123.89,206.00,164.60,97.00,2.97,2.00,138.00,219.00,164.00,97.00,2.00,2.00,628.04,489.70,0.00,0.00,7.389,35.223,-0.600,6.133,-4.59,-4.69,-2.77,2.43,0.64,0.59,0.989,0.988,0.054,-0.075,0.136,0.137,
