ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-04-03 15:25:55:750
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111000,0,0,0,165,1,0.00,0.00,124.50,249.28,217.82,134.91,3.10,3.23,2.61,2.63,43.03,27.09,157.00,77.00,239.00,161.00,0.00,0.00,110.00,0.00,226.00,0.00,4.92,0.00,119.00,245.00,226.00,144.00,2.00,2.00,763.81,523.03,0.00,0.00,0.152,1524.000,343.902,340.137,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.953,0.954,0.216,0.213,0.212,0.212,
0.006,11111000,0,0,0,166,1,0.00,0.00,124.56,249.03,216.83,134.70,3.31,3.27,2.67,2.64,45.21,32.07,158.00,76.00,239.00,161.00,0.00,0.00,110.15,0.00,226.04,0.00,4.48,0.00,119.00,245.00,226.00,144.00,2.00,2.00,764.16,519.94,0.00,0.00,0.152,1524.000,341.853,315.362,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.956,0.957,0.215,0.213,0.197,0.197,
0.011,11111000,0,0,0,167,1,0.00,0.00,124.58,249.11,216.79,135.28,3.20,3.18,2.75,2.76,46.85,33.95,156.00,77.00,239.00,158.00,0.00,0.00,110.15,0.00,226.04,0.00,4.48,0.00,119.00,245.00,226.00,144.00,2.00,2.00,764.39,518.07,0.00,0.00,0.152,1524.000,343.110,327.872,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.955,0.955,0.216,0.213,0.205,0.205,
0.017,11111000,0,0,0,168,1,0.00,0.00,124.64,249.11,217.50,135.28,3.22,3.17,2.52,2.75,47.66,33.95,156.00,77.00,239.00,158.00,0.00,0.00,110.15,0.00,226.04,0.00,4.48,0.00,119.00,245.00,226.00,144.00,2.00,2.00,764.45,517.59,0.00,0.00,0.152,1524.000,344.510,342.024,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.953,0.953,0.216,0.214,0.213,0.213,
0.183,11111000,29,0,0,18,1,0.00,0.00,124.61,248.80,216.90,135.80,3.19,3.16,2.78,2.99,48.64,25.14,156.00,76.00,239.00,163.00,0.00,0.00,110.15,0.00,226.04,0.00,4.48,0.00,119.00,245.00,226.00,144.00,2.00,2.00,764.99,514.84,0.00,0.00,0.152,1524.000,341.216,342.544,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.953,0.954,0.214,0.212,0.213,0.214,
0.228,11111000,7,0,0,26,1,0.00,0.00,124.57,248.80,217.19,135.80,3.16,3.14,2.67,2.97,47.87,25.14,156.00,76.00,239.00,163.00,0.00,0.00,110.00,0.00,226.00,0.00,4.92,0.00,119.00,245.00,226.00,144.00,2.00,2.00,765.05,515.80,0.00,0.00,0.152,1524.000,340.797,348.435,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.953,0.953,0.214,0.211,0.217,0.217,
0.233,11111000,0,0,0,27,1,0.00,0.00,124.57,249.19,217.19,135.05,3.16,3.14,2.67,2.78,47.87,30.40,156.00,75.00,239.00,162.00,0.00,0.00,110.00,0.00,226.00,0.00,4.92,0.00,119.00,245.00,226.00,144.00,2.00,2.00,765.05,515.11,0.00,0.00,0.152,1524.000,343.893,331.236,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.954,0.955,0.216,0.213,0.207,0.207,
0.239,11111000,0,0,0,28,1,0.00,0.00,124.57,249.31,217.19,134.21,3.16,3.22,2.67,2.89,47.87,31.95,156.00,76.00,239.00,161.00,0.00,0.00,110.00,0.00,226.00,0.00,4.92,0.00,119.00,245.00,226.00,144.00,2.00,2.00,765.21,514.92,0.00,0.00,0.152,1524.000,344.416,312.851,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.956,0.957,0.217,0.214,0.196,0.196,
0.256,11111000,2,0,0,31,1,0.00,0.00,124.45,249.14,217.66,134.78,3.16,3.15,2.51,2.72,48.53,36.05,158.00,76.00,239.00,162.00,0.00,0.00,110.09,0.00,226.04,0.00,4.73,0.00,119.00,245.00,226.00,144.00,2.00,2.00,765.13,515.48,0.00,0.00,0.152,1524.000,341.821,335.059,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.954,0.955,0.215,0.212,0.209,0.209,
0.306,11111000,8,0,0,40,1,0.00,0.00,124.69,249.14,216.82,134.78,3.15,3.14,2.79,2.71,49.32,36.05,157.00,76.00,239.00,162.00,0.00,0.00,110.15,0.00,226.04,0.00,4.48,0.00,120.00,245.00,226.00,144.00,2.00,2.00,765.15,513.72,0.00,0.00,0.152,1524.000,344.778,319.341,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.956,0.956,0.217,0.214,0.199,0.200,
0.322,11111000,2,0,0,43,1,0.00,0.00,124.39,249.14,216.95,134.78,3.11,3.13,2.84,2.70,50.39,36.05,159.00,76.00,239.00,162.00,0.00,0.00,110.15,0.00,226.04,0.00,4.48,0.00,119.00,245.00,226.00,144.00,2.00,2.00,765.10,512.08,0.00,0.00,0.152,1524.000,340.481,321.316,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.956,0.956,0.214,0.212,0.201,0.201,
0.328,11111000,0,0,0,44,1,0.00,0.00,124.39,248.85,216.95,135.93,3.09,3.16,2.83,2.77,50.39,30.16,159.00,77.00,239.00,163.00,0.00,0.00,110.15,0.00,226.04,0.00,4.48,0.00,119.00,245.00,226.00,144.00,2.00,2.00,764.96,511.83,0.00,0.00,0.152,1524.000,338.446,345.122,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.953,0.954,0.212,0.210,0.215,0.215,
0.367,11111000,6,0,0,51,1,0.00,0.00,124.39,249.37,216.95,135.00,3.09,3.19,2.83,2.54,50.39,29.37,159.00,76.00,239.00,162.00,0.00,0.00,110.15,0.00,226.04,0.00,4.48,0.00,119.00,245.00,226.00,144.00,2.00,2.00,764.88,511.26,0.00,0.00,0.152,1524.000,342.582,323.863,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.955,0.956,0.215,0.213,0.202,0.202,
0.383,11111000,2,0,0,54,1,0.00,0.00,124.54,249.37,217.26,135.00,3.15,3.20,2.67,2.55,50.71,29.37,156.00,76.00,239.00,162.00,0.00,0.00,110.15,0.00,226.04,0.00,4.48,0.00,119.00,245.00,226.00,144.00,2.00,2.00,764.91,512.58,0.00,0.00,0.152,1524.000,344.936,330.009,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.954,0.955,0.217,0.214,0.206,0.206,
0.428,11111000,7,0,0,62,1,0.00,0.00,124.54,249.01,217.09,135.93,3.16,3.24,2.81,2.57,50.21,25.09,156.00,76.00,239.00,160.00,0.00,0.00,110.00,0.00,226.00,0.00,4.92,0.00,119.00,245.00,226.00,144.00,2.00,2.00,764.94,513.48,0.00,0.00,0.152,1524.000,342.279,346.626,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.953,0.953,0.215,0.212,0.216,0.216,
0.444,11111000,2,0,0,65,1,0.00,0.00,124.36,249.01,217.44,135.93,3.16,3.29,2.64,2.61,50.13,25.09,159.00,76.00,239.00,160.00,0.00,0.00,110.00,0.00,226.00,0.00,4.92,0.00,119.00,245.00,226.00,144.00,2.00,2.00,764.63,516.08,0.00,0.00,0.152,1524.000,339.709,352.988,-5.26,-5.21,-2.31,2.06,0.19,0.22,0.952,0.953,0.213,0.210,0.220,0.220,
