ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-03-29 18:14:58:398
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,14,1,0.00,0.00,144.10,272.75,134.23,37.82,4.35,4.60,3.61,3.52,59.54,44.96,91.00,1.00,178.00,90.00,0.00,0.00,107.91,238.57,146.00,52.62,6.75,3.60,131.68,259.50,145.39,55.00,3.73,5.00,818.19,443.49,0.00,0.00,0.169,1503.371,556.085,114.736,-4.00,-3.82,-2.60,2.53,1.12,1.19,0.935,0.936,0.347,0.344,0.070,0.071,
0.006,11111100,0,0,0,15,1,0.00,0.00,140.17,269.03,132.14,36.14,4.43,4.66,3.73,3.60,56.77,43.43,89.00,1.00,177.00,88.00,0.00,0.00,107.04,212.00,144.63,74.50,8.81,3.49,130.50,258.19,144.74,54.42,3.80,4.60,822.15,433.29,0.00,0.00,0.174,1505.434,493.958,75.591,-4.00,-3.82,-2.60,2.53,1.12,1.19,0.949,0.950,0.312,0.309,0.047,0.047,
0.011,11111100,0,0,0,16,1,0.00,0.00,136.37,264.83,129.35,34.86,4.45,4.67,3.77,3.71,54.17,41.89,89.00,1.00,176.00,87.00,0.00,0.00,106.02,233.50,143.98,51.50,9.32,3.32,128.73,255.87,144.34,53.86,4.72,5.34,822.48,421.56,0.00,0.00,0.178,1507.290,434.410,53.629,-4.00,-3.82,-2.60,2.53,1.12,1.19,0.960,0.961,0.278,0.275,0.033,0.033,
0.017,11111100,0,0,0,17,1,0.00,0.00,132.71,260.23,127.42,33.25,4.43,4.76,3.90,3.86,51.76,40.43,85.00,1.00,167.00,85.00,0.00,0.00,105.67,231.09,142.75,50.96,11.46,4.72,126.62,254.72,142.58,52.27,6.79,4.51,819.12,408.84,0.00,0.00,0.182,1508.961,374.393,44.210,-4.00,-3.82,-2.60,2.53,1.12,1.19,0.970,0.971,0.242,0.239,0.028,0.028,
0.022,11111100,0,0,0,18,1,0.00,0.00,129.29,255.40,124.89,31.49,4.40,4.77,3.95,3.93,48.74,43.23,84.00,1.00,166.00,78.00,0.00,0.00,104.40,229.00,142.01,50.31,5.27,4.33,124.00,253.41,141.81,51.52,6.41,4.62,812.13,393.97,0.00,0.00,0.185,1510.465,315.567,15.513,-4.00,-3.82,-2.60,2.53,1.12,1.19,0.979,0.979,0.206,0.202,0.009,0.009,
0.206,11001100,32,0,0,51,1,0.00,0.00,129.00,255.40,0.00,31.49,0.00,4.78,0.00,3.94,0.00,43.23,130.00,1.00,174.00,78.00,91.00,0.00,0.00,229.00,0.00,50.31,0.00,4.33,89.50,253.41,133.50,51.52,4.77,4.62,793.33,388.34,0.00,0.00,0.185,1510.465,317.762,58.847,-4.00,-3.82,-2.60,2.53,1.12,1.19,0.978,0.978,0.207,0.204,0.037,0.037,
0.211,11110100,0,0,0,52,1,0.00,0.00,129.29,255.00,124.89,0.00,4.37,0.00,3.93,0.00,48.74,0.00,84.00,2.00,166.00,65.00,0.00,0.00,104.40,213.98,142.01,47.00,5.27,3.87,124.00,237.96,141.81,48.43,6.41,8.34,777.54,389.28,0.00,0.00,0.185,1510.465,301.546,127.348,-4.00,-3.82,-2.60,2.53,1.12,1.19,0.977,0.978,0.196,0.193,0.081,0.081,
0.233,11110100,3,0,0,56,1,0.00,0.00,129.29,255.00,124.89,0.00,4.35,0.00,3.92,0.00,48.74,0.00,84.00,5.00,166.00,77.00,0.00,0.00,104.40,213.84,142.01,47.23,5.27,4.30,124.00,237.86,141.81,48.54,6.41,8.44,765.63,393.29,0.00,0.00,0.185,1510.465,301.546,127.348,-4.00,-3.82,-2.60,2.53,1.12,1.19,0.977,0.978,0.196,0.193,0.081,0.081,
0.239,11110100,0,0,0,57,1,0.00,0.00,129.29,255.00,124.89,0.00,4.35,0.00,3.91,0.00,48.74,0.00,84.00,5.00,166.00,76.00,0.00,0.00,104.40,214.00,142.01,47.27,5.27,4.06,124.00,238.00,141.81,48.50,6.41,8.33,757.42,399.03,0.00,0.00,0.185,1510.465,301.546,127.348,-4.00,-3.82,-2.60,2.53,1.12,1.19,0.977,0.978,0.196,0.193,0.081,0.081,
0.278,11110100,6,0,0,64,1,0.00,0.00,129.29,255.00,124.89,0.00,4.34,0.00,3.90,0.00,48.74,0.00,84.00,2.00,166.00,76.00,0.00,0.00,104.40,215.00,142.01,52.00,5.27,2.00,124.00,238.55,141.81,48.83,6.41,9.06,752.92,405.51,0.00,0.00,0.185,1510.465,301.546,127.348,-4.00,-3.82,-2.60,2.53,1.12,1.19,0.977,0.978,0.196,0.193,0.081,0.081,
