ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-31 15:26:02:677
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,141,1,0.00,0.00,116.76,199.96,201.02,127.09,28.40,30.47,26.06,28.08,33.43,4.13,180.00,94.00,239.00,169.00,0.00,0.00,105.00,189.09,213.00,192.64,2.00,8.79,119.00,202.25,213.00,185.20,2.00,10.88,635.58,603.51,0.00,0.00,0.639,443.680,-23.818,94.509,-4.65,-4.49,-2.53,2.58,0.61,0.68,0.978,0.977,-0.046,-0.058,0.205,0.205,
0.006,11111100,0,0,0,142,1,0.00,0.00,116.42,199.72,200.86,127.10,27.89,30.57,25.76,27.72,28.01,1.45,169.00,94.00,239.00,169.00,0.00,0.00,105.00,197.00,213.00,136.00,2.00,2.00,119.00,212.00,213.00,137.00,2.00,2.00,624.94,562.28,0.00,0.00,0.685,415.551,-22.465,80.275,-4.65,-4.49,-2.53,2.58,0.61,0.68,0.981,0.981,-0.047,-0.058,0.186,0.186,
0.011,11111100,0,0,0,143,1,0.00,0.00,116.18,199.79,201.09,127.29,28.19,30.16,25.91,29.19,21.24,-4.74,169.00,94.00,239.00,166.00,0.00,0.00,105.00,198.00,213.00,137.00,2.00,2.00,119.00,213.00,213.00,137.50,2.00,2.24,614.05,520.38,0.00,0.00,0.727,391.811,-21.557,74.269,-4.64,-4.49,-2.54,2.59,0.62,0.68,0.982,0.981,-0.047,-0.060,0.182,0.182,
0.017,11111100,0,0,0,144,1,0.00,0.00,116.06,199.87,200.87,127.23,28.59,30.26,25.82,29.29,14.46,-10.99,169.00,93.00,239.00,166.00,0.00,0.00,105.00,198.00,213.00,136.00,2.00,2.00,119.00,213.11,213.00,137.60,2.00,2.97,610.50,505.01,0.00,0.00,0.766,371.594,-20.536,70.385,-4.64,-4.49,-2.54,2.59,0.62,0.68,0.982,0.981,-0.047,-0.060,0.182,0.182,
0.211,11111100,34,0,0,179,1,0.00,0.00,140.23,223.10,214.32,133.41,27.25,29.89,25.20,28.32,21.13,-1.49,180.00,101.00,239.00,174.00,0.00,0.00,116.00,208.00,218.00,140.00,2.00,2.00,130.00,222.00,219.00,140.00,2.00,2.00,638.05,519.44,0.00,0.00,0.759,340.578,84.135,117.729,-4.64,-4.49,-2.54,2.59,0.62,0.68,0.921,0.924,0.231,0.218,0.313,0.313,
0.228,11111100,2,0,0,2,1,0.00,0.00,142.01,227.52,214.44,133.99,27.68,29.39,24.96,29.09,26.93,4.36,180.00,101.00,239.00,175.00,0.00,0.00,144.06,211.48,141.91,141.03,7.63,3.93,159.23,225.00,142.58,140.00,4.21,2.00,668.78,531.35,0.00,0.00,0.808,316.497,89.041,102.635,-4.64,-4.49,-2.54,2.59,0.62,0.68,0.920,0.923,0.262,0.249,0.292,0.293,
0.244,11111100,2,0,0,5,1,0.00,0.00,141.71,227.76,214.63,134.22,28.03,29.14,25.44,27.96,33.44,6.19,180.00,101.00,239.00,175.00,0.00,0.00,116.00,211.50,218.00,141.00,2.00,3.00,131.00,225.00,219.00,140.00,2.00,2.00,699.58,545.64,0.00,0.00,0.859,296.978,82.727,99.292,-4.64,-4.49,-2.54,2.59,0.62,0.68,0.918,0.921,0.259,0.245,0.300,0.301,
0.256,11111100,1,0,0,7,1,0.00,0.00,141.65,227.93,214.75,133.70,27.14,30.10,25.30,28.91,37.75,-4.02,180.00,100.00,239.00,176.00,0.00,0.00,116.00,211.00,218.00,140.00,2.00,2.00,130.00,225.00,219.00,140.00,2.00,2.00,730.53,562.05,0.00,0.00,0.910,280.297,78.401,93.216,-4.64,-4.49,-2.54,2.59,0.62,0.68,0.918,0.922,0.261,0.245,0.298,0.300,
0.272,11111100,2,0,0,10,1,0.00,0.00,140.82,227.54,214.24,133.92,26.91,30.40,25.28,28.93,40.06,-8.86,179.00,100.00,239.00,175.00,0.00,0.00,116.00,211.00,218.00,140.00,2.00,2.00,130.00,225.00,218.00,140.00,2.00,2.00,760.71,578.66,0.00,0.00,0.959,267.092,72.221,88.313,-4.64,-4.49,-2.54,2.59,0.62,0.68,0.921,0.925,0.253,0.237,0.297,0.298,
0.283,11111100,1,0,0,12,1,0.00,0.00,140.82,227.37,214.24,133.78,26.91,29.57,25.28,28.44,40.06,-20.61,179.00,99.00,239.00,175.00,0.00,0.00,116.00,211.00,218.00,140.00,2.00,2.00,130.00,225.00,218.00,140.00,2.00,2.00,790.89,595.12,0.00,0.00,1.003,255.265,68.997,84.020,-4.64,-4.49,-2.54,2.59,0.62,0.68,0.921,0.925,0.254,0.237,0.296,0.297,
