ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-22 21:26:59:813
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,116,0,0.00,0.00,151.93,138.24,162.72,62.15,54.42,47.02,49.48,41.11,49.04,-13.25,123.00,12.00,209.00,97.00,0.00,0.00,123.60,132.22,178.91,80.74,8.77,5.83,158.51,160.65,178.47,81.16,6.69,8.18,588.69,650.16,0.00,0.00,2.599,127.883,-9.829,53.311,-3.03,-3.24,-3.06,3.40,0.78,0.63,0.927,0.924,-0.048,-0.093,0.372,0.371,
0.006,11111100,0,0,0,117,0,0.00,0.00,152.58,138.45,162.15,61.98,54.49,47.17,49.68,40.62,45.77,-13.65,123.00,12.00,208.00,98.00,0.00,0.00,123.88,132.13,178.71,80.61,8.71,5.77,158.85,160.50,178.22,81.00,6.71,7.86,590.90,650.76,0.00,0.00,2.758,120.549,-8.864,49.873,-3.04,-3.24,-3.06,3.40,0.78,0.63,0.928,0.925,-0.044,-0.092,0.369,0.368,
0.011,11111100,0,0,0,118,0,0.00,0.00,152.66,138.49,162.15,62.22,54.08,47.10,50.10,40.99,42.87,-13.45,122.00,12.00,208.00,98.00,0.00,0.00,123.86,132.21,178.74,80.68,8.73,5.95,158.88,160.68,178.00,81.18,6.64,8.08,593.01,651.55,0.00,0.00,2.914,113.888,-8.336,47.355,-3.04,-3.25,-3.06,3.40,0.78,0.62,0.928,0.925,-0.042,-0.093,0.370,0.369,
0.017,11111100,0,0,0,119,0,0.00,0.00,152.62,138.40,162.30,61.83,54.33,47.16,50.39,40.30,39.19,-14.17,122.00,12.00,209.00,98.00,0.00,0.00,123.90,132.32,178.60,80.60,8.77,6.11,158.90,160.68,177.89,81.18,6.70,8.08,595.09,652.14,0.00,0.00,3.073,107.838,-7.992,44.764,-3.04,-3.25,-3.06,3.40,0.78,0.62,0.929,0.925,-0.041,-0.095,0.368,0.368,
0.022,11111100,0,0,0,120,0,0.00,0.00,152.57,138.40,162.19,61.83,54.25,47.16,50.02,40.30,37.22,-14.17,123.00,12.00,209.00,98.00,0.00,0.00,123.90,132.32,178.60,80.60,8.77,6.11,158.90,160.68,177.89,81.18,6.70,8.08,597.14,652.38,0.00,0.00,3.233,102.416,-7.607,42.401,-3.04,-3.25,-3.06,3.40,0.78,0.62,0.929,0.926,-0.040,-0.096,0.367,0.366,
0.133,11111100,19,0,0,140,0,0.00,0.00,152.94,138.40,159.39,61.83,53.09,47.16,48.46,40.30,37.46,-14.17,121.00,12.00,207.00,98.00,0.00,0.00,123.87,132.32,177.41,80.60,8.55,6.11,158.84,160.68,176.70,81.18,6.25,8.08,598.78,651.48,0.00,0.00,3.407,97.526,-7.079,38.991,-3.04,-3.25,-3.05,3.40,0.78,0.62,0.934,0.930,-0.037,-0.097,0.355,0.354,
0.178,11111100,7,0,0,148,0,0.00,0.00,154.77,138.25,157.22,59.87,52.18,45.89,46.80,39.46,35.96,-15.68,119.00,12.00,190.00,97.00,0.00,0.00,124.71,132.18,176.45,79.49,8.29,6.37,159.62,160.54,175.82,80.75,6.09,8.49,599.78,647.35,0.00,0.00,3.604,92.674,-6.125,35.380,-3.04,-3.25,-3.05,3.40,0.77,0.62,0.940,0.936,-0.030,-0.093,0.340,0.339,
0.189,11111100,1,0,0,150,0,0.00,0.00,155.16,138.25,156.93,59.87,51.89,45.89,46.61,39.46,36.32,-15.68,119.00,12.00,197.00,97.00,0.00,0.00,125.05,132.18,176.00,79.49,8.72,6.37,159.78,160.54,175.81,80.75,6.03,8.49,600.66,643.58,0.00,0.00,3.783,88.180,-5.649,33.659,-3.05,-3.25,-3.05,3.40,0.77,0.62,0.940,0.936,-0.027,-0.093,0.339,0.338,
0.228,11111100,6,0,0,157,0,0.00,0.00,155.16,140.72,156.93,56.25,51.89,44.78,46.61,37.75,36.32,-17.56,119.00,9.00,197.00,95.00,0.00,0.00,125.05,133.96,176.00,78.12,8.72,7.36,159.78,162.35,175.81,80.11,6.03,7.57,602.46,636.28,0.00,0.00,3.948,85.239,-4.578,30.157,-3.05,-3.25,-3.05,3.40,0.77,0.62,0.949,0.945,-0.016,-0.085,0.316,0.315,
0.300,11111100,12,0,0,170,0,0.00,0.00,155.26,140.72,154.66,56.25,51.01,44.78,44.67,37.75,36.83,-17.56,117.00,9.00,202.00,95.00,0.00,0.00,124.88,133.96,175.31,78.12,9.17,7.36,159.80,162.35,174.98,80.11,7.14,7.57,604.42,627.58,0.00,0.00,4.080,82.654,-4.379,28.206,-3.05,-3.25,-3.05,3.40,0.77,0.62,0.952,0.949,-0.015,-0.086,0.305,0.305,
