ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-02-08 20:35:44:186
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,10111100,0,0,0,158,1,0.00,0.00,147.97,207.90,201.77,110.77,4.34,4.71,3.80,3.93,20.98,-44.46,160.00,68.00,224.00,143.00,0.00,0.00,131.81,206.00,217.42,125.00,4.60,2.00,147.09,0.00,217.04,0.00,4.72,0.00,640.71,438.96,0.00,0.00,3.692,79.075,-0.091,8.977,-4.40,-4.59,-2.93,2.48,0.69,0.60,0.995,0.995,0.034,-0.031,0.099,0.100,
0.006,10111100,0,0,0,159,1,0.00,0.00,147.92,207.94,202.00,110.68,4.34,4.73,3.92,3.93,20.20,-46.18,160.00,68.00,224.00,149.00,0.00,0.00,131.81,206.00,217.42,124.00,4.60,2.00,147.09,0.00,217.04,0.00,4.72,0.00,640.38,441.14,0.00,0.00,3.745,77.835,-0.075,9.567,-4.40,-4.59,-2.93,2.48,0.69,0.60,0.994,0.994,0.035,-0.031,0.107,0.108,
0.011,11111100,0,0,0,160,1,0.00,0.00,147.95,207.87,201.83,110.59,4.35,4.74,3.79,4.02,21.67,-47.37,160.00,68.00,231.00,155.00,0.00,0.00,132.00,163.00,217.50,150.00,4.21,2.00,147.32,206.00,217.39,125.00,3.73,2.00,640.11,440.87,0.00,0.00,3.795,76.840,-0.089,8.502,-4.40,-4.59,-2.93,2.48,0.69,0.60,0.995,0.995,0.035,-0.031,0.096,0.096,
0.017,11111100,0,0,0,161,1,0.00,0.00,147.49,207.85,202.26,110.71,4.39,4.72,3.87,4.14,21.13,-49.02,160.00,68.00,231.00,150.00,0.00,0.00,131.93,161.00,217.50,150.00,3.98,2.00,147.32,206.00,217.39,125.00,3.73,2.00,639.55,441.58,0.00,0.00,3.816,76.343,-0.303,8.785,-4.40,-4.59,-2.93,2.48,0.69,0.60,0.994,0.994,0.032,-0.034,0.100,0.101,
0.022,11111100,0,0,0,162,1,0.00,0.00,147.22,207.85,202.69,110.71,4.38,4.72,3.92,4.14,21.90,-49.02,160.00,68.00,225.00,150.00,0.00,0.00,131.68,161.00,217.61,150.00,3.73,2.00,147.11,206.00,217.73,125.00,3.49,2.00,638.90,441.98,0.00,0.00,3.825,76.142,-0.421,8.929,-4.40,-4.59,-2.93,2.48,0.69,0.60,0.994,0.994,0.031,-0.036,0.102,0.103,
0.272,10111100,44,0,0,27,1,0.00,0.00,147.22,207.86,202.69,110.46,4.38,4.68,3.92,4.05,21.90,-48.90,160.00,68.00,225.00,150.00,0.00,0.00,131.68,206.00,217.61,125.00,3.73,2.00,147.11,0.00,217.73,0.00,3.49,0.00,638.31,441.76,0.00,0.00,3.831,76.032,-0.412,8.732,-4.40,-4.59,-2.93,2.48,0.69,0.60,0.995,0.994,0.031,-0.036,0.099,0.100,
0.278,10111100,0,0,0,28,1,0.00,0.00,147.54,207.86,203.11,110.46,4.45,4.68,4.03,4.05,24.23,-48.90,160.00,68.00,227.00,150.00,0.00,0.00,131.62,206.00,217.63,125.00,3.62,2.00,147.26,0.00,217.64,0.00,3.56,0.00,638.07,442.49,0.00,0.00,3.855,75.497,-0.283,9.044,-4.40,-4.59,-2.93,2.48,0.69,0.60,0.994,0.994,0.033,-0.034,0.104,0.105,
0.289,10111100,1,0,0,30,1,0.00,0.00,147.54,208.00,203.11,110.99,4.45,4.72,4.03,4.08,24.23,-50.05,160.00,68.00,227.00,150.00,0.00,0.00,131.62,206.00,217.63,125.00,3.62,2.00,147.26,0.00,217.64,0.00,3.56,0.00,637.90,442.69,0.00,0.00,3.874,75.073,-0.212,9.356,-4.40,-4.59,-2.93,2.48,0.69,0.60,0.994,0.993,0.034,-0.034,0.108,0.109,
0.294,10111100,0,0,0,31,1,0.00,0.00,147.57,208.00,202.72,110.99,4.48,4.74,3.96,4.09,25.35,-50.05,160.00,68.00,231.00,150.00,0.00,0.00,131.68,206.00,217.61,125.00,3.73,2.00,147.11,0.00,217.60,0.00,2.97,0.00,637.77,443.91,0.00,0.00,3.893,74.710,-0.187,9.036,-4.40,-4.59,-2.93,2.48,0.69,0.60,0.994,0.994,0.035,-0.033,0.105,0.106,
0.306,10111100,1,0,0,33,1,0.00,0.00,147.57,208.01,202.72,110.70,4.48,4.75,3.96,4.19,25.35,-51.26,160.00,68.00,231.00,143.00,0.00,0.00,131.68,206.00,217.61,125.00,3.73,2.00,147.11,0.00,217.60,0.00,2.97,0.00,637.92,444.25,0.00,0.00,3.907,74.460,-0.178,8.783,-4.40,-4.59,-2.93,2.48,0.69,0.60,0.994,0.994,0.035,-0.033,0.102,0.103,
