ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-22 20:42:03:996
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,165,0,0.00,0.00,117.54,190.82,192.37,115.96,37.42,36.69,36.65,32.75,52.75,-38.61,142.00,67.00,239.00,163.00,0.00,0.00,99.10,186.37,212.39,134.72,5.87,5.49,125.59,209.91,213.29,134.23,5.15,4.89,590.54,615.80,0.00,0.00,0.800,371.748,-42.923,120.282,-3.35,-3.48,-2.76,2.82,0.55,0.45,0.948,0.946,-0.101,-0.115,0.303,0.302,
0.011,11111100,0,0,0,167,0,0.00,0.00,120.44,191.47,192.06,115.40,37.44,36.66,36.12,32.51,41.23,-37.56,142.00,67.00,239.00,163.00,0.00,0.00,100.31,186.80,212.54,134.62,7.00,6.50,126.65,210.20,213.56,134.35,5.53,5.78,574.27,597.64,0.00,0.00,0.926,321.786,-32.163,103.269,-3.35,-3.48,-2.76,2.81,0.55,0.45,0.950,0.949,-0.086,-0.102,0.300,0.300,
0.017,11111100,0,0,0,168,0,0.00,0.00,120.54,191.57,192.26,115.16,37.43,36.31,36.29,33.38,43.59,-39.33,142.00,67.00,239.00,164.00,0.00,0.00,100.43,186.86,212.61,134.78,6.81,6.45,126.87,210.43,213.50,134.32,5.21,6.04,571.57,593.28,0.00,0.00,0.991,300.482,-29.766,96.301,-3.35,-3.48,-2.76,2.81,0.55,0.45,0.950,0.949,-0.084,-0.102,0.300,0.299,
0.022,11111100,0,0,0,169,0,0.00,0.00,120.87,191.57,192.23,115.16,37.66,36.31,36.21,33.38,45.68,-39.33,142.00,67.00,239.00,164.00,0.00,0.00,100.68,186.86,212.64,134.78,5.55,6.45,127.05,210.43,213.42,134.32,4.84,6.04,578.57,590.06,0.00,0.00,1.060,280.706,-27.389,90.118,-3.35,-3.48,-2.76,2.81,0.55,0.45,0.950,0.949,-0.082,-0.101,0.300,0.299,
0.028,11111100,0,0,0,170,0,0.00,0.00,121.21,191.57,192.23,115.16,37.63,36.31,36.37,33.38,47.56,-39.33,142.00,67.00,239.00,164.00,0.00,0.00,100.68,186.86,212.64,134.78,5.55,6.45,127.32,210.43,213.41,134.32,4.38,6.04,583.12,588.10,0.00,0.00,1.133,262.358,-25.209,84.451,-3.35,-3.48,-2.76,2.81,0.55,0.45,0.951,0.949,-0.080,-0.100,0.300,0.300,
0.267,11111100,42,0,0,33,0,0.00,0.00,126.40,197.23,193.70,115.37,35.05,34.20,33.43,32.28,48.12,-30.13,142.00,66.00,239.00,164.00,0.00,0.00,103.00,189.56,213.50,134.01,5.80,6.30,129.65,213.43,214.50,133.73,4.30,5.96,589.60,589.22,0.00,0.00,1.204,247.694,-11.297,82.494,-3.35,-3.48,-2.76,2.81,0.55,0.45,0.950,0.949,-0.032,-0.053,0.310,0.310,
0.283,11111100,2,0,0,36,0,0.00,0.00,126.40,197.42,193.70,115.22,35.05,34.16,33.43,32.05,48.12,-21.57,142.00,66.00,239.00,164.00,0.00,0.00,103.00,189.65,213.50,133.93,5.80,6.27,129.65,213.43,214.50,133.73,4.30,5.96,595.19,589.57,0.00,0.00,1.270,234.845,-10.557,77.995,-3.35,-3.48,-2.76,2.81,0.55,0.45,0.951,0.950,-0.031,-0.053,0.309,0.309,
0.289,11111100,0,0,0,37,0,0.00,0.00,126.60,197.42,193.72,115.22,34.98,34.16,33.30,32.05,49.40,-21.57,142.00,66.00,239.00,164.00,0.00,0.00,103.14,189.65,213.41,133.93,5.64,6.27,129.65,213.43,214.50,133.73,4.30,5.96,600.40,591.00,0.00,0.00,1.338,222.735,-9.762,74.186,-3.35,-3.48,-2.76,2.81,0.55,0.45,0.950,0.949,-0.029,-0.053,0.310,0.309,
0.300,11111100,1,0,0,39,0,0.00,0.00,126.60,197.45,193.72,114.91,34.98,33.86,33.30,32.28,49.40,-22.62,142.00,66.00,239.00,163.00,0.00,0.00,103.14,189.61,213.41,134.01,5.64,6.20,129.65,213.43,214.50,133.73,4.30,5.96,605.52,592.20,0.00,0.00,1.406,211.948,-9.288,70.084,-3.35,-3.48,-2.76,2.81,0.55,0.45,0.951,0.950,-0.029,-0.053,0.307,0.307,
0.306,11111100,0,0,0,40,0,0.00,0.00,126.90,197.45,193.96,114.91,34.52,33.86,33.54,32.28,50.64,-22.62,142.00,66.00,239.00,163.00,0.00,0.00,103.19,189.61,213.46,134.01,5.97,6.20,129.82,213.43,214.65,133.73,4.58,5.96,610.65,593.60,0.00,0.00,1.477,201.503,-8.514,67.097,-3.35,-3.48,-2.76,2.81,0.55,0.45,0.951,0.950,-0.027,-0.052,0.309,0.309,
