ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-02-21 17:47:49:774
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,82,1,0.00,0.00,147.36,226.00,196.50,106.31,3.50,3.42,3.27,3.07,39.61,38.24,161.00,73.00,222.00,138.00,0.00,0.00,125.50,213.00,201.70,115.00,3.94,2.00,138.36,224.00,201.95,113.00,3.53,2.00,785.03,570.50,0.00,0.00,2.755,91.456,23.414,26.748,-4.89,-4.99,-2.57,2.47,0.46,0.42,0.934,0.944,0.252,0.205,0.255,0.258,
0.006,11111100,0,0,0,83,1,0.00,0.00,147.40,226.08,196.65,106.20,3.49,3.41,3.28,3.17,39.26,36.86,161.00,73.00,224.00,138.00,0.00,0.00,125.50,213.00,201.70,115.00,3.94,2.00,138.36,225.00,201.95,113.00,3.53,2.00,784.23,569.43,0.00,0.00,2.697,93.511,23.907,27.434,-4.89,-4.99,-2.57,2.47,0.46,0.42,0.934,0.944,0.251,0.205,0.256,0.259,
0.011,11111100,0,0,0,84,1,0.00,0.00,147.49,226.12,196.55,106.44,3.49,3.39,3.27,3.10,38.40,36.07,161.00,73.00,222.00,132.00,0.00,0.00,125.50,213.00,201.70,115.00,3.94,2.00,138.36,225.00,201.95,113.00,3.53,2.00,783.56,568.73,0.00,0.00,2.646,95.347,24.399,28.130,-4.89,-4.99,-2.57,2.47,0.46,0.42,0.933,0.943,0.251,0.206,0.258,0.261,
0.161,11111100,26,0,0,111,1,0.00,0.00,147.46,225.98,197.48,106.24,3.47,3.34,3.23,3.09,37.53,37.80,162.00,72.00,230.00,136.00,0.00,0.00,125.01,214.00,202.50,114.00,4.17,2.00,137.00,225.00,202.00,113.00,2.00,2.00,783.11,569.85,0.00,0.00,2.626,95.776,24.477,29.753,-4.89,-4.99,-2.57,2.47,0.46,0.42,0.930,0.940,0.250,0.205,0.271,0.274,
0.194,11111100,5,0,0,117,1,0.00,0.00,146.32,225.24,198.55,105.98,3.51,3.33,3.22,3.02,37.99,38.55,163.00,72.00,226.00,137.00,0.00,0.00,124.50,213.00,202.70,113.00,3.93,2.00,137.64,223.00,203.05,113.00,3.54,2.00,781.45,572.04,0.00,0.00,2.576,98.161,23.725,30.746,-4.89,-4.99,-2.57,2.47,0.46,0.42,0.932,0.941,0.238,0.194,0.274,0.277,
0.211,11111100,2,0,0,120,1,0.00,0.00,145.66,224.23,198.85,106.14,3.51,3.45,3.29,2.92,37.43,37.82,163.00,72.00,232.00,131.00,0.00,0.00,123.76,213.00,203.24,114.00,4.76,2.00,136.64,222.00,203.05,112.00,3.54,2.00,778.90,574.44,0.00,0.00,2.546,99.607,23.222,31.503,-4.89,-4.99,-2.57,2.47,0.46,0.42,0.933,0.942,0.230,0.187,0.277,0.280,
0.222,11111100,1,0,0,122,1,0.00,0.00,145.62,224.23,199.09,106.14,3.54,3.45,3.26,2.92,37.46,37.82,164.00,72.00,231.00,131.00,0.00,0.00,123.50,213.00,203.30,114.00,3.94,2.00,136.70,222.00,203.50,112.00,3.50,2.00,776.81,577.28,0.00,0.00,2.518,100.759,23.532,31.899,-4.89,-4.99,-2.57,2.47,0.46,0.42,0.933,0.941,0.230,0.187,0.278,0.280,
0.333,10110000,19,0,0,142,1,0.00,0.00,145.62,224.00,199.09,0.00,3.54,0.00,3.26,0.00,37.46,0.00,164.00,107.00,231.00,136.00,0.00,91.00,123.50,0.00,203.30,0.00,3.94,0.00,136.70,0.00,203.50,0.00,3.50,0.00,775.02,589.77,0.00,0.00,2.461,100.759,23.810,40.252,-4.89,-4.99,-2.57,2.47,0.46,0.42,0.911,0.920,0.228,0.186,0.343,0.346,
0.339,10110000,0,0,0,143,1,0.00,0.00,145.62,224.00,199.09,0.00,3.55,0.00,3.26,0.00,37.46,0.00,164.00,102.00,231.00,148.00,0.00,91.00,123.50,0.00,203.30,0.00,3.94,0.00,136.70,0.00,203.50,0.00,3.50,0.00,772.33,613.86,0.00,0.00,2.391,100.759,22.860,50.340,-4.89,-4.99,-2.57,2.47,0.46,0.42,0.884,0.891,0.213,0.172,0.417,0.421,
0.411,11110100,12,0,0,156,0,0.00,0.00,145.62,224.00,199.09,0.00,3.55,0.00,3.26,0.00,37.46,0.00,164.00,79.00,231.00,124.00,0.00,90.00,123.50,204.00,203.30,107.00,3.94,2.00,136.70,214.00,203.50,106.00,3.50,2.00,769.67,636.11,0.00,0.00,2.391,100.759,22.860,50.340,-4.89,-4.99,-2.57,2.47,0.46,0.42,0.884,0.891,0.213,0.172,0.417,0.421,
