ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-22 21:52:17:371
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,28,0,0.00,0.00,132.85,155.63,166.20,64.26,45.02,41.54,41.38,34.95,32.02,-10.68,120.00,17.00,219.00,107.00,0.00,0.00,115.16,158.96,193.02,90.40,7.21,6.17,145.25,186.76,195.70,90.12,6.96,5.32,532.83,594.68,0.00,0.00,3.025,102.566,-22.427,25.498,-3.14,-3.30,-2.98,3.04,0.70,0.58,0.958,0.948,-0.176,-0.228,0.225,0.223,
0.006,11111100,0,0,0,29,0,0.00,0.00,132.98,155.93,166.29,64.67,44.94,41.46,42.69,36.31,21.07,-15.55,128.00,17.00,220.00,108.00,0.00,0.00,114.90,158.96,193.43,90.40,7.81,6.17,145.07,186.88,196.03,90.01,6.59,5.05,529.67,572.42,0.00,0.00,3.209,96.549,-20.974,24.133,-3.14,-3.30,-2.98,3.04,0.70,0.58,0.959,0.948,-0.173,-0.228,0.225,0.224,
0.011,11111100,0,0,0,30,0,0.00,0.00,132.95,156.22,166.53,65.33,45.05,41.43,41.97,37.25,18.41,-20.05,117.00,17.00,220.00,107.00,0.00,0.00,114.81,158.95,193.43,90.40,7.74,6.18,144.97,187.00,195.83,90.00,6.42,5.11,527.47,562.57,0.00,0.00,3.389,91.196,-19.722,23.345,-3.14,-3.30,-2.98,3.04,0.70,0.58,0.958,0.947,-0.170,-0.228,0.230,0.228,
0.017,11111100,0,0,0,31,0,0.00,0.00,132.95,156.24,166.53,64.67,45.05,41.41,41.97,36.04,18.41,-23.73,117.00,17.00,220.00,109.00,0.00,0.00,114.81,159.33,193.43,90.24,7.74,5.99,144.97,187.01,195.83,90.15,6.42,5.04,524.72,554.42,0.00,0.00,3.575,86.393,-18.701,21.714,-3.14,-3.30,-2.98,3.04,0.70,0.58,0.960,0.947,-0.168,-0.230,0.225,0.223,
0.022,11111100,0,0,0,32,0,0.00,0.00,132.95,156.37,166.53,64.85,45.05,41.57,41.97,36.71,18.41,-27.11,117.00,17.00,220.00,108.00,0.00,0.00,114.81,159.41,193.43,90.29,7.74,5.75,144.97,187.01,195.83,90.15,6.42,5.04,522.00,546.02,0.00,0.00,3.756,82.079,-17.743,20.723,-3.14,-3.30,-2.98,3.04,0.70,0.58,0.960,0.947,-0.166,-0.231,0.226,0.223,
0.161,11111100,24,0,0,57,0,0.00,0.00,132.95,155.60,166.53,63.80,45.05,41.43,41.97,32.89,18.41,-31.33,117.00,18.00,220.00,110.00,0.00,0.00,114.81,159.38,193.43,91.06,7.74,6.03,144.97,187.05,195.83,90.39,6.42,6.42,518.89,536.85,0.00,0.00,3.945,78.005,-17.262,18.991,-3.14,-3.30,-2.98,3.04,0.70,0.58,0.961,0.948,-0.169,-0.237,0.217,0.215,
0.178,11111100,2,0,0,60,0,0.00,0.00,128.49,155.60,166.64,63.80,44.25,41.43,40.00,32.89,12.90,-31.33,132.00,18.00,221.00,110.00,0.00,0.00,111.67,159.38,193.23,91.06,7.58,6.03,142.90,187.05,195.55,90.39,9.64,6.42,517.24,535.51,0.00,0.00,4.044,75.635,-17.889,17.942,-3.14,-3.30,-2.98,3.04,0.70,0.58,0.961,0.945,-0.182,-0.251,0.210,0.208,
0.189,11111100,1,0,0,62,0,0.00,0.00,133.81,154.20,167.31,65.14,44.93,40.56,41.41,33.98,16.31,-31.39,129.00,18.00,222.00,111.00,0.00,0.00,114.98,158.42,193.87,91.14,8.59,6.17,145.00,186.08,195.50,90.53,4.72,6.24,516.18,536.94,0.00,0.00,4.263,71.606,-16.373,18.768,-3.18,-3.30,-2.99,3.03,0.68,0.59,0.958,0.942,-0.171,-0.244,0.232,0.229,
0.228,11111100,6,0,0,69,0,0.00,0.00,130.12,154.20,166.98,65.14,43.40,40.56,39.67,33.98,11.09,-31.39,130.00,18.00,221.00,111.00,0.00,0.00,112.32,158.42,193.47,91.14,7.39,6.17,143.41,186.08,195.56,90.53,9.18,6.24,513.88,536.72,0.00,0.00,4.420,68.708,-16.563,17.462,-3.18,-3.30,-2.99,3.03,0.68,0.59,0.958,0.941,-0.181,-0.256,0.224,0.221,
0.233,11111100,0,0,0,70,0,0.00,0.00,130.12,154.20,166.98,64.61,43.40,40.13,39.67,33.18,11.09,-35.60,130.00,18.00,221.00,113.00,0.00,0.00,112.32,158.90,193.47,90.99,7.39,6.27,143.41,186.58,195.56,90.50,9.18,6.64,511.54,536.68,0.00,0.00,4.590,66.086,-15.975,16.588,-3.18,-3.30,-2.99,3.03,0.68,0.59,0.959,0.941,-0.180,-0.258,0.220,0.217,
