ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-02-21 17:18:53:467
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,50,1,0.00,0.00,129.35,206.97,122.02,21.06,4.09,4.01,3.17,3.75,18.52,-7.94,86.00,1.00,156.00,54.00,0.00,0.00,114.00,165.68,138.00,89.11,2.00,12.57,129.00,216.00,137.00,39.00,2.00,3.46,653.97,414.85,0.00,0.00,0.511,587.705,23.921,45.252,-4.52,-4.44,-2.67,2.63,0.63,0.67,0.996,0.997,0.045,0.036,0.075,0.075,
0.006,11111100,0,0,0,51,1,0.00,0.00,129.40,207.23,122.38,21.61,4.09,4.01,3.20,3.52,19.78,-3.66,86.00,1.00,156.00,56.00,0.00,0.00,114.00,165.12,138.00,89.36,2.00,11.91,129.00,216.00,137.00,39.00,2.00,3.46,657.61,415.33,0.00,0.00,0.525,570.784,24.562,48.567,-4.52,-4.44,-2.67,2.63,0.63,0.67,0.995,0.996,0.047,0.038,0.083,0.083,
0.011,11111100,0,0,0,52,1,0.00,0.00,130.01,207.38,122.68,20.23,4.14,4.01,3.18,2.99,20.12,-2.97,86.00,1.00,156.00,60.00,0.00,0.00,115.00,200.00,139.00,38.00,2.00,2.00,130.00,216.00,138.00,38.00,2.00,2.00,660.24,416.62,0.00,0.00,0.543,552.526,26.134,41.526,-4.51,-4.43,-2.67,2.63,0.64,0.68,0.996,0.996,0.052,0.042,0.073,0.073,
0.017,11111100,0,0,0,53,1,0.00,0.00,130.35,207.84,123.12,20.80,4.13,4.04,3.23,3.06,20.31,-1.40,86.00,1.00,157.00,57.00,0.00,0.00,115.00,201.00,138.00,38.00,2.00,2.00,130.00,216.00,138.00,38.00,2.00,2.00,662.74,418.51,0.00,0.00,0.561,533.694,27.576,46.760,-4.51,-4.44,-2.67,2.63,0.64,0.67,0.995,0.995,0.056,0.046,0.085,0.085,
0.022,11111100,0,0,0,54,1,0.00,0.00,130.94,207.84,123.40,20.80,4.09,4.04,3.25,3.06,21.57,-1.40,86.00,1.00,160.00,57.00,0.00,0.00,116.00,201.00,138.00,38.00,2.00,2.00,130.00,216.00,139.00,38.00,2.00,2.00,665.07,418.05,0.00,0.00,0.586,510.855,28.113,43.800,-4.51,-4.44,-2.67,2.63,0.64,0.67,0.995,0.995,0.059,0.049,0.083,0.083,
0.306,11111100,50,0,0,105,1,0.00,0.00,133.69,212.29,125.15,23.41,4.16,4.09,3.28,3.54,23.55,1.80,88.00,1.00,160.00,59.00,0.00,0.00,117.00,204.00,139.00,39.00,2.00,2.00,132.00,218.00,139.00,39.00,2.00,2.00,671.06,421.77,0.00,0.00,0.595,497.793,48.384,56.717,-4.51,-4.45,-2.67,2.63,0.64,0.67,0.989,0.990,0.101,0.090,0.110,0.110,
0.311,11111100,0,0,0,106,1,0.00,0.00,133.69,212.40,125.15,23.29,4.18,4.13,3.29,3.57,23.55,4.39,88.00,1.00,160.00,60.00,0.00,0.00,117.00,204.00,139.00,39.00,2.00,2.00,132.00,218.00,139.00,39.00,2.00,2.00,676.33,425.90,0.00,0.00,0.608,487.287,47.537,54.635,-4.51,-4.46,-2.67,2.63,0.64,0.66,0.989,0.990,0.101,0.090,0.109,0.109,
0.322,11111100,1,0,0,108,1,0.00,0.00,133.70,212.46,125.21,23.28,4.18,4.13,3.29,3.58,25.35,5.83,87.00,1.00,158.00,60.00,0.00,0.00,117.00,204.00,139.00,39.00,2.00,2.00,131.00,218.00,139.00,39.00,2.00,2.00,681.44,429.04,0.00,0.00,0.620,477.057,46.810,53.315,-4.52,-4.48,-2.67,2.62,0.64,0.66,0.989,0.990,0.102,0.091,0.108,0.108,
0.333,11111100,1,0,0,110,1,0.00,0.00,133.70,212.52,125.21,23.26,4.24,4.24,3.34,3.48,25.35,7.33,87.00,1.00,158.00,59.00,0.00,0.00,117.00,204.00,139.00,39.00,2.00,2.00,131.00,218.00,139.00,39.00,2.00,2.00,686.16,433.20,0.00,0.00,0.631,468.608,46.066,51.749,-4.52,-4.49,-2.67,2.62,0.64,0.65,0.989,0.990,0.102,0.091,0.107,0.107,
0.339,11111100,0,0,0,111,1,0.00,0.00,133.71,212.52,125.66,23.26,4.23,4.25,3.46,3.48,24.79,7.33,88.00,1.00,160.00,59.00,0.00,0.00,117.00,204.00,139.00,39.00,2.00,2.00,131.00,218.00,139.00,39.00,2.00,2.00,690.52,436.37,0.00,0.00,0.644,458.895,45.288,52.583,-4.52,-4.49,-2.67,2.62,0.64,0.65,0.989,0.990,0.102,0.091,0.111,0.111,
