ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-03-12 17:15:25:384
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,41,1,0.00,0.00,87.39,203.67,189.58,98.96,3.39,3.74,3.25,3.12,70.79,45.26,161.00,67.00,232.00,140.00,0.00,0.00,79.00,199.69,206.00,115.79,4.72,3.81,94.65,217.26,207.10,115.88,4.76,4.26,727.73,511.47,0.00,0.00,0.183,1517.827,-142.352,184.532,-4.23,-4.18,-2.30,2.62,0.66,0.69,0.989,0.988,-0.091,-0.094,0.119,0.119,
0.006,11111100,0,0,0,42,1,0.00,0.00,86.88,203.43,189.56,97.11,3.38,3.74,3.31,3.33,55.94,39.60,159.00,66.00,233.00,141.00,0.00,0.00,78.32,199.95,205.76,115.73,4.47,3.90,94.46,217.39,207.10,115.77,3.61,4.61,694.46,493.91,0.00,0.00,0.183,1518.444,-150.948,162.932,-4.24,-4.18,-2.30,2.62,0.66,0.69,0.990,0.989,-0.097,-0.100,0.105,0.105,
0.011,11111100,0,0,0,43,1,0.00,0.00,86.65,203.29,189.07,97.58,3.38,3.76,3.24,3.18,43.89,37.34,159.00,65.00,233.00,141.00,0.00,0.00,78.27,200.00,205.76,115.73,4.65,4.06,94.28,217.50,207.15,115.74,3.74,3.80,661.06,476.35,0.00,0.00,0.182,1519.000,-156.341,161.323,-4.25,-4.18,-2.30,2.62,0.65,0.69,0.989,0.989,-0.100,-0.103,0.104,0.104,
0.017,11111100,0,0,0,44,1,0.00,0.00,86.58,203.04,189.08,97.19,3.38,3.74,3.31,3.33,31.80,32.93,159.00,65.00,233.00,141.00,0.00,0.00,78.22,200.22,205.86,115.86,4.42,4.43,94.07,217.86,207.09,115.90,4.40,4.74,628.48,458.24,0.00,0.00,0.182,1519.500,-163.363,155.523,-4.26,-4.18,-2.30,2.62,0.65,0.69,0.989,0.989,-0.105,-0.108,0.101,0.101,
0.022,11111100,0,0,0,45,1,0.00,0.00,86.39,203.04,189.06,97.19,3.44,3.74,3.25,3.33,24.28,32.93,158.00,65.00,233.00,141.00,0.00,0.00,78.22,200.22,205.86,115.86,4.42,4.43,94.00,217.86,207.00,115.90,4.72,4.74,598.01,440.33,0.00,0.00,0.182,1519.950,-165.844,154.489,-4.26,-4.18,-2.30,2.62,0.65,0.69,0.989,0.989,-0.106,-0.109,0.100,0.100,
0.233,11111100,37,0,0,83,1,0.00,0.00,84.90,204.54,189.27,96.68,3.44,3.74,3.28,3.38,14.23,29.91,153.00,59.00,232.00,141.00,0.00,0.00,76.51,201.00,206.07,115.73,4.89,4.06,92.75,219.03,207.01,115.70,4.65,4.45,582.31,434.91,0.00,0.00,0.182,1520.355,-166.442,147.520,-4.27,-4.18,-2.30,2.62,0.64,0.69,0.990,0.989,-0.107,-0.110,0.095,0.095,
0.250,11111100,2,0,0,86,1,0.00,0.00,84.95,204.28,189.37,97.04,3.43,3.74,3.35,3.23,3.77,28.73,153.00,59.00,232.00,136.00,0.00,0.00,76.38,201.16,205.97,115.65,4.92,4.46,92.75,218.96,207.01,115.60,4.65,4.70,580.66,432.72,0.00,0.00,0.182,1520.719,-169.672,156.676,-4.28,-4.17,-2.29,2.61,0.64,0.69,0.989,0.989,-0.109,-0.112,0.101,0.101,
0.267,11111100,2,0,0,89,1,0.00,0.00,84.98,204.52,189.44,96.64,3.44,3.74,3.34,3.41,-6.34,27.18,153.00,59.00,232.00,141.00,0.00,0.00,76.51,201.00,206.07,115.73,4.89,4.06,92.75,219.03,207.01,115.70,4.65,4.45,579.63,431.81,0.00,0.00,0.182,1521.048,-168.098,151.452,-4.28,-4.17,-2.29,2.61,0.64,0.69,0.989,0.989,-0.108,-0.111,0.098,0.098,
0.278,11111100,1,0,0,91,1,0.00,0.00,84.99,204.52,189.19,96.64,3.44,3.74,3.34,3.41,-6.06,27.18,153.00,59.00,234.00,141.00,0.00,0.00,76.51,201.00,206.07,115.73,4.89,4.06,92.75,219.03,207.01,115.70,4.65,4.45,578.95,430.78,0.00,0.00,0.182,1521.343,-167.707,148.249,-4.28,-4.17,-2.29,2.61,0.64,0.69,0.990,0.989,-0.107,-0.110,0.096,0.096,
0.283,11111100,0,0,0,92,1,0.00,0.00,84.99,204.49,189.19,96.87,3.44,3.75,3.34,3.27,-6.06,26.64,153.00,59.00,234.00,136.00,0.00,0.00,76.51,201.13,206.07,115.56,4.89,4.23,92.75,219.13,207.01,115.75,4.65,4.59,578.59,430.52,0.00,0.00,0.181,1521.608,-169.425,152.324,-4.28,-4.17,-2.29,2.61,0.64,0.69,0.989,0.989,-0.108,-0.112,0.098,0.098,
