ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-02-02 18:50:41:779
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,10111100,0,0,0,26,1,0.00,0.00,132.05,175.14,159.16,63.53,32.43,31.80,27.85,26.93,23.09,-26.21,123.00,27.00,184.00,112.00,0.00,0.00,118.50,40.67,175.00,186.78,5.00,5.58,131.98,0.00,175.00,0.00,3.87,0.00,617.00,384.55,0.00,0.00,1.435,220.108,-7.028,7.822,-4.68,-4.78,-2.72,2.93,0.60,0.55,0.999,0.999,-0.019,-0.044,0.032,0.032,
0.006,11111000,0,0,0,27,1,0.00,0.00,132.01,175.05,159.16,63.56,32.60,31.94,27.35,26.20,23.37,-25.68,123.00,28.00,184.00,112.00,0.00,0.00,118.50,0.00,175.00,0.00,5.00,0.00,131.91,204.00,174.96,135.00,4.71,2.00,618.34,384.86,0.00,0.00,1.472,214.417,-6.880,7.738,-4.68,-4.78,-2.72,2.93,0.60,0.55,0.999,0.998,-0.019,-0.045,0.033,0.033,
0.011,11111000,0,0,0,28,1,0.00,0.00,132.27,175.05,158.26,63.56,32.51,31.94,30.22,26.20,20.94,-25.68,123.00,28.00,183.00,112.00,0.00,0.00,118.50,0.00,175.00,0.00,5.00,0.00,131.98,204.00,175.00,135.00,3.87,2.00,619.67,383.88,0.00,0.00,1.512,208.763,-6.220,5.812,-4.68,-4.78,-2.72,2.93,0.60,0.55,1.000,0.999,-0.016,-0.043,0.024,0.025,
0.017,10111100,0,0,0,29,1,0.00,0.00,132.13,175.19,159.13,64.13,32.75,32.50,27.58,26.16,21.03,-26.27,122.00,27.00,183.00,111.00,0.00,0.00,118.50,41.00,175.00,186.00,5.00,2.00,131.89,0.00,175.27,0.00,3.49,0.00,620.92,384.45,0.00,0.00,1.550,203.403,-5.836,7.909,-4.68,-4.78,-2.72,2.93,0.60,0.55,0.999,0.998,-0.015,-0.042,0.035,0.035,
0.022,10111100,0,0,0,30,1,0.00,0.00,132.13,175.19,159.08,64.13,32.61,32.50,27.69,26.16,21.87,-26.27,123.00,27.00,183.00,111.00,0.00,0.00,118.50,41.00,175.00,186.00,5.00,2.00,131.98,0.00,175.00,0.00,3.87,0.00,622.31,384.85,0.00,0.00,1.589,198.356,-5.600,7.876,-4.68,-4.78,-2.72,2.93,0.60,0.55,0.999,0.998,-0.014,-0.042,0.036,0.036,
0.228,11111000,36,0,0,67,1,0.00,0.00,132.13,175.51,159.08,63.77,32.61,32.81,27.69,27.42,21.87,-26.57,123.00,27.00,183.00,111.00,0.00,0.00,118.50,0.00,175.00,0.00,5.00,0.00,131.98,236.00,175.00,139.00,3.87,2.00,623.60,385.29,0.00,0.00,1.617,194.930,-5.097,7.157,-4.68,-4.78,-2.72,2.93,0.60,0.55,0.999,0.999,-0.012,-0.040,0.033,0.033,
0.233,11111000,0,0,0,68,1,0.00,0.00,132.53,175.51,159.35,63.77,33.39,32.81,29.05,27.42,21.01,-26.57,122.00,27.00,185.00,111.00,0.00,0.00,118.64,0.00,174.95,0.00,3.53,0.00,132.02,236.00,175.00,139.00,3.87,2.00,624.41,385.79,0.00,0.00,1.654,190.464,-4.407,7.570,-4.68,-4.78,-2.72,2.93,0.60,0.55,0.999,0.999,-0.009,-0.038,0.036,0.036,
0.272,11111100,6,0,0,75,1,0.00,0.00,132.53,175.55,159.35,63.72,33.39,33.60,29.05,28.53,21.01,-26.69,122.00,27.00,185.00,116.00,0.00,0.00,118.64,47.89,174.95,179.94,3.53,5.25,132.02,57.31,175.00,173.24,3.87,8.89,625.26,386.17,0.00,0.00,1.688,186.558,-4.276,7.334,-4.68,-4.78,-2.72,2.93,0.60,0.55,0.999,0.999,-0.008,-0.038,0.035,0.035,
0.283,10111100,1,0,0,77,1,0.00,0.00,132.74,175.94,158.80,64.15,33.73,33.44,29.38,26.78,20.96,-23.99,122.00,27.00,185.00,113.00,0.00,0.00,118.64,72.00,174.95,149.00,3.53,2.00,132.11,0.00,174.73,0.00,3.49,0.00,626.38,387.33,0.00,0.00,1.718,183.186,-3.263,6.918,-4.68,-4.78,-2.72,2.93,0.60,0.55,0.999,0.999,-0.003,-0.033,0.034,0.034,
0.289,10111100,0,0,0,78,1,0.00,0.00,132.74,175.78,158.80,63.46,33.73,33.25,29.38,28.25,20.96,-29.52,122.00,27.00,185.00,117.00,0.00,0.00,118.64,88.00,174.95,148.00,3.53,2.00,132.11,0.00,174.73,0.00,3.49,0.00,627.29,386.66,0.00,0.00,1.749,179.947,-3.385,5.960,-4.68,-4.78,-2.72,2.93,0.60,0.55,1.000,0.999,-0.004,-0.034,0.029,0.029,
