ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-04-03 19:04:56:756
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111000,0,0,0,102,1,0.00,0.00,122.71,220.07,189.36,114.18,11.82,11.42,9.62,10.70,30.67,-22.81,116.00,79.00,239.00,163.00,0.00,0.00,115.32,0.00,201.39,0.00,3.72,0.00,125.00,316.00,201.00,194.00,2.00,2.00,611.84,497.55,0.00,0.00,0.242,1163.722,-53.055,209.098,-5.09,-5.05,-2.66,2.37,0.24,0.26,0.984,0.983,-0.042,-0.047,0.176,0.176,
0.006,11111100,0,0,0,103,1,0.00,0.00,122.74,210.95,189.64,121.05,12.26,12.22,9.99,10.37,27.80,-5.94,118.00,57.00,239.00,168.00,0.00,0.00,115.71,207.00,201.58,131.00,3.62,2.00,125.00,218.00,201.00,131.00,2.00,2.00,612.51,494.87,0.00,0.00,0.243,1163.722,-47.246,203.069,-5.09,-5.05,-2.66,2.37,0.24,0.26,0.985,0.984,-0.038,-0.042,0.171,0.171,
0.011,11111100,0,0,0,104,1,0.00,0.00,122.76,211.33,189.45,121.11,12.26,12.20,9.94,10.30,25.37,-8.05,117.00,57.00,239.00,167.00,0.00,0.00,115.62,207.00,201.63,131.00,3.62,2.00,125.00,218.00,201.00,131.00,2.00,2.00,610.76,489.16,0.00,0.00,0.235,1199.750,-82.826,178.885,-5.13,-5.04,-2.64,2.37,0.22,0.26,0.987,0.987,-0.066,-0.070,0.146,0.146,
0.017,10111100,0,0,0,105,1,0.00,0.00,123.02,211.30,189.52,120.98,12.36,12.10,10.04,10.34,23.60,-10.09,113.00,56.00,239.00,166.00,0.00,0.00,115.62,207.00,201.63,131.00,3.62,2.00,126.00,0.00,201.50,0.00,2.24,0.00,609.45,483.19,0.00,0.00,0.229,1232.175,-81.485,181.192,-5.13,-5.04,-2.64,2.37,0.22,0.26,0.988,0.987,-0.063,-0.067,0.144,0.144,
0.022,11111100,0,0,0,106,1,0.00,0.00,123.05,211.77,189.67,120.93,12.33,12.14,10.05,10.26,22.40,-11.65,135.00,57.00,239.00,167.00,0.00,0.00,115.63,207.00,201.72,132.00,4.00,2.00,125.00,219.00,201.00,132.00,2.00,2.00,608.97,476.86,0.00,0.00,0.225,1261.357,-76.638,181.533,-5.13,-5.02,-2.64,2.38,0.22,0.27,0.988,0.988,-0.058,-0.062,0.141,0.141,
0.028,11111100,0,0,0,107,1,0.00,0.00,123.05,211.90,189.67,121.33,12.33,12.19,10.05,10.39,22.40,-12.97,135.00,57.00,239.00,167.00,0.00,0.00,115.63,208.00,201.72,132.00,4.00,2.00,125.00,219.00,201.00,131.00,2.00,2.00,608.33,471.58,0.00,0.00,0.220,1287.622,-76.465,197.404,-5.13,-5.02,-2.64,2.38,0.22,0.27,0.987,0.987,-0.056,-0.060,0.151,0.150,
0.267,11111100,42,0,0,150,1,0.00,0.00,125.37,211.90,192.18,121.33,12.31,12.19,10.42,10.39,22.18,-12.97,134.00,57.00,239.00,167.00,0.00,0.00,116.91,208.00,202.96,132.00,4.71,2.00,127.36,219.00,202.95,131.00,3.53,2.00,608.63,470.29,0.00,0.00,0.215,1311.260,-55.638,221.210,-5.12,-5.02,-2.64,2.39,0.22,0.28,0.985,0.985,-0.040,-0.043,0.165,0.165,
0.272,11111000,0,0,0,151,1,0.00,0.00,125.37,213.69,192.18,122.61,12.31,12.13,10.42,10.67,22.18,-13.67,134.00,57.00,239.00,193.00,0.00,0.00,116.91,0.00,202.96,0.00,4.71,0.00,127.36,220.00,202.95,132.00,3.53,2.00,609.67,470.70,0.00,0.00,0.212,1332.534,-39.051,237.137,-5.12,-5.02,-2.64,2.39,0.22,0.28,0.984,0.984,-0.027,-0.030,0.174,0.174,
0.278,11111000,0,0,0,152,1,0.00,0.00,124.97,213.69,192.00,122.61,12.39,12.01,10.34,10.56,21.61,-13.67,132.00,57.00,239.00,193.00,0.00,0.00,116.91,0.00,202.96,0.00,4.71,0.00,127.36,220.00,202.95,132.00,3.53,2.00,613.16,473.79,0.00,0.00,0.209,1351.680,-42.471,237.094,-5.12,-5.02,-2.64,2.39,0.22,0.28,0.985,0.985,-0.029,-0.033,0.172,0.172,
0.283,11111000,0,0,0,153,1,0.00,0.00,125.02,213.69,191.98,122.61,12.41,11.98,10.28,10.53,20.96,-13.67,134.00,57.00,239.00,193.00,0.00,0.00,116.91,0.00,202.96,0.00,4.71,0.00,127.36,220.00,202.95,132.00,3.53,2.00,616.47,477.13,0.00,0.00,0.206,1368.912,-41.697,240.126,-5.12,-5.02,-2.64,2.39,0.22,0.28,0.985,0.985,-0.028,-0.032,0.172,0.172,
