ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-25 17:11:12:848
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,106,0,0.00,0.00,126.17,164.58,184.39,124.23,50.53,42.05,42.52,38.49,49.69,-12.92,145.00,87.00,227.00,174.00,0.00,0.00,118.00,172.00,192.50,130.00,4.12,2.00,136.36,192.72,192.95,130.41,3.53,4.22,688.90,563.20,0.00,0.00,3.082,94.738,-19.852,31.158,-4.08,-4.09,-2.93,2.84,0.91,0.91,0.944,0.934,-0.162,-0.214,0.289,0.286,
0.006,11111100,0,0,0,107,0,0.00,0.00,126.75,165.18,184.95,124.12,49.06,42.00,42.99,38.75,55.43,-16.62,145.00,87.00,226.00,173.00,0.00,0.00,118.00,172.00,192.50,129.00,3.00,2.00,136.36,192.60,192.95,130.22,3.53,4.06,650.72,577.10,0.00,0.00,3.273,88.813,-17.991,30.738,-4.09,-4.09,-2.93,2.84,0.91,0.91,0.941,0.931,-0.153,-0.209,0.302,0.299,
0.011,11111100,0,0,0,108,0,0.00,0.00,126.84,165.31,182.91,123.84,45.10,40.94,42.03,39.10,52.72,-19.38,145.00,86.00,228.00,174.00,0.00,0.00,118.06,172.00,192.51,129.00,3.86,2.00,136.50,192.72,192.90,130.41,4.60,4.22,612.81,587.71,0.00,0.00,3.495,83.614,-16.737,26.734,-4.10,-4.09,-2.92,2.84,0.90,0.91,0.949,0.938,-0.149,-0.209,0.279,0.276,
0.017,11111100,0,0,0,109,0,0.00,0.00,126.73,165.28,181.67,123.50,43.03,41.25,40.44,39.45,45.91,-24.27,145.00,86.00,227.00,174.00,0.00,0.00,118.32,172.00,192.39,129.00,3.73,2.00,136.64,192.78,192.95,130.14,3.53,4.43,574.69,596.31,0.00,0.00,3.705,79.052,-15.841,23.817,-4.10,-4.09,-2.92,2.84,0.90,0.91,0.953,0.942,-0.148,-0.212,0.263,0.260,
0.139,11111100,21,0,0,131,0,0.00,0.00,128.19,162.96,168.16,108.72,41.89,41.45,37.47,34.73,37.56,-25.69,136.00,75.00,200.00,138.00,0.00,0.00,119.19,172.11,187.58,123.60,4.61,2.98,137.41,193.00,188.12,124.62,5.02,6.42,543.84,583.76,0.00,0.00,4.009,75.041,-15.385,7.578,-4.11,-4.09,-2.92,2.84,0.90,0.91,0.984,0.971,-0.155,-0.224,0.083,0.082,
0.183,11111100,7,0,0,139,0,0.00,0.00,131.26,162.96,163.95,108.72,41.68,41.45,37.35,34.73,24.03,-25.69,131.00,75.00,197.00,138.00,0.00,0.00,120.28,172.11,186.50,123.60,4.33,2.98,138.31,193.00,187.36,124.62,4.57,6.42,527.95,533.41,0.00,0.00,4.260,70.860,-13.513,5.359,-4.12,-4.09,-2.92,2.84,0.89,0.91,0.988,0.975,-0.140,-0.213,0.059,0.058,
0.217,11111100,5,0,0,145,0,0.00,0.00,133.06,162.96,164.16,108.72,42.27,41.45,36.86,34.73,23.72,-25.69,129.00,75.00,197.00,138.00,0.00,0.00,120.63,172.11,186.87,123.60,3.92,2.98,139.26,193.00,187.37,124.62,4.55,6.42,530.50,503.54,0.00,0.00,4.519,66.758,-12.153,5.023,-4.14,-4.09,-2.92,2.84,0.88,0.91,0.990,0.977,-0.129,-0.207,0.058,0.057,
0.228,11111100,1,0,0,147,0,0.00,0.00,133.43,162.96,163.96,108.72,42.57,41.45,36.47,34.73,22.58,-25.69,129.00,75.00,197.00,138.00,0.00,0.00,120.69,172.11,186.79,123.60,3.82,2.98,139.35,193.00,187.50,124.62,4.30,6.42,532.61,471.42,0.00,0.00,4.775,62.998,-11.327,4.619,-4.14,-4.09,-2.92,2.84,0.88,0.91,0.991,0.977,-0.124,-0.206,0.055,0.054,
0.250,11111100,3,0,0,151,0,0.00,0.00,133.43,167.28,163.96,102.37,42.57,41.34,36.47,34.43,22.58,-29.91,129.00,65.00,197.00,134.00,0.00,0.00,120.69,174.12,186.79,121.11,3.82,4.19,139.35,195.00,187.50,123.00,4.30,2.00,537.62,436.45,0.00,0.00,4.978,60.943,-8.906,1.387,-4.14,-4.09,-2.92,2.84,0.88,0.91,0.996,0.984,-0.092,-0.178,0.008,0.007,
0.261,11111100,1,0,0,153,0,0.00,0.00,133.43,167.74,163.96,102.16,42.57,41.35,36.47,34.53,22.58,-33.42,129.00,64.00,197.00,134.00,0.00,0.00,120.69,174.54,186.79,120.90,3.82,3.61,139.35,196.29,187.50,123.64,4.30,3.48,542.93,402.54,0.00,0.00,5.110,59.310,-8.491,0.789,-4.14,-4.09,-2.92,2.84,0.88,0.91,0.996,0.984,-0.088,-0.176,-0.001,-0.002,
0.267,11111100,0,0,0,154,0,0.00,0.00,134.88,167.74,164.09,102.16,42.48,41.35,36.75,34.53,22.40,-33.42,128.00,64.00,197.00,134.00,0.00,0.00,121.28,174.54,186.85,120.90,3.73,3.61,139.90,196.29,187.01,123.64,4.30,3.48,549.34,392.70,0.00,0.00,5.285,57.324,-7.788,1.002,-4.14,-4.07,-2.91,2.84,0.88,0.91,0.997,0.985,-0.079,-0.171,0.002,0.001,
0.311,11111100,7,0,0,162,0,0.00,0.00,134.88,169.45,164.09,101.75,42.48,41.18,36.75,34.78,22.40,-38.79,128.00,63.00,197.00,134.00,0.00,0.00,121.28,175.32,186.85,120.61,3.73,3.73,139.90,196.75,187.01,122.99,4.30,4.08,555.47,385.57,0.00,0.00,5.403,56.128,-6.995,0.844,-4.14,-4.07,-2.91,2.84,0.88,0.91,0.998,0.987,-0.068,-0.161,-0.001,-0.001,
0.350,11111100,6,0,0,169,0,0.00,0.00,134.88,170.47,164.09,101.43,42.48,40.94,36.75,34.80,22.40,-42.64,128.00,63.00,197.00,133.00,0.00,0.00,121.28,176.00,186.85,120.50,3.73,4.21,139.90,196.96,187.01,122.76,4.30,4.74,561.37,378.19,0.00,0.00,5.469,55.474,-6.570,0.698,-4.14,-4.07,-2.91,2.84,0.88,0.91,0.998,0.988,-0.061,-0.156,-0.003,-0.004,
0.389,11111100,6,0,0,176,0,0.00,0.00,137.19,171.30,164.34,101.43,42.75,40.49,37.10,34.43,21.99,-43.83,127.00,62.00,197.00,133.00,0.00,0.00,122.00,176.00,187.00,120.50,3.16,4.21,141.00,197.18,187.18,122.36,4.27,4.31,568.60,371.68,0.00,0.00,5.603,54.247,-5.521,0.977,-4.14,-4.03,-2.91,2.84,0.88,0.93,0.999,0.990,-0.045,-0.142,0.002,0.001,
0.428,11111100,6,0,0,3,0,0.00,0.00,137.19,171.84,164.34,101.22,42.75,40.20,37.10,34.47,21.99,-45.06,127.00,62.00,197.00,133.00,0.00,0.00,122.00,176.55,187.00,120.53,3.16,3.29,141.00,197.37,187.18,122.28,4.27,4.00,572.99,370.86,0.00,0.00,5.695,53.330,-5.269,0.843,-4.14,-4.03,-2.91,2.84,0.88,0.93,0.999,0.990,-0.041,-0.140,-0.001,-0.002,
0.444,11111100,2,0,0,6,0,0.00,0.00,138.55,171.84,164.89,101.22,42.07,40.20,36.30,34.47,26.97,-45.06,127.00,62.00,198.00,133.00,0.00,0.00,122.43,176.55,187.38,120.53,3.60,3.29,141.65,197.37,187.50,122.28,4.30,4.00,577.94,371.74,0.00,0.00,5.842,51.909,-4.662,1.077,-4.14,-4.02,-2.91,2.84,0.89,0.94,1.000,0.991,-0.031,-0.133,0.003,0.002,
0.461,11111100,2,0,0,9,0,0.00,0.00,138.29,175.58,165.09,101.86,42.25,39.66,36.22,34.11,25.63,-44.40,127.00,63.00,198.00,134.00,0.00,0.00,122.26,178.36,187.36,120.59,3.55,3.88,141.50,198.25,187.50,121.42,4.74,3.47,584.24,372.61,0.00,0.00,5.834,52.109,-3.541,1.296,-4.13,-4.02,-2.90,2.84,0.89,0.94,1.000,0.994,-0.011,-0.113,0.007,0.006,
0.478,11111100,2,0,0,12,0,0.00,0.00,138.29,188.98,165.09,105.69,42.25,40.12,36.22,34.98,25.63,-36.54,127.00,69.00,198.00,136.00,0.00,0.00,122.26,184.00,187.36,122.50,3.55,3.00,141.50,203.00,187.50,122.00,4.74,3.46,596.20,375.77,0.00,0.00,3.040,104.034,0.457,4.361,-4.13,-4.03,-2.90,2.84,0.89,0.93,0.999,0.999,0.031,-0.022,0.032,0.032,
0.494,11111100,2,0,0,15,0,0.00,0.00,138.29,201.05,165.09,110.99,42.25,39.58,36.22,36.40,25.63,-25.95,127.00,73.00,198.00,145.00,0.00,0.00,122.26,189.64,187.36,124.95,3.55,3.53,141.50,208.00,187.50,124.00,4.74,2.00,613.40,382.13,0.00,0.00,1.306,246.030,16.501,16.383,-4.13,-4.05,-2.90,2.84,0.89,0.92,0.995,0.997,0.077,0.054,0.062,0.062,
0.511,11111100,2,0,0,18,0,0.00,0.00,172.44,201.05,189.43,110.99,43.88,39.58,34.41,36.40,32.66,-25.95,145.00,73.00,239.00,145.00,0.00,0.00,132.43,189.64,197.20,124.95,11.59,3.53,158.50,208.00,196.50,124.00,5.05,2.00,651.50,415.65,0.00,0.00,1.274,223.320,69.040,67.578,-4.13,-4.05,-2.90,2.84,0.89,0.92,0.918,0.924,0.290,0.269,0.269,0.271,
