ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-02-02 18:14:08:772
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,01111000,0,0,0,29,1,0.00,0.00,98.44,184.26,164.84,78.45,33.73,33.54,24.77,26.86,16.13,-10.76,141.00,53.00,192.00,111.00,0.00,0.00,86.00,0.00,176.00,0.00,2.00,0.00,0.00,196.00,0.00,91.00,0.00,2.00,627.08,465.43,0.00,0.00,2.150,125.728,-3.046,17.806,-4.87,-4.77,-2.15,2.80,0.51,0.56,0.991,0.990,-0.007,-0.044,0.131,0.131,
0.006,01111000,0,0,0,30,1,0.00,0.00,98.36,184.52,165.27,78.56,33.86,33.23,23.86,27.10,16.13,-11.53,140.00,52.00,192.00,111.00,0.00,0.00,86.00,0.00,176.00,0.00,2.00,0.00,0.00,196.00,0.00,91.00,0.00,2.00,627.07,464.00,0.00,0.00,2.138,126.351,-2.940,18.567,-4.87,-4.77,-2.15,2.80,0.51,0.56,0.991,0.990,-0.006,-0.043,0.136,0.136,
0.011,11101000,0,0,0,31,1,0.00,0.00,98.68,184.32,164.93,78.15,34.14,33.65,24.86,26.84,16.56,-12.71,141.00,53.00,193.00,111.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.00,196.00,176.00,91.00,2.00,2.00,627.18,462.88,0.00,0.00,2.144,126.116,-2.800,17.598,-4.87,-4.77,-2.15,2.80,0.51,0.56,0.992,0.991,-0.005,-0.042,0.129,0.129,
0.017,01111000,0,0,0,32,1,0.00,0.00,98.38,184.43,165.08,78.61,34.56,33.58,23.35,27.24,16.01,-10.44,141.00,53.00,192.00,111.00,0.00,0.00,86.00,0.00,176.00,0.00,2.00,0.00,0.00,196.00,0.00,91.00,0.00,2.00,627.13,462.43,0.00,0.00,2.136,126.534,-2.997,18.354,-4.87,-4.77,-2.15,2.80,0.51,0.56,0.991,0.990,-0.006,-0.044,0.135,0.134,
0.022,01111100,0,0,0,33,1,0.00,0.00,98.52,184.50,165.32,78.17,34.24,34.15,23.45,26.51,15.11,-10.68,141.00,53.00,193.00,111.00,0.00,0.00,86.00,171.58,175.00,189.08,2.00,14.13,0.00,222.24,0.00,142.58,0.00,6.30,627.18,461.71,0.00,0.00,2.131,126.926,-2.826,17.996,-4.87,-4.77,-2.15,2.80,0.51,0.56,0.991,0.990,-0.005,-0.042,0.132,0.131,
0.267,11101100,43,0,0,77,1,0.00,0.00,98.64,184.50,164.28,78.17,32.22,34.15,23.97,26.51,15.85,-10.68,140.00,53.00,193.00,111.00,0.00,0.00,0.00,171.58,0.00,189.08,0.00,14.13,86.00,222.24,175.00,142.58,2.00,6.30,627.28,459.57,0.00,0.00,2.125,127.466,-2.742,16.648,-4.87,-4.77,-2.15,2.80,0.51,0.56,0.993,0.992,-0.004,-0.042,0.121,0.121,
0.289,01111000,3,0,0,81,1,0.00,0.00,98.36,183.89,164.54,77.59,33.08,32.47,23.17,25.45,16.24,-10.23,140.00,49.00,192.00,111.00,0.00,0.00,86.00,0.00,175.00,0.00,2.00,0.00,0.00,196.00,0.00,91.00,0.00,2.00,627.02,459.38,0.00,0.00,2.132,126.844,-3.428,17.763,-4.87,-4.77,-2.15,2.80,0.51,0.56,0.991,0.990,-0.010,-0.047,0.130,0.129,
0.300,01111000,1,0,0,83,1,0.00,0.00,98.39,183.92,164.79,77.81,32.47,31.46,23.43,25.58,15.46,-11.78,140.00,51.00,193.00,111.00,0.00,0.00,86.00,0.00,175.00,0.00,2.00,0.00,0.00,196.00,0.00,91.00,0.00,2.00,626.72,459.31,0.00,0.00,2.144,126.037,-3.344,18.446,-4.87,-4.77,-2.15,2.80,0.51,0.56,0.991,0.990,-0.009,-0.046,0.136,0.135,
0.311,01111000,1,0,0,85,1,0.00,0.00,98.49,183.94,165.47,77.77,32.79,31.86,21.44,25.74,14.81,-10.95,140.00,51.00,192.00,111.00,0.00,0.00,86.00,0.00,175.00,0.00,2.00,0.00,0.00,196.00,0.00,91.00,0.00,2.00,626.39,461.03,0.00,0.00,2.165,124.606,-3.206,19.202,-4.87,-4.77,-2.15,2.80,0.51,0.56,0.990,0.989,-0.008,-0.046,0.143,0.142,
0.333,01111000,3,0,0,89,1,0.00,0.00,98.34,183.68,164.50,77.89,32.36,31.68,24.34,25.65,14.64,-12.12,139.00,51.00,192.00,111.00,0.00,0.00,86.00,0.00,175.00,0.00,2.00,0.00,0.00,196.00,0.00,91.00,0.00,2.00,625.95,460.93,0.00,0.00,2.187,123.459,-3.508,17.803,-4.87,-4.77,-2.15,2.80,0.51,0.56,0.991,0.990,-0.011,-0.049,0.134,0.133,
0.344,01111000,1,0,0,91,1,0.00,0.00,98.38,183.62,164.54,77.90,32.24,31.74,24.30,25.92,14.97,-11.53,139.00,51.00,192.00,111.00,0.00,0.00,86.00,0.00,175.00,0.00,2.00,0.00,0.00,196.00,0.00,91.00,0.00,2.00,625.38,461.32,0.00,0.00,2.211,122.062,-3.470,17.709,-4.87,-4.77,-2.15,2.80,0.51,0.56,0.991,0.990,-0.010,-0.049,0.134,0.134,
