ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-25 18:33:01:485
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,10,0,0.00,0.00,53.50,172.85,152.31,103.85,60.45,54.27,47.21,44.25,-80.74,-16.33,101.00,67.00,219.00,173.00,0.00,0.00,48.08,179.75,190.07,130.99,8.72,6.64,82.83,215.45,190.13,131.14,6.66,6.51,528.64,319.53,0.00,0.00,0.200,1420.583,-351.852,-90.121,-3.24,-3.43,-2.54,2.78,1.28,1.20,0.969,0.968,-0.238,-0.241,-0.062,-0.062,
0.006,11111100,0,0,0,11,0,0.00,0.00,53.85,173.28,152.36,103.88,60.32,54.43,47.30,44.21,-73.83,-22.87,115.00,68.00,221.00,174.00,0.00,0.00,48.38,180.08,190.06,131.11,9.05,6.02,83.19,215.66,190.17,131.22,6.44,6.61,501.78,317.93,0.00,0.00,0.198,1430.924,-354.374,-90.761,-3.25,-3.42,-2.54,2.78,1.28,1.20,0.969,0.968,-0.238,-0.241,-0.062,-0.062,
0.044,11111100,6,0,0,18,0,0.00,0.00,56.30,176.19,152.49,103.60,60.63,54.57,48.01,44.88,-67.34,-28.03,114.00,66.00,222.00,173.00,0.00,0.00,49.43,181.94,190.42,130.75,9.61,5.57,84.11,216.69,190.05,131.36,6.24,7.89,503.90,317.95,0.00,0.00,0.199,1440.232,-329.461,-90.789,-3.26,-3.41,-2.54,2.78,1.27,1.21,0.973,0.973,-0.220,-0.224,-0.062,-0.062,
0.183,11111100,24,0,0,43,0,0.00,0.00,70.89,191.05,155.24,102.38,61.17,54.34,51.94,46.84,-60.46,-30.38,116.00,65.00,229.00,169.00,0.00,0.00,54.11,189.89,190.41,130.74,9.84,12.19,89.87,221.32,192.33,130.19,7.00,9.45,516.82,318.89,0.00,0.00,0.206,1448.609,-163.373,-72.516,-3.26,-3.41,-2.54,2.78,1.27,1.21,0.993,0.992,-0.110,-0.114,-0.050,-0.050,
0.200,11111100,2,0,0,46,0,0.00,0.00,71.93,192.37,155.97,102.44,60.81,54.04,51.68,47.09,-53.75,-32.18,117.00,66.00,229.00,169.00,0.00,0.00,54.29,190.31,190.28,130.78,10.77,14.08,90.33,221.56,192.53,130.04,6.86,10.60,529.89,319.81,0.00,0.00,0.205,1456.148,-152.000,-66.889,-3.27,-3.41,-2.54,2.77,1.27,1.21,0.994,0.993,-0.102,-0.105,-0.046,-0.046,
0.211,11111100,1,0,0,48,0,0.00,0.00,72.60,193.02,156.14,102.45,61.05,54.26,51.59,47.02,-48.11,-33.69,100.00,65.00,228.00,169.00,0.00,0.00,54.48,190.26,190.42,130.70,11.05,13.37,90.62,221.88,192.80,130.07,7.05,10.45,543.48,320.91,0.00,0.00,0.204,1462.933,-145.808,-67.361,-3.27,-3.41,-2.53,2.77,1.27,1.20,0.994,0.994,-0.097,-0.101,-0.047,-0.046,
0.228,11111100,2,0,0,51,0,0.00,0.00,73.71,193.02,156.31,102.45,60.84,54.26,52.16,47.02,-42.68,-33.69,109.00,65.00,227.00,169.00,0.00,0.00,54.74,190.26,190.77,130.70,12.08,13.37,90.77,221.88,193.04,130.07,7.22,10.45,557.64,322.97,0.00,0.00,0.204,1469.040,-139.515,-67.572,-3.27,-3.41,-2.53,2.77,1.27,1.20,0.995,0.994,-0.093,-0.096,-0.047,-0.046,
0.244,11111100,2,0,0,54,0,0.00,0.00,74.45,193.02,156.86,102.45,61.18,54.26,52.36,47.02,-38.79,-33.69,117.00,65.00,231.00,169.00,0.00,0.00,55.44,190.26,190.99,130.70,12.10,13.37,91.32,221.88,193.35,130.07,7.39,10.45,572.08,325.23,0.00,0.00,0.203,1474.536,-135.496,-65.148,-3.27,-3.41,-2.53,2.77,1.27,1.20,0.995,0.995,-0.090,-0.093,-0.045,-0.045,
0.261,11111100,2,0,0,57,0,0.00,0.00,75.21,195.78,157.09,102.35,61.14,54.00,52.20,46.72,-35.50,-33.86,117.00,65.00,232.00,170.00,0.00,0.00,55.74,191.06,191.46,130.84,12.18,7.87,91.86,222.94,193.64,130.62,6.91,9.40,586.07,327.16,0.00,0.00,0.203,1479.482,-115.242,-69.079,-3.28,-3.42,-2.53,2.77,1.27,1.20,0.996,0.996,-0.076,-0.079,-0.047,-0.047,
0.306,11111100,7,0,0,65,0,0.00,0.00,75.21,197.64,157.09,102.41,61.14,53.91,52.20,46.44,-35.50,-33.58,117.00,66.00,232.00,172.00,0.00,0.00,55.74,191.90,191.46,130.75,12.18,8.17,91.86,223.39,193.64,130.36,6.91,9.25,590.00,327.59,0.00,0.00,0.202,1483.934,-104.556,-68.826,-3.28,-3.42,-2.53,2.77,1.27,1.20,0.997,0.996,-0.068,-0.072,-0.047,-0.047,
0.344,11111100,6,0,0,72,0,0.00,0.00,78.73,197.64,157.94,102.41,60.70,53.91,51.57,46.44,-25.38,-33.58,118.00,66.00,233.00,172.00,0.00,0.00,56.82,191.90,191.57,130.75,12.76,8.17,93.59,223.39,194.22,130.36,5.97,9.25,594.41,327.51,0.00,0.00,0.202,1487.941,-84.457,-69.402,-3.28,-3.42,-2.53,2.77,1.27,1.20,0.997,0.997,-0.055,-0.058,-0.047,-0.047,
0.356,11111100,1,0,0,74,0,0.00,0.00,78.73,199.39,157.94,102.25,60.70,53.64,51.57,46.41,-25.38,-31.53,118.00,65.00,233.00,173.00,0.00,0.00,56.82,192.86,191.57,130.93,12.76,8.49,93.59,223.79,194.22,130.18,5.97,10.06,599.04,327.20,0.00,0.00,0.202,1491.547,-74.177,-72.610,-3.28,-3.43,-2.53,2.77,1.26,1.20,0.998,0.997,-0.048,-0.051,-0.049,-0.049,
0.367,11111100,1,0,0,76,0,0.00,0.00,78.73,199.80,157.94,102.46,60.70,53.34,51.57,46.53,-25.38,-31.03,118.00,66.00,233.00,178.00,0.00,0.00,56.82,193.06,191.57,130.72,12.76,8.52,93.59,224.06,194.22,130.14,5.97,10.06,603.39,327.05,0.00,0.00,0.201,1494.792,-71.940,-70.639,-3.28,-3.43,-2.53,2.77,1.26,1.20,0.998,0.998,-0.046,-0.050,-0.048,-0.048,
0.406,11111100,6,0,0,83,0,0.00,0.00,78.73,200.85,157.94,102.53,60.70,53.36,51.57,46.10,-25.38,-29.85,118.00,65.00,233.00,177.00,0.00,0.00,56.82,193.71,191.57,130.52,12.76,8.01,93.59,224.64,194.22,130.27,5.97,9.71,607.83,326.68,0.00,0.00,0.201,1497.713,-65.904,-70.907,-3.28,-3.44,-2.53,2.76,1.26,1.19,0.998,0.998,-0.042,-0.046,-0.048,-0.048,
0.411,11111100,0,0,0,84,0,0.00,0.00,78.73,200.97,157.94,102.60,60.70,53.19,51.57,46.45,-25.38,-29.25,118.00,65.00,233.00,178.00,0.00,0.00,56.82,193.77,191.57,130.46,12.76,7.85,93.59,224.70,194.22,130.27,5.97,9.84,611.00,326.63,0.00,0.00,0.201,1500.341,-65.481,-70.602,-3.28,-3.44,-2.53,2.76,1.26,1.19,0.998,0.998,-0.042,-0.045,-0.048,-0.048,
0.433,11111100,3,0,0,88,0,0.00,0.00,80.91,200.97,159.41,102.60,60.42,53.19,51.92,46.45,-16.84,-29.25,118.00,65.00,231.00,178.00,0.00,0.00,56.94,193.77,192.60,130.46,10.40,7.85,95.42,224.70,195.05,130.27,5.92,9.84,614.34,327.81,0.00,0.00,0.201,1502.707,-51.773,-54.689,-3.28,-3.44,-2.53,2.76,1.26,1.19,0.999,0.999,-0.033,-0.036,-0.037,-0.037,
