ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-04-03 16:26:18:577
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,117,1,0.00,0.00,162.17,231.29,190.30,89.64,3.41,3.66,3.04,3.22,29.75,21.95,158.00,56.00,234.00,130.00,0.00,0.00,113.48,199.50,203.88,109.50,9.75,9.26,147.32,232.63,203.15,108.69,4.94,5.83,797.64,512.54,0.00,0.00,2.112,136.883,40.574,28.844,-3.38,-3.30,-2.81,2.91,1.11,1.15,0.939,0.949,0.290,0.255,0.186,0.187,
0.006,11111100,0,0,0,118,1,0.00,0.00,162.11,231.28,190.26,89.66,3.42,3.68,3.02,3.22,30.25,27.18,158.00,37.00,234.00,131.00,0.00,0.00,113.44,199.56,203.94,109.66,9.78,9.26,147.35,232.67,203.00,108.76,5.08,5.99,800.35,514.14,0.00,0.00,2.151,134.361,40.021,28.111,-3.38,-3.30,-2.81,2.91,1.11,1.15,0.939,0.949,0.292,0.256,0.184,0.186,
0.011,11111100,0,0,0,119,1,0.00,0.00,162.11,231.45,190.26,89.76,3.42,3.69,3.02,3.27,30.25,31.64,158.00,56.00,234.00,130.00,0.00,0.00,113.44,199.67,203.94,109.58,9.78,9.00,147.35,232.59,203.00,108.78,5.08,5.97,803.71,509.03,0.00,0.00,2.174,132.939,39.790,27.708,-3.38,-3.31,-2.81,2.91,1.11,1.15,0.938,0.949,0.293,0.257,0.183,0.185,
0.017,11111100,0,0,0,120,1,0.00,0.00,162.19,231.45,190.33,89.76,3.42,3.69,3.04,3.27,30.67,31.64,158.00,56.00,234.00,130.00,0.00,0.00,113.27,199.67,203.96,109.58,9.35,9.00,147.31,232.59,203.00,108.78,4.94,5.97,804.92,508.65,0.00,0.00,2.200,131.206,39.451,27.538,-3.38,-3.31,-2.81,2.91,1.11,1.15,0.938,0.948,0.294,0.258,0.184,0.186,
0.022,11111100,0,0,0,121,1,0.00,0.00,162.19,231.39,190.33,89.62,3.42,3.70,3.04,3.24,30.67,35.25,158.00,55.00,234.00,130.00,0.00,0.00,113.27,199.58,203.96,109.66,9.35,9.60,147.31,232.65,203.00,108.84,4.94,5.99,805.98,508.01,0.00,0.00,2.219,130.129,39.206,26.984,-3.37,-3.31,-2.81,2.92,1.12,1.15,0.938,0.949,0.295,0.258,0.182,0.184,
0.228,11111100,36,0,0,158,1,0.00,0.00,162.19,231.91,190.33,89.31,3.42,3.71,3.04,3.25,30.67,38.25,158.00,37.00,234.00,131.00,0.00,0.00,113.27,199.88,203.96,109.29,9.35,9.58,147.31,233.10,203.00,108.71,4.94,5.99,806.80,507.17,0.00,0.00,2.221,129.999,39.431,26.546,-3.37,-3.32,-2.81,2.92,1.12,1.14,0.938,0.949,0.297,0.260,0.179,0.181,
0.233,11111100,0,0,0,159,1,0.00,0.00,162.33,231.91,190.44,89.31,3.41,3.71,3.04,3.25,34.76,38.25,158.00,37.00,235.00,131.00,0.00,0.00,113.18,199.88,204.02,109.29,9.16,9.58,147.25,233.10,203.14,108.71,5.31,5.99,807.60,506.56,0.00,0.00,2.227,129.512,39.507,26.613,-3.37,-3.32,-2.81,2.92,1.12,1.14,0.937,0.948,0.298,0.261,0.180,0.182,
0.239,11111100,0,0,0,160,1,0.00,0.00,162.33,231.93,190.44,89.46,3.40,3.71,3.03,3.25,34.76,40.84,158.00,37.00,235.00,131.00,0.00,0.00,113.18,199.85,204.02,109.42,9.16,9.66,147.25,233.10,203.14,108.71,5.31,5.99,808.33,506.10,0.00,0.00,2.230,129.327,39.540,26.559,-3.37,-3.32,-2.80,2.92,1.12,1.14,0.937,0.948,0.299,0.262,0.180,0.182,
0.278,11111100,6,0,0,167,1,0.00,0.00,162.42,232.28,190.36,89.68,3.40,3.72,3.00,3.27,35.11,45.09,158.00,56.00,235.00,131.00,0.00,0.00,113.10,200.03,203.99,109.44,9.06,8.89,147.14,233.33,203.04,108.71,4.98,6.30,809.20,505.80,0.00,0.00,2.225,129.406,39.955,26.641,-3.36,-3.32,-2.80,2.92,1.12,1.14,0.936,0.947,0.302,0.264,0.180,0.182,
0.283,11111100,0,0,0,168,1,0.00,0.00,162.51,232.16,190.65,89.45,3.38,3.72,3.02,3.27,33.93,43.07,159.00,56.00,235.00,131.00,0.00,0.00,113.21,200.01,204.09,109.38,9.12,9.81,147.40,233.22,203.25,108.79,5.03,6.33,810.16,505.46,0.00,0.00,2.229,129.101,40.143,26.716,-3.36,-3.32,-2.80,2.92,1.12,1.14,0.936,0.946,0.303,0.266,0.181,0.183,
