ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-29 20:51:18:423
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,10101100,0,0,0,143,1,0.00,0.00,143.54,156.78,102.06,16.82,31.58,36.51,27.52,29.28,6.15,-16.46,70.00,1.00,133.00,40.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,603.21,369.97,0.00,0.00,0.409,825.037,-54.580,8.093,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.998,-0.062,-0.069,0.009,0.009,
0.006,10101100,0,0,0,144,1,0.00,0.00,143.37,156.94,102.70,14.52,31.85,39.83,27.48,29.87,8.67,-25.74,70.00,1.00,133.00,40.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,603.95,363.93,0.00,0.00,0.452,747.289,-43.608,-26.929,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.054,-0.062,-0.037,-0.037,
0.011,10101100,0,0,0,145,1,0.00,0.00,143.48,156.58,102.38,16.00,31.65,36.83,27.72,29.34,8.64,-33.49,70.00,1.00,133.00,51.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,604.45,359.54,0.00,0.00,0.499,676.990,-40.827,-15.241,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.998,-0.056,-0.064,-0.023,-0.023,
0.017,10101100,0,0,0,146,1,0.00,0.00,143.52,156.78,102.35,14.31,31.55,39.85,27.41,29.70,11.08,-41.13,70.00,1.00,133.00,40.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,605.11,353.03,0.00,0.00,0.549,613.949,-35.936,-25.213,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.053,-0.063,-0.042,-0.042,
0.022,10101100,0,0,0,147,1,0.00,0.00,143.38,156.89,102.40,15.24,31.71,37.36,26.94,30.02,11.15,-51.05,70.00,1.00,132.00,40.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,128.00,0.00,124.00,0.00,2.00,0.00,605.83,347.69,0.00,0.00,0.605,557.230,-32.709,-16.914,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.053,-0.064,-0.031,-0.031,
0.228,11100000,36,0,0,4,1,0.00,0.00,143.16,157.00,102.30,0.00,32.49,0.00,27.19,0.00,11.65,0.00,70.00,2.00,133.00,32.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,127.00,159.00,124.00,35.00,2.00,2.00,605.66,347.17,0.00,0.00,0.605,557.230,-38.067,6.242,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.063,-0.073,0.010,0.010,
0.244,11100000,2,0,0,7,1,0.00,0.00,143.40,157.00,102.00,0.00,31.76,0.00,28.59,0.00,10.75,0.00,57.00,2.00,133.00,29.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,127.00,159.00,124.00,35.00,2.00,2.00,605.58,347.07,0.00,0.00,0.605,557.230,-37.311,4.979,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.061,-0.072,0.008,0.008,
0.261,10101100,2,0,0,10,1,0.00,0.00,143.24,158.42,102.72,19.69,32.26,36.88,27.10,24.17,10.08,-29.06,70.00,1.00,133.00,50.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,604.70,353.17,0.00,0.00,0.605,557.230,-37.850,8.789,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.062,-0.073,0.014,0.014,
0.272,10101100,1,0,0,12,1,0.00,0.00,143.24,157.84,102.72,18.50,32.26,34.45,27.10,28.82,10.08,-18.37,70.00,1.00,133.00,54.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,603.99,357.68,0.00,0.00,0.605,557.230,-37.850,8.789,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.062,-0.073,0.014,0.014,
0.278,10101100,0,0,0,13,1,0.00,0.00,143.30,156.89,102.33,15.24,32.31,37.36,27.58,30.02,10.47,-51.05,58.00,1.00,132.00,40.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,603.15,363.90,0.00,0.00,0.605,557.230,-37.640,6.574,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.062,-0.072,0.011,0.011,
0.289,10101100,1,0,0,15,1,0.00,0.00,143.46,156.34,102.39,14.85,32.00,40.61,27.28,30.31,10.36,-25.50,70.00,1.00,133.00,63.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,602.42,368.98,0.00,0.00,0.605,557.230,-37.122,7.137,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.061,-0.071,0.012,0.012,
0.306,10100100,2,0,0,18,1,0.00,0.00,143.46,156.00,102.39,0.00,32.00,0.00,27.28,0.00,10.36,0.00,70.00,2.00,133.00,39.00,0.00,86.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,602.58,369.17,0.00,0.00,0.605,557.230,-37.122,7.137,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.061,-0.071,0.012,0.012,
0.322,10101100,2,0,0,21,1,0.00,0.00,143.46,156.67,102.39,15.60,32.00,36.79,27.28,31.05,10.36,-43.07,70.00,1.00,133.00,40.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,603.24,364.98,0.00,0.00,0.666,506.013,-30.239,-13.488,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.054,-0.065,-0.028,-0.028,
0.339,10101100,2,0,0,24,1,0.00,0.00,143.46,156.96,102.39,13.26,32.00,42.71,27.28,29.83,10.36,-47.29,70.00,1.00,133.00,41.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,604.20,356.94,0.00,0.00,0.730,460.286,-26.510,-24.167,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.997,0.997,-0.051,-0.063,-0.053,-0.053,
0.350,10101100,1,0,0,26,1,0.00,0.00,143.45,156.48,102.58,14.56,32.21,31.60,27.31,25.57,10.88,-43.83,70.00,1.00,133.00,99.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,604.84,351.37,0.00,0.00,0.803,418.725,-25.573,-13.220,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.054,-0.068,-0.033,-0.033,
0.394,10101100,7,0,0,34,1,0.00,0.00,143.27,156.48,102.49,14.56,32.02,31.60,27.30,25.57,9.75,-43.83,70.00,1.00,132.00,99.00,0.00,0.00,0.00,159.00,0.00,35.00,0.00,2.00,127.00,0.00,124.00,0.00,2.00,0.00,605.34,346.17,0.00,0.00,0.880,381.398,-23.707,-12.346,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.054,-0.069,-0.034,-0.034,
0.433,11100100,6,0,0,41,1,0.00,0.00,143.24,156.00,102.60,0.00,31.91,0.00,27.25,0.00,10.83,0.00,57.00,2.00,133.00,56.00,0.00,0.00,0.00,179.00,0.00,89.00,0.00,2.00,127.00,208.00,124.00,100.00,2.00,2.00,605.22,346.40,0.00,0.00,0.880,381.398,-25.906,5.644,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.060,-0.075,0.013,0.013,
0.478,11100100,7,0,0,49,1,0.00,0.00,142.86,156.00,102.20,0.00,32.25,0.00,27.08,0.00,7.74,0.00,58.00,2.00,133.00,83.00,0.00,0.00,0.00,142.00,0.00,95.00,0.00,2.00,127.00,179.02,124.00,90.00,2.00,3.87,604.90,346.08,0.00,0.00,0.880,381.398,-26.697,3.853,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.062,-0.077,0.008,0.008,
0.494,10111100,2,0,0,52,1,0.00,0.00,140.58,156.48,100.70,14.56,31.53,31.60,25.60,25.57,4.44,-43.83,57.00,1.00,132.00,99.00,0.00,0.00,126.00,159.00,123.00,35.00,2.00,2.00,140.00,0.00,122.00,0.00,2.00,0.00,603.14,349.94,0.00,0.00,0.879,381.398,-30.047,2.331,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.996,-0.070,-0.086,0.004,0.004,
0.511,11110000,2,0,0,55,1,0.00,0.00,140.58,156.00,100.70,0.00,31.53,0.00,25.60,0.00,4.44,0.00,57.00,2.00,132.00,88.00,0.00,0.00,126.00,0.00,123.00,0.00,2.00,0.00,140.00,312.00,122.00,182.00,2.00,2.00,601.17,356.84,0.00,0.00,0.879,381.398,-30.047,2.331,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.996,-0.070,-0.086,0.004,0.004,
0.550,10111100,6,0,0,62,1,0.00,0.00,140.98,156.48,100.40,14.56,30.35,31.60,25.34,25.57,1.74,-43.83,58.00,1.00,132.00,99.00,0.00,0.00,126.00,159.00,123.00,35.00,2.00,2.00,140.00,0.00,122.00,0.00,2.00,0.00,599.85,361.17,0.00,0.00,0.879,381.398,-28.756,1.990,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.067,-0.082,0.004,0.003,
0.589,11110100,6,0,0,69,1,0.00,0.00,140.61,156.00,100.62,0.00,30.96,0.00,25.42,0.00,3.84,0.00,59.00,6.00,132.00,85.00,0.00,86.00,126.00,165.00,123.00,36.00,2.00,2.00,140.00,180.00,122.00,36.00,2.00,2.00,598.51,365.86,0.00,0.00,0.879,381.398,-29.193,2.842,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.998,0.997,-0.068,-0.083,0.006,0.006,
0.633,11100100,7,0,0,77,1,0.00,0.00,150.88,156.00,105.82,0.00,31.84,0.00,26.13,0.00,7.69,0.00,74.00,1.00,134.00,89.00,0.00,0.00,0.00,217.00,0.00,111.00,0.00,2.00,132.52,259.00,126.97,125.00,3.92,2.00,603.57,369.02,0.00,0.00,0.883,381.398,-5.104,15.855,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.999,0.999,-0.006,-0.021,0.039,0.039,
0.650,11100100,2,0,0,80,1,0.00,0.00,165.35,156.00,119.08,0.00,32.03,0.00,26.61,0.00,22.54,0.00,73.00,1.00,160.00,92.00,0.00,0.00,0.00,248.00,0.00,121.00,0.00,2.00,154.00,260.00,132.00,125.00,2.00,2.00,620.56,392.70,0.00,0.00,0.854,381.398,43.200,80.552,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.973,0.974,0.116,0.101,0.201,0.202,
0.694,11100000,7,0,0,88,1,0.00,0.00,165.35,156.00,119.08,0.00,32.03,0.00,26.61,0.00,22.54,0.00,73.00,1.00,160.00,87.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.00,188.00,132.00,39.00,2.00,2.00,638.37,416.85,0.00,0.00,0.854,381.398,43.200,80.552,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.973,0.974,0.116,0.101,0.201,0.202,
0.711,11110000,2,0,0,91,1,0.00,0.00,165.46,156.00,118.60,0.00,30.76,0.00,25.69,0.00,25.53,0.00,73.00,1.00,182.00,81.00,0.00,0.00,138.00,0.00,133.00,0.00,2.00,0.00,154.00,187.00,132.00,39.00,2.00,2.00,655.66,439.29,0.00,0.00,0.857,381.398,41.081,75.030,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.976,0.977,0.111,0.096,0.188,0.188,
0.750,11110000,6,0,0,98,1,0.00,0.00,165.46,156.00,118.60,0.00,30.76,0.00,25.69,0.00,25.53,0.00,73.00,1.00,182.00,91.00,0.00,0.00,138.00,0.00,133.00,0.00,2.00,0.00,154.00,187.00,132.00,39.00,2.00,2.00,672.64,461.84,0.00,0.00,0.857,381.398,41.081,75.030,-4.62,-4.55,-2.85,3.10,0.63,0.66,0.976,0.977,0.111,0.096,0.188,0.188,
