ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-03-28 20:19:50:570
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,172,1,0.00,0.00,112.51,230.67,172.69,121.64,6.36,5.52,4.62,5.07,12.68,29.29,126.00,70.00,228.00,182.00,0.00,0.00,83.54,217.11,217.97,141.38,10.12,5.08,120.72,248.83,220.10,140.68,9.86,6.77,554.90,429.94,0.00,0.00,0.208,1430.450,-218.130,139.427,-3.54,-3.47,-2.76,2.58,1.16,1.20,0.984,0.984,-0.148,-0.151,0.095,0.095,
0.006,11011100,0,0,0,173,1,0.00,0.00,151.00,230.65,0.00,121.37,0.00,5.52,0.00,5.09,0.00,29.78,169.00,70.00,192.00,182.00,0.00,0.00,84.87,217.05,227.44,141.27,8.44,5.73,119.27,248.85,228.63,140.75,6.81,7.16,554.99,429.12,0.00,0.00,0.208,1430.450,-218.105,136.033,-3.54,-3.46,-2.76,2.58,1.16,1.20,0.985,0.984,-0.148,-0.151,0.093,0.093,
0.244,11111100,42,0,0,36,1,0.00,0.00,112.51,234.70,172.69,126.12,6.36,5.52,4.62,5.18,12.68,31.18,126.00,76.00,228.00,185.00,0.00,0.00,83.54,219.00,217.97,142.50,10.12,4.72,120.72,250.00,220.10,141.92,9.86,6.65,555.51,432.66,0.00,0.00,0.208,1430.450,-211.478,188.900,-3.54,-3.47,-2.76,2.58,1.16,1.20,0.981,0.981,-0.143,-0.146,0.128,0.128,
0.272,11111100,4,0,0,41,1,0.00,0.00,112.51,235.06,172.69,126.31,6.36,5.52,4.62,5.20,12.68,33.08,126.00,76.00,228.00,185.00,0.00,0.00,83.54,219.11,217.97,142.38,10.12,5.08,120.72,250.15,220.10,141.78,9.86,6.71,556.07,436.18,0.00,0.00,0.208,1430.450,-210.316,191.826,-3.54,-3.47,-2.76,2.58,1.16,1.20,0.981,0.981,-0.142,-0.146,0.130,0.130,
0.283,11011100,1,0,0,43,1,0.00,0.00,151.00,235.15,0.00,125.98,0.00,5.52,0.00,5.19,0.00,39.66,172.00,76.00,180.00,185.00,0.00,0.00,86.53,219.11,229.57,142.38,8.10,5.08,120.79,250.19,231.33,141.63,6.11,6.74,556.66,440.43,0.00,0.00,0.208,1430.450,-209.233,187.360,-3.54,-3.47,-2.76,2.58,1.16,1.20,0.982,0.981,-0.141,-0.145,0.127,0.127,
0.300,11011100,2,0,0,46,1,0.00,0.00,151.00,235.15,0.00,126.11,0.00,5.54,0.00,5.17,0.00,40.86,171.00,76.00,179.00,185.00,0.00,0.00,86.53,219.11,229.57,142.38,8.10,5.08,120.79,250.20,231.33,141.51,6.11,6.68,557.28,445.08,0.00,0.00,0.208,1430.450,-208.789,190.007,-3.54,-3.47,-2.76,2.58,1.16,1.20,0.982,0.981,-0.141,-0.145,0.129,0.129,
0.317,11011100,2,0,0,49,1,0.00,0.00,151.00,235.29,0.00,125.72,0.00,5.58,0.00,5.17,0.00,43.42,171.00,76.00,177.00,185.00,0.00,0.00,86.53,219.11,229.57,142.38,8.10,5.08,120.69,250.29,231.24,141.43,5.97,6.83,557.94,448.73,0.00,0.00,0.208,1430.450,-208.066,183.696,-3.54,-3.47,-2.76,2.58,1.16,1.20,0.982,0.982,-0.141,-0.144,0.125,0.125,
0.322,11011100,0,0,0,50,1,0.00,0.00,151.00,235.29,0.00,125.72,0.00,5.58,0.00,5.17,0.00,43.42,171.00,76.00,178.00,185.00,0.00,0.00,129.00,219.11,163.00,142.38,2.00,5.08,169.00,250.29,129.00,141.43,2.00,6.83,558.59,452.65,0.00,0.00,0.208,1430.450,-208.066,183.696,-3.54,-3.47,-2.76,2.58,1.16,1.20,0.982,0.982,-0.141,-0.144,0.125,0.125,
0.328,11111100,0,0,0,51,1,0.00,0.00,112.51,235.41,172.69,126.08,6.36,5.58,4.62,5.23,12.68,44.21,126.00,75.00,228.00,185.00,0.00,0.00,83.54,219.11,217.97,142.38,10.12,5.08,120.72,250.23,220.10,141.43,9.86,6.61,558.85,452.68,0.00,0.00,0.208,1430.450,-207.372,189.193,-3.54,-3.47,-2.76,2.58,1.16,1.20,0.982,0.981,-0.140,-0.144,0.129,0.129,
0.339,11001100,1,0,0,53,1,0.00,0.00,151.00,235.41,0.00,126.08,0.00,5.58,0.00,5.23,0.00,44.21,171.00,75.00,177.00,185.00,0.00,0.00,0.00,219.11,0.00,142.38,0.00,5.08,129.00,250.23,163.00,141.43,2.00,6.61,559.04,452.46,0.00,0.00,0.208,1430.450,-207.372,189.193,-3.54,-3.47,-2.76,2.58,1.16,1.20,0.982,0.981,-0.140,-0.144,0.129,0.129,
