ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-04-09 20:16:27:394
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,9,0,0.00,0.00,135.73,245.98,188.48,92.05,3.69,3.75,3.23,3.41,35.54,51.98,157.00,64.00,216.00,141.00,0.00,0.00,115.00,226.00,198.00,106.00,2.00,2.00,126.00,239.00,198.00,105.00,2.00,2.00,814.51,451.06,0.00,0.00,0.163,1522.217,477.331,194.744,-5.01,-5.05,-2.49,2.29,0.53,0.51,0.947,0.948,0.298,0.295,0.120,0.121,
0.006,11111100,0,0,0,10,0,0.00,0.00,135.58,246.03,188.72,92.05,3.68,3.74,3.31,3.35,35.01,51.57,157.00,64.00,214.00,149.00,0.00,0.00,115.00,226.00,198.00,106.00,2.00,2.00,127.00,239.00,199.00,105.00,2.00,2.00,814.53,451.20,0.00,0.00,0.163,1522.396,475.046,193.236,-5.01,-5.05,-2.49,2.29,0.53,0.51,0.948,0.948,0.296,0.294,0.120,0.120,
0.011,11101100,0,0,0,11,0,0.00,0.00,135.67,246.03,188.66,92.05,3.68,3.74,3.32,3.35,34.01,51.57,157.00,64.00,214.00,149.00,0.00,0.00,0.00,226.00,0.00,106.00,0.00,2.00,115.00,239.00,198.00,105.00,2.00,2.00,814.58,451.59,0.00,0.00,0.163,1522.556,475.406,198.908,-5.01,-5.05,-2.49,2.29,0.53,0.51,0.947,0.948,0.296,0.294,0.123,0.123,
0.028,11101100,2,0,0,14,0,0.00,0.00,135.63,245.91,188.76,92.22,3.66,3.75,3.30,3.33,33.90,52.39,157.00,64.00,215.00,150.00,0.00,0.00,0.00,226.00,0.00,106.00,0.00,2.00,114.00,240.00,198.00,106.00,2.00,2.00,812.90,450.55,0.00,0.00,0.164,1522.700,455.442,187.676,-5.01,-5.05,-2.49,2.29,0.53,0.51,0.951,0.952,0.285,0.282,0.117,0.117,
0.228,11101100,35,0,0,50,0,0.00,0.00,135.58,246.37,189.45,92.82,3.69,3.70,3.29,3.32,35.27,52.93,157.00,64.00,215.00,150.00,0.00,0.00,0.00,226.00,0.00,108.00,0.00,2.00,115.00,239.00,198.00,105.00,2.00,2.00,811.62,450.55,0.00,0.00,0.164,1522.830,458.428,202.391,-5.01,-5.05,-2.49,2.29,0.53,0.51,0.950,0.951,0.287,0.284,0.125,0.126,
0.244,11111100,2,0,0,53,0,0.00,0.00,135.59,246.27,189.45,92.70,3.68,3.71,3.30,3.36,35.69,53.64,157.00,64.00,228.00,149.00,0.00,0.00,115.00,227.00,198.00,108.00,2.00,2.00,127.00,239.00,198.00,105.00,2.00,2.00,810.44,451.10,0.00,0.00,0.164,1522.947,457.084,200.950,-5.01,-5.05,-2.49,2.29,0.53,0.51,0.950,0.951,0.286,0.283,0.125,0.125,
0.256,11111100,1,0,0,55,0,0.00,0.00,135.49,246.35,189.50,92.77,3.70,3.72,3.34,3.37,37.21,50.16,157.00,64.00,228.00,142.00,0.00,0.00,115.00,227.00,198.00,108.00,2.00,2.00,127.00,239.00,198.00,105.00,2.00,2.00,810.12,452.77,0.00,0.00,0.163,1523.053,472.391,216.435,-5.01,-5.05,-2.49,2.29,0.53,0.51,0.946,0.947,0.294,0.291,0.134,0.134,
0.272,11111100,2,0,0,58,0,0.00,0.00,135.49,246.51,189.56,92.92,3.69,3.73,3.37,3.31,37.03,50.77,156.00,64.00,234.00,148.00,0.00,0.00,115.00,227.00,198.00,108.00,2.00,2.00,127.00,239.00,198.00,105.00,2.00,2.00,810.06,454.87,0.00,0.00,0.162,1523.147,474.208,220.504,-5.01,-5.05,-2.49,2.29,0.53,0.51,0.946,0.947,0.295,0.292,0.136,0.136,
0.283,11111100,1,0,0,60,0,0.00,0.00,135.54,246.35,189.51,92.87,3.69,3.72,3.28,3.37,37.74,47.82,157.00,64.00,234.00,149.00,0.00,0.00,115.00,226.00,198.00,108.00,2.00,2.00,127.00,239.00,198.00,105.00,2.00,2.00,809.80,456.39,0.00,0.00,0.163,1523.233,471.465,218.704,-5.01,-5.05,-2.49,2.29,0.53,0.51,0.946,0.947,0.293,0.291,0.135,0.135,
0.300,11111100,2,0,0,63,0,0.00,0.00,135.59,246.35,189.74,92.87,3.69,3.72,3.38,3.37,38.21,47.82,157.00,64.00,228.00,149.00,0.00,0.00,115.00,226.00,198.00,108.00,2.00,2.00,127.00,239.00,198.00,105.00,2.00,2.00,809.80,458.07,0.00,0.00,0.164,1523.309,455.612,209.539,-5.01,-5.05,-2.49,2.29,0.53,0.51,0.950,0.951,0.285,0.282,0.130,0.130,
