ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-22 20:19:46:481
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,74,0,0.00,0.00,138.89,182.41,168.66,84.37,43.93,46.82,41.22,42.56,49.87,-0.62,130.00,37.00,205.00,140.00,0.00,0.00,101.52,166.65,183.10,103.90,9.06,7.28,134.00,196.82,183.68,103.71,4.67,6.90,683.97,655.35,0.00,0.00,3.506,85.161,6.753,36.342,-3.11,-3.20,-2.73,3.12,0.73,0.66,0.923,0.927,0.099,0.038,0.372,0.374,
0.006,11111100,0,0,0,75,0,0.00,0.00,138.95,182.44,168.63,84.42,43.77,46.88,41.41,42.42,51.01,-0.32,129.00,37.00,204.00,136.00,0.00,0.00,101.43,166.74,183.12,104.07,8.74,7.31,134.00,196.93,183.68,103.77,4.67,6.66,681.86,659.41,0.00,0.00,3.677,81.081,6.475,34.579,-3.11,-3.20,-2.73,3.12,0.73,0.66,0.923,0.927,0.101,0.037,0.371,0.373,
0.011,11111100,0,0,0,76,0,0.00,0.00,139.04,182.66,168.65,84.44,43.76,46.87,41.57,42.84,52.06,-0.41,130.00,37.00,205.00,135.00,0.00,0.00,101.53,166.80,183.09,104.06,8.92,7.18,134.00,196.98,183.68,103.86,4.67,6.68,682.72,659.93,0.00,0.00,3.844,77.440,6.306,33.032,-3.11,-3.20,-2.73,3.12,0.72,0.66,0.923,0.927,0.104,0.037,0.370,0.372,
0.017,11111100,0,0,0,77,0,0.00,0.00,139.06,182.49,168.72,84.45,43.76,46.91,41.28,42.29,52.89,0.99,121.00,37.00,205.00,140.00,0.00,0.00,101.61,166.94,183.10,104.07,8.75,7.59,134.13,196.93,183.75,103.77,4.58,6.66,683.46,660.66,0.00,0.00,4.009,74.101,5.997,31.714,-3.11,-3.20,-2.73,3.12,0.72,0.65,0.923,0.927,0.104,0.035,0.370,0.373,
0.122,11111100,18,0,0,96,0,0.00,0.00,148.06,182.49,170.48,84.45,43.29,46.91,39.67,42.29,50.15,0.99,133.00,37.00,207.00,140.00,0.00,0.00,105.08,166.94,183.77,104.07,8.20,7.59,138.09,196.93,184.54,103.77,4.65,6.66,688.57,665.84,0.00,0.00,4.188,69.444,8.865,32.318,-3.11,-3.20,-2.73,3.12,0.72,0.65,0.907,0.914,0.145,0.072,0.395,0.398,
0.161,11111100,6,0,0,103,0,0.00,0.00,148.38,182.49,170.56,84.45,43.04,46.91,39.91,42.29,45.22,0.99,133.00,37.00,206.00,140.00,0.00,0.00,105.08,166.94,183.77,104.07,8.20,7.59,138.17,196.93,184.67,103.77,4.77,6.66,693.64,670.89,0.00,0.00,4.446,65.218,8.436,30.458,-3.11,-3.20,-2.73,3.12,0.72,0.65,0.907,0.914,0.148,0.071,0.395,0.398,
0.178,11111100,2,0,0,106,0,0.00,0.00,148.05,191.94,170.02,84.14,43.10,46.56,40.19,43.14,47.67,2.45,132.00,38.00,204.00,134.00,0.00,0.00,105.19,171.58,183.63,103.68,8.06,8.40,138.09,201.11,184.54,103.48,4.65,6.65,701.22,671.52,0.00,0.00,4.622,62.992,10.141,27.217,-3.11,-3.21,-2.73,3.12,0.72,0.65,0.913,0.924,0.178,0.098,0.366,0.371,
0.217,11111100,6,0,0,113,0,0.00,0.00,148.05,192.40,170.02,84.32,43.10,46.34,40.19,43.00,47.67,4.32,132.00,37.00,204.00,133.00,0.00,0.00,105.19,171.71,183.63,103.65,8.06,7.36,138.09,201.50,184.54,103.50,4.65,5.56,708.90,672.19,0.00,0.00,4.758,61.107,9.945,26.407,-3.11,-3.21,-2.73,3.12,0.72,0.65,0.913,0.924,0.180,0.098,0.365,0.370,
0.256,11111100,6,0,0,120,0,0.00,0.00,148.05,193.05,170.02,84.32,43.10,46.66,40.19,43.42,47.67,3.85,132.00,37.00,204.00,140.00,0.00,0.00,105.19,172.00,183.63,103.79,8.06,6.81,138.09,201.68,184.54,103.36,4.65,5.55,716.69,672.55,0.00,0.00,4.873,59.632,9.866,25.618,-3.11,-3.21,-2.73,3.12,0.72,0.65,0.914,0.925,0.183,0.099,0.363,0.367,
0.267,11111100,1,0,0,122,0,0.00,0.00,148.05,188.56,170.02,83.15,43.10,47.09,40.19,42.77,47.67,4.50,132.00,37.00,204.00,131.00,0.00,0.00,105.19,170.03,183.63,103.12,8.06,6.67,138.09,199.42,184.54,103.14,4.65,6.17,723.09,673.49,0.00,0.00,5.069,57.323,8.592,24.990,-3.11,-3.21,-2.73,3.12,0.72,0.65,0.914,0.925,0.171,0.084,0.367,0.372,
