ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-04-04 14:25:10:095
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,107,1,0.00,0.00,115.50,205.96,208.79,122.91,3.31,3.44,2.97,3.15,27.73,-21.94,158.00,72.00,239.00,176.00,0.00,0.00,93.72,201.27,229.73,147.31,5.72,5.28,119.81,228.41,231.58,146.53,4.61,5.43,604.77,418.17,0.00,0.00,3.274,88.915,-5.326,6.702,-3.65,-3.60,-2.66,2.65,1.01,1.03,0.998,0.994,-0.029,-0.086,0.061,0.061,
0.006,11111100,0,0,0,108,1,0.00,0.00,115.61,206.13,208.53,123.06,3.28,3.45,3.04,3.08,29.00,-22.03,158.00,72.00,239.00,176.00,0.00,0.00,93.92,201.27,229.60,147.31,5.38,5.28,119.81,228.41,231.58,146.53,4.61,5.43,605.52,417.25,0.00,0.00,3.260,89.298,-5.224,6.697,-3.65,-3.60,-2.66,2.65,1.01,1.03,0.998,0.995,-0.028,-0.084,0.061,0.061,
0.011,11111100,0,0,0,109,1,0.00,0.00,115.51,206.16,208.79,123.02,3.28,3.46,3.01,3.09,31.22,-21.65,158.00,72.00,239.00,176.00,0.00,0.00,93.92,201.40,229.60,147.25,5.38,5.03,119.81,228.41,231.58,146.53,4.61,5.43,605.93,416.35,0.00,0.00,3.247,89.649,-5.266,6.872,-3.65,-3.60,-2.66,2.65,1.01,1.03,0.998,0.994,-0.028,-0.084,0.063,0.062,
0.017,11111100,0,0,0,110,1,0.00,0.00,115.68,206.16,208.99,123.02,3.28,3.46,2.99,3.09,33.36,-21.65,158.00,72.00,239.00,176.00,0.00,0.00,93.81,201.40,229.70,147.25,5.54,5.03,119.84,228.41,231.77,146.53,4.30,5.43,606.45,415.63,0.00,0.00,3.247,89.653,-5.184,6.972,-3.65,-3.60,-2.66,2.65,1.01,1.03,0.998,0.994,-0.027,-0.084,0.064,0.063,
0.250,11111100,41,0,0,152,1,0.00,0.00,112.56,203.58,212.22,127.17,3.38,3.48,3.01,3.16,31.48,-22.62,159.00,73.00,239.00,189.00,0.00,0.00,92.37,199.78,231.87,149.14,6.09,4.43,118.63,227.08,233.84,148.53,5.10,6.24,604.58,418.53,0.00,0.00,3.253,88.993,-7.439,9.651,-3.65,-3.60,-2.66,2.65,1.01,1.03,0.994,0.990,-0.051,-0.108,0.093,0.092,
0.267,11111100,2,0,0,155,1,0.00,0.00,112.64,203.50,212.18,127.15,3.37,3.48,3.06,3.19,28.76,-23.05,159.00,73.00,239.00,189.00,0.00,0.00,92.23,199.78,231.89,149.14,6.05,4.43,118.63,227.18,233.84,148.43,5.10,6.13,602.72,421.46,0.00,0.00,3.280,88.220,-7.368,9.589,-3.65,-3.60,-2.66,2.65,1.01,1.03,0.994,0.990,-0.051,-0.108,0.093,0.092,
0.283,11111100,2,0,0,158,1,0.00,0.00,112.42,203.46,212.69,127.19,3.39,3.49,3.01,3.17,23.76,-23.34,158.00,73.00,239.00,189.00,0.00,0.00,92.17,199.78,231.90,149.14,5.98,4.43,118.56,227.08,233.84,148.53,5.01,6.24,600.43,425.76,0.00,0.00,3.301,87.608,-7.408,9.803,-3.65,-3.60,-2.66,2.65,1.01,1.03,0.994,0.989,-0.052,-0.109,0.096,0.095,
0.289,11111100,0,0,0,159,1,0.00,0.00,112.42,203.41,212.69,127.15,3.39,3.47,3.01,3.19,23.76,-23.24,158.00,73.00,239.00,189.00,0.00,0.00,92.17,199.63,231.90,149.13,5.98,3.93,118.56,227.08,233.84,148.53,5.01,6.24,598.00,430.11,0.00,0.00,3.323,87.028,-7.371,9.737,-3.65,-3.60,-2.66,2.65,1.01,1.03,0.994,0.989,-0.052,-0.109,0.096,0.095,
0.300,11111100,1,0,0,161,1,0.00,0.00,112.02,203.41,213.08,127.24,3.47,3.48,2.97,3.16,17.12,-22.64,158.00,73.00,239.00,190.00,0.00,0.00,92.19,199.61,231.90,149.23,6.04,4.61,118.56,227.08,233.84,148.53,5.01,6.24,595.45,434.48,0.00,0.00,3.326,86.932,-7.500,9.893,-3.64,-3.60,-2.66,2.65,1.01,1.03,0.994,0.989,-0.053,-0.111,0.097,0.097,
0.311,11111100,1,0,0,163,1,0.00,0.00,112.00,203.38,213.48,127.35,3.47,3.49,3.00,3.15,10.43,-22.46,158.00,73.00,239.00,190.00,0.00,0.00,92.04,199.50,231.91,149.50,6.08,4.36,118.56,227.18,233.84,148.62,5.01,6.00,592.79,439.07,0.00,0.00,3.331,86.795,-7.504,10.134,-3.64,-3.60,-2.66,2.65,1.01,1.03,0.994,0.989,-0.053,-0.111,0.100,0.100,
0.317,11111100,0,0,0,164,1,0.00,0.00,112.13,203.38,212.89,127.35,3.44,3.51,3.01,3.17,7.42,-22.46,158.00,73.00,239.00,190.00,0.00,0.00,92.09,199.50,231.91,149.50,6.18,4.36,118.56,227.18,233.84,148.62,5.01,6.00,592.58,439.57,0.00,0.00,3.337,86.661,-7.445,9.766,-3.64,-3.60,-2.66,2.65,1.01,1.03,0.994,0.989,-0.053,-0.111,0.096,0.096,
