ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-24 19:44:51:325
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,01000000,0,0,0,4,0,0.00,0.00,115.00,198.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.00,119.00,239.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,201.00,0.00,161.00,0.00,2.00,663.57,506.63,0.00,0.00,0.000,0.000,0.000,0.000,-5.45,-5.26,-2.38,2.66,0.12,0.21,0.000,0.000,0.000,0.000,0.000,0.000,
0.006,01000100,0,0,0,5,0,0.00,0.00,115.00,198.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.00,134.00,237.00,165.00,0.00,0.00,0.00,153.00,0.00,201.00,0.00,2.00,0.00,201.00,0.00,161.00,0.00,2.00,663.57,506.63,0.00,0.00,0.000,0.000,0.000,0.000,-5.45,-5.26,-2.38,2.66,0.12,0.21,0.000,0.000,0.000,0.000,0.000,0.000,
0.011,01000100,0,0,0,6,0,0.00,0.00,115.00,198.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,194.00,134.00,237.00,165.00,0.00,0.00,0.00,152.00,0.00,200.00,0.00,2.00,0.00,201.00,0.00,161.00,0.00,2.00,663.57,506.63,0.00,0.00,0.000,0.000,0.000,0.000,-5.45,-5.26,-2.38,2.66,0.12,0.21,0.000,0.000,0.000,0.000,0.000,0.000,
0.017,00000100,0,0,0,7,0,0.00,0.00,115.00,198.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195.00,134.00,237.00,164.00,0.00,0.00,0.00,153.00,0.00,201.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,663.57,506.63,0.00,0.00,0.000,0.000,0.000,0.000,-5.45,-5.26,-2.38,2.66,0.12,0.21,0.000,0.000,0.000,0.000,0.000,0.000,
0.022,00001100,0,0,0,8,0,0.00,0.00,115.00,193.76,0.00,149.01,0.00,47.33,0.00,18.27,0.00,3.26,195.00,110.00,237.00,175.00,0.00,0.00,0.00,153.00,0.00,201.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,663.57,506.63,0.00,0.00,1.393,197.524,8.367,40.993,-5.45,-5.26,-2.38,2.66,0.12,0.21,0.979,0.980,0.052,0.028,0.197,0.197,
0.133,00001100,19,0,0,28,0,0.00,0.00,115.00,193.76,0.00,149.01,0.00,47.33,0.00,18.27,0.00,3.26,194.00,110.00,237.00,175.00,0.00,0.00,0.00,153.00,0.00,201.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,663.57,506.63,0.00,0.00,1.393,197.524,8.367,40.993,-5.45,-5.26,-2.38,2.66,0.12,0.21,0.979,0.980,0.052,0.028,0.197,0.197,
0.156,00001100,3,0,0,32,0,0.00,0.00,115.00,198.15,0.00,156.23,0.00,26.75,0.00,22.11,0.00,34.80,194.00,133.00,238.00,183.00,0.00,0.00,0.00,153.00,0.00,201.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,663.57,506.63,0.00,0.00,1.393,197.524,8.367,40.993,-5.45,-5.26,-2.38,2.66,0.12,0.21,0.979,0.980,0.052,0.028,0.197,0.197,
0.167,00011100,1,0,0,34,0,0.00,0.00,115.00,198.45,0.00,160.76,0.00,31.12,0.00,20.98,0.00,25.76,195.00,133.00,238.00,188.00,0.00,0.00,129.00,154.00,29.00,202.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,663.57,506.63,0.00,0.00,1.393,197.524,8.367,40.993,-5.45,-5.26,-2.38,2.66,0.12,0.21,0.979,0.980,0.052,0.028,0.197,0.197,
0.244,00011100,13,0,0,48,0,0.00,0.00,115.00,193.76,0.00,149.01,0.00,47.33,0.00,18.27,0.00,3.26,227.00,110.00,239.00,175.00,0.00,0.00,127.00,153.00,42.00,201.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,663.57,506.63,0.00,0.00,1.393,197.524,8.367,40.993,-5.45,-5.26,-2.38,2.66,0.12,0.21,0.979,0.980,0.052,0.028,0.197,0.197,
0.250,00100100,0,0,0,49,0,0.00,0.00,125.90,198.00,223.53,0.00,24.08,0.00,14.70,0.00,4.58,0.00,198.00,132.00,239.00,176.00,0.00,80.00,0.00,152.00,0.00,200.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,663.57,506.63,0.00,0.00,1.393,197.524,8.367,40.993,-5.45,-5.26,-2.38,2.66,0.12,0.21,0.979,0.980,0.052,0.028,0.197,0.197,
