ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-02-20 20:56:04:357
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,142,1,0.00,0.00,146.05,171.37,161.55,87.16,4.20,4.00,3.62,3.66,30.86,-49.74,126.00,52.00,202.00,134.00,0.00,0.00,130.81,174.48,177.70,103.97,3.76,3.92,145.00,189.00,178.00,104.00,3.46,3.46,609.94,441.25,0.00,0.00,9.988,28.460,-1.716,2.739,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.997,0.988,0.036,-0.138,0.065,0.063,
0.006,11111100,0,0,0,143,1,0.00,0.00,146.27,171.71,161.62,87.17,4.22,4.04,3.60,3.55,29.51,-49.61,126.00,52.00,202.00,134.00,0.00,0.00,130.81,173.00,177.70,103.00,3.76,2.00,145.00,189.00,178.00,104.00,3.46,3.46,609.11,438.09,0.00,0.00,9.971,28.520,-1.575,2.866,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.997,0.989,0.040,-0.134,0.068,0.066,
0.011,11111100,0,0,0,144,1,0.00,0.00,145.91,171.58,161.66,87.29,4.22,4.04,3.57,3.65,29.27,-50.05,126.00,53.00,202.00,134.00,0.00,0.00,130.81,174.00,177.70,104.00,3.76,3.46,145.00,189.00,178.00,103.77,3.46,2.64,608.10,435.03,0.00,0.00,9.943,28.609,-1.683,2.821,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.997,0.989,0.037,-0.137,0.067,0.065,
0.017,11111100,0,0,0,145,1,0.00,0.00,145.91,171.40,163.06,87.37,4.23,4.02,3.35,3.66,27.71,-50.59,126.00,52.00,202.00,134.00,0.00,0.00,130.68,174.00,177.61,104.00,3.73,3.46,144.98,189.00,178.00,104.00,3.87,3.46,606.74,433.39,0.00,0.00,9.938,28.588,-1.740,3.297,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.996,0.987,0.035,-0.138,0.081,0.079,
0.022,11111100,0,0,0,146,1,0.00,0.00,146.13,171.40,161.80,87.37,4.21,4.01,3.56,3.66,28.02,-50.59,126.00,52.00,201.00,134.00,0.00,0.00,130.68,174.00,177.61,104.00,3.73,3.46,144.98,189.00,178.00,104.00,3.87,3.46,606.47,432.70,0.00,0.00,9.953,28.567,-1.689,2.913,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.997,0.988,0.036,-0.137,0.070,0.068,
0.028,11111100,0,0,0,9,1,0.00,0.00,146.81,174.12,161.67,87.59,4.04,3.96,3.57,3.60,24.07,-51.46,127.00,53.00,202.00,135.00,0.00,0.00,131.50,175.00,177.70,104.00,3.93,3.46,145.09,190.00,178.04,104.00,4.72,3.46,608.90,432.45,0.00,0.00,9.774,29.208,-1.199,2.996,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.996,0.990,0.050,-0.120,0.071,0.069,
0.278,11111100,44,0,0,12,1,0.00,0.00,147.55,173.93,163.31,88.07,4.05,3.90,3.39,3.58,28.96,-51.10,127.00,53.00,203.00,135.00,0.00,0.00,131.32,175.00,178.39,104.00,3.73,3.46,145.50,190.00,178.50,103.00,3.28,2.00,611.55,435.78,0.00,0.00,9.742,29.279,-0.929,3.646,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.994,0.990,0.058,-0.112,0.090,0.088,
0.294,11111100,2,0,0,15,1,0.00,0.00,147.64,173.68,163.43,87.93,3.98,3.86,3.35,3.77,30.38,-51.32,127.00,53.00,203.00,135.00,0.00,0.00,131.07,175.00,178.50,104.00,3.98,3.46,145.55,190.00,178.47,103.00,3.29,2.00,613.63,438.75,0.00,0.00,9.748,29.254,-0.960,3.677,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.994,0.990,0.057,-0.113,0.091,0.089,
0.306,11111100,1,0,0,17,1,0.00,0.00,147.50,173.66,163.31,88.16,4.00,3.78,3.32,3.47,32.32,-49.64,127.00,53.00,203.00,135.00,0.00,0.00,131.07,174.00,178.50,103.00,3.98,2.00,145.50,190.48,178.50,103.97,3.32,3.92,616.03,442.13,0.00,0.00,9.746,29.258,-0.963,3.727,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.994,0.990,0.057,-0.113,0.092,0.090,
0.322,11111100,2,0,0,20,1,0.00,0.00,147.50,173.73,163.31,87.68,4.01,3.74,3.33,3.65,32.32,-47.24,127.00,53.00,203.00,135.00,0.00,0.00,131.07,174.00,178.50,103.00,3.98,2.00,145.50,190.00,178.50,103.50,3.32,2.24,618.74,443.20,0.00,0.00,9.734,29.308,-0.926,3.647,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.994,0.990,0.058,-0.112,0.090,0.088,
0.339,11111100,2,0,0,23,1,0.00,0.00,147.25,173.67,163.41,87.52,3.99,3.73,3.42,3.38,33.06,-46.18,127.00,53.00,203.00,135.00,0.00,0.00,130.68,181.37,178.39,149.79,3.72,11.91,144.89,209.28,178.40,151.15,2.98,10.65,621.17,445.33,0.00,0.00,9.716,29.378,-0.967,3.526,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.995,0.990,0.057,-0.113,0.086,0.084,
0.350,11111100,1,0,0,25,1,0.00,0.00,147.45,173.89,163.15,87.89,3.95,3.74,3.32,3.33,34.32,-45.26,127.00,53.00,203.00,135.00,0.00,0.00,130.68,174.00,178.39,103.00,3.72,2.00,144.89,189.52,178.40,103.97,2.98,3.92,622.36,447.85,0.00,0.00,9.697,29.439,-0.831,3.651,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.994,0.990,0.060,-0.109,0.089,0.088,
0.372,11111100,3,0,0,29,1,0.00,0.00,147.33,173.72,163.04,87.66,3.99,3.73,3.29,3.47,36.59,-46.31,127.00,53.00,202.00,135.00,0.00,0.00,130.50,179.14,178.50,149.08,3.32,13.78,144.89,209.06,178.40,150.93,2.98,10.54,622.58,446.95,0.00,0.00,9.689,29.485,-0.867,3.445,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.995,0.991,0.059,-0.110,0.083,0.081,
0.383,11111100,1,0,0,31,1,0.00,0.00,147.33,173.77,163.04,88.12,4.01,3.72,3.30,3.42,36.59,-45.44,127.00,53.00,202.00,134.00,0.00,0.00,130.50,174.00,178.50,103.00,3.32,2.00,144.89,189.00,178.40,103.00,2.98,2.00,623.00,447.28,0.00,0.00,9.670,29.522,-0.833,3.794,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.994,0.990,0.060,-0.108,0.093,0.091,
0.389,11111100,0,0,0,32,1,0.00,0.00,147.20,173.77,163.79,88.12,3.97,3.72,3.23,3.41,35.90,-45.44,127.00,53.00,202.00,134.00,0.00,0.00,130.50,174.00,178.50,103.00,3.32,2.00,144.89,189.00,178.40,103.00,2.98,2.00,623.40,448.48,0.00,0.00,9.660,29.534,-0.844,4.062,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.993,0.989,0.060,-0.109,0.101,0.099,
0.400,11111100,1,0,0,34,1,0.00,0.00,147.43,173.81,163.07,88.82,3.98,3.72,3.42,3.12,37.68,-42.32,127.00,54.00,203.00,135.00,0.00,0.00,130.68,174.00,178.39,103.00,3.72,2.00,144.50,189.00,178.50,103.00,3.32,2.00,624.04,449.99,0.00,0.00,9.668,29.507,-0.731,4.051,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.993,0.990,0.063,-0.105,0.101,0.099,
0.472,11111100,12,0,0,47,1,0.00,0.00,147.43,170.52,163.07,87.14,3.99,3.71,3.43,3.24,37.68,-39.12,127.00,52.00,203.00,133.00,0.00,0.00,130.68,172.00,178.39,103.00,3.72,2.00,144.50,188.00,178.50,103.50,3.32,2.24,622.71,450.58,0.00,0.00,9.817,29.000,-1.369,3.626,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.995,0.988,0.045,-0.126,0.090,0.088,
0.483,11111100,1,0,0,49,1,0.00,0.00,145.11,171.69,161.84,87.60,3.81,3.67,3.47,3.50,40.17,-40.82,126.00,54.00,200.00,134.00,0.00,0.00,129.98,173.00,178.00,103.00,3.87,2.00,143.98,188.00,178.00,103.00,3.87,2.00,620.44,449.53,0.00,0.00,9.778,29.149,-1.538,3.354,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.996,0.988,0.040,-0.130,0.081,0.079,
0.522,11111100,6,0,0,56,1,0.00,0.00,145.28,171.33,162.37,87.13,3.67,3.61,3.21,3.27,38.11,-36.74,126.00,52.00,200.00,133.00,0.00,0.00,129.89,195.65,178.27,148.16,3.50,17.62,143.98,208.47,178.00,148.95,3.87,11.43,618.26,449.05,0.00,0.00,9.779,29.148,-1.543,3.288,-4.61,-4.48,-2.90,2.89,0.59,0.65,0.996,0.988,0.040,-0.130,0.080,0.077,
