ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-04-04 19:50:25:824
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z,
0.000,11111100,0,0,0,180,1,0.00,0.00,113.76,205.68,147.66,68.54,4.32,4.42,3.64,3.69,27.61,22.03,114.00,31.00,194.00,120.00,0.00,0.00,103.13,206.72,170.50,91.41,5.21,4.22,121.47,227.65,170.86,92.08,5.30,5.77,657.88,449.05,0.00,0.00,0.260,1112.233,-189.313,0.325,-4.06,-3.95,-2.73,2.45,0.83,0.88,0.986,0.986,-0.165,-0.169,-0.000,-0.000,
0.006,11111100,0,0,0,1,1,0.00,0.00,114.19,206.45,147.97,68.63,4.29,4.40,3.61,3.68,24.41,14.71,113.00,31.00,194.00,119.00,0.00,0.00,103.32,207.00,170.64,91.50,5.55,4.21,121.76,228.00,171.08,92.20,5.57,4.93,634.23,431.74,0.00,0.00,0.285,1016.709,-163.154,1.444,-4.07,-3.95,-2.73,2.46,0.83,0.88,0.988,0.987,-0.155,-0.160,0.001,0.001,
0.011,11111100,0,0,0,2,1,0.00,0.00,114.59,207.31,148.49,68.70,4.29,4.38,3.60,3.68,21.49,7.82,113.00,31.00,195.00,120.00,0.00,0.00,103.37,207.19,170.72,91.58,5.49,4.61,122.20,228.27,170.91,92.11,5.41,5.27,611.54,414.57,0.00,0.00,0.312,931.465,-139.069,4.930,-4.09,-3.95,-2.72,2.47,0.82,0.88,0.990,0.989,-0.144,-0.150,0.004,0.004,
0.017,11111100,0,0,0,3,1,0.00,0.00,114.59,207.88,148.49,69.00,4.28,4.38,3.60,3.69,21.49,2.78,113.00,31.00,195.00,121.00,0.00,0.00,103.37,207.93,170.72,91.50,5.49,3.99,122.20,228.90,170.91,92.19,5.41,5.58,588.51,396.84,0.00,0.00,0.339,856.859,-123.603,5.755,-4.09,-3.95,-2.72,2.47,0.82,0.88,0.990,0.989,-0.139,-0.145,0.006,0.006,
0.200,11111100,32,0,0,36,1,0.00,0.00,122.30,218.55,152.23,71.54,4.21,4.43,3.63,3.33,23.77,1.57,114.00,31.00,204.00,123.00,0.00,0.00,106.82,213.73,172.27,92.00,5.69,4.10,125.86,234.87,172.10,92.32,4.75,5.33,574.23,385.39,0.00,0.00,0.367,802.734,-42.695,44.524,-4.09,-3.95,-2.71,2.47,0.82,0.88,0.997,0.997,-0.049,-0.056,0.054,0.054,
0.211,11111100,1,0,0,38,1,0.00,0.00,122.46,219.00,152.49,71.26,4.18,4.36,3.58,3.64,23.87,3.71,114.00,31.00,204.00,111.00,0.00,0.00,107.00,213.72,172.31,92.22,5.77,4.58,125.77,234.96,172.19,92.40,4.84,4.70,572.73,374.65,0.00,0.00,0.390,755.148,-36.266,41.697,-4.09,-3.95,-2.71,2.47,0.82,0.89,0.998,0.997,-0.044,-0.051,0.054,0.054,
0.228,11111100,2,0,0,41,1,0.00,0.00,122.56,219.15,152.46,71.57,4.17,4.32,3.55,3.57,24.09,6.40,114.00,31.00,204.00,123.00,0.00,0.00,107.00,214.34,172.31,92.10,5.77,4.17,125.77,235.24,172.19,92.22,4.84,5.42,584.25,381.50,0.00,0.00,0.414,711.033,-32.751,41.591,-4.10,-3.95,-2.71,2.47,0.81,0.88,0.998,0.997,-0.042,-0.049,0.057,0.057,
0.244,11111100,2,0,0,44,1,0.00,0.00,122.62,218.37,152.40,71.94,4.16,4.29,3.57,3.38,24.29,11.42,115.00,31.00,204.00,123.00,0.00,0.00,107.00,214.40,172.31,92.00,5.77,3.62,125.77,235.40,172.19,92.01,4.84,5.27,594.57,388.50,0.00,0.00,0.443,663.728,-32.640,40.369,-4.10,-3.95,-2.71,2.47,0.81,0.88,0.997,0.997,-0.045,-0.052,0.059,0.059,
0.256,11111100,1,0,0,46,1,0.00,0.00,122.62,219.32,152.40,71.35,4.16,4.34,3.57,3.57,24.29,14.81,115.00,30.00,204.00,109.00,0.00,0.00,107.00,214.50,172.31,91.70,5.77,3.93,125.77,235.40,172.19,92.01,4.84,5.27,604.26,394.76,0.00,0.00,0.468,627.817,-28.109,36.692,-4.10,-3.95,-2.71,2.47,0.81,0.88,0.998,0.997,-0.040,-0.048,0.057,0.057,
0.278,11111100,3,0,0,50,1,0.00,0.00,122.62,219.70,152.40,71.02,4.16,4.36,3.57,3.61,24.29,17.42,115.00,30.00,204.00,123.00,0.00,0.00,107.00,214.50,172.31,91.70,5.77,3.93,125.77,235.50,172.19,92.00,4.84,5.42,613.65,400.64,0.00,0.00,0.490,599.619,-25.727,33.972,-4.10,-3.95,-2.71,2.47,0.81,0.88,0.998,0.997,-0.038,-0.047,0.055,0.055,
0.289,11111100,1,0,0,52,1,0.00,0.00,122.17,219.70,150.97,70.54,4.18,4.33,3.60,3.66,23.50,16.87,114.00,31.00,202.00,123.00,0.00,0.00,106.72,214.50,171.93,91.70,5.56,3.93,125.60,235.60,171.99,92.01,5.27,5.27,614.87,399.95,0.00,0.00,0.515,571.254,-22.909,28.343,-4.10,-3.95,-2.70,2.47,0.81,0.88,0.998,0.998,-0.035,-0.044,0.048,0.048,
0.361,11111100,12,0,0,65,1,0.00,0.00,123.01,219.70,151.94,70.54,4.14,4.33,3.60,3.66,26.13,16.87,114.00,31.00,204.00,123.00,0.00,0.00,106.96,214.50,172.30,91.70,5.65,3.93,125.86,235.60,172.10,92.01,4.75,5.27,615.68,399.30,0.00,0.00,0.540,544.525,-21.396,27.067,-4.10,-3.95,-2.70,2.47,0.81,0.88,0.998,0.998,-0.034,-0.043,0.048,0.048,
0.400,11111100,6,0,0,72,1,0.00,0.00,119.07,219.70,148.87,70.54,4.13,4.33,3.47,3.66,25.43,16.87,112.00,31.00,195.00,123.00,0.00,0.00,104.86,214.50,170.79,91.70,6.09,3.93,123.50,235.60,171.00,92.01,5.42,5.27,614.41,396.56,0.00,0.00,0.457,642.473,-38.404,22.648,-4.10,-3.95,-2.70,2.47,0.81,0.88,0.998,0.997,-0.055,-0.063,0.034,0.034,
0.411,11111100,1,0,0,74,1,0.00,0.00,122.99,208.33,151.97,64.82,4.12,4.19,3.52,3.35,24.96,9.90,114.00,29.00,203.00,114.00,0.00,0.00,107.00,207.61,172.31,89.77,5.77,4.61,125.86,229.53,172.10,91.30,4.75,5.36,609.78,391.83,0.00,0.00,0.501,583.520,-57.774,12.048,-4.10,-3.95,-2.70,2.47,0.81,0.88,0.995,0.995,-0.093,-0.102,0.019,0.019,
0.428,11111100,2,0,0,77,1,0.00,0.00,122.99,201.40,151.97,62.67,4.11,4.13,3.52,3.29,24.96,4.30,114.00,26.00,203.00,109.00,0.00,0.00,107.00,204.17,172.31,89.33,5.77,4.77,125.86,228.37,172.10,95.17,4.75,11.19,600.36,387.28,0.00,0.00,0.548,528.160,-77.319,10.472,-4.10,-3.94,-2.70,2.47,0.81,0.89,0.990,0.989,-0.139,-0.148,0.018,0.018,
0.444,11111100,2,0,0,80,1,0.00,0.00,111.82,201.40,140.63,62.67,4.05,4.13,3.23,3.29,21.74,4.30,108.00,26.00,182.00,109.00,0.00,0.00,101.50,204.17,169.50,89.33,5.56,4.77,120.86,228.37,171.88,95.17,7.81,11.19,586.88,371.51,0.00,0.00,0.584,487.736,-91.855,-37.689,-4.10,-3.94,-2.70,2.47,0.81,0.89,0.981,0.979,-0.178,-0.188,-0.077,-0.077,
0.483,11111100,6,0,0,87,1,0.00,0.00,111.82,202.34,140.63,61.37,4.04,4.10,3.22,3.18,21.74,-6.27,108.00,25.00,182.00,107.00,0.00,0.00,101.50,205.13,169.50,89.25,5.56,4.59,120.86,229.42,171.88,95.29,7.81,10.57,573.77,355.47,0.00,0.00,0.629,453.331,-82.269,-39.273,-4.10,-3.94,-2.70,2.47,0.81,0.89,0.982,0.980,-0.171,-0.182,-0.086,-0.086,
