ETVision: 1.0.6.8,Units: centimeters,3Space: No,Start_Recording: 2024-01-24 17:31:50:774
start_of_record,status,overtime_count,mark_value,XDAT,CU_video_field_num,Gaze_LAOI,LAOI_horz_gaze_coord,LAOI_vert_gaze_coord,left_pupil_pos_horz,right_pupil_pos_horz,left_pupil_pos_vert,right_pupil_pos_vert,left_pupil_diam,right_pupil_diam,left_pupil_height,right_pupil_height,left_ellipse_angle,right_ellipse_angle,left_eyelid_upper_vert,right_eyelid_upper_vert,left_eyelid_lower_vert,right_eyelid_lower_vert,left_blink_confidence,right_blink_confidence,left_cr_pos_horz,right_cr_pos_horz,left_cr_pos_vert,right_cr_pos_vert,left_cr_diam,right_cr_diam,left_cr2_pos_horz,right_cr2_pos_horz,left_cr2_pos_vert,right_cr2_pos_vert,left_cr2_diam,right_cr2_diam,horz_gaze_coord,vert_gaze_coord,horz_gaze_offset,vert_gaze_offset,vergence_angle,verg_gaze_coord_x,verg_gaze_coord_y,verg_gaze_coord_z,left_eye_location_x,right_eye_location_x,left_eye_location_y,right_eye_location_y,left_eye_location_z,right_eye_location_z,left_gaze_dir_x,right_gaze_dir_x,left_gaze_dir_y,right_gaze_dir_y,left_gaze_dir_z,right_gaze_dir_z
0,11111100,0,0,0,168,0,0,0,109.96,175.85,159.27,83.39,49.38,52.2,44.01,43.8,-36.75,-44.42,115,41,205,131,0,0,98.17,179.84,181.41,105.91,5.28,5.99,122.17,210,182.33,106.26,4.77,6.4,514.75,412.56,0,0,1.419,215.073,-42.954,15.817,-3.74,-3.47,-2.77,2.81,0.95,1.08,0.981,0.977,-0.18,-0.205,0.067,0.066
0.006,11111100,0,0,0,169,0,0,0,109.88,175.91,159.6,83.34,49.74,52.44,43.84,43.78,-34.95,-45.74,115,41,205,118,0,0,98.04,179.83,181.4,105.75,4.7,6.05,122.17,210.05,182.33,106.18,4.77,6.47,521.04,411.54,0,0,1.482,205.648,-41.216,15.582,-3.74,-3.47,-2.77,2.81,0.95,1.08,0.981,0.976,-0.18,-0.206,0.069,0.068
0.011,11111100,0,0,0,170,0,0,0,109.85,176,159.5,83.37,49.31,52.04,43.28,43.69,-31.3,-46.74,115,41,205,131,0,0,98.17,179.72,181.41,105.59,5.28,6.2,122.17,210,182.33,106.26,4.77,6.4,524.33,412.09,0,0,1.544,197.245,-39.561,14.816,-3.74,-3.47,-2.77,2.81,0.95,1.08,0.981,0.976,-0.18,-0.206,0.068,0.067
0.028,11111100,2,0,0,173,0,0,0,109.98,176.1,159.42,83.24,48.96,51.74,43.54,43.6,-27.99,-47.63,115,41,205,132,0,0,98.35,179.9,181.5,105.7,4.3,6.24,122.26,210,182.37,106.26,4.55,6.4,526.56,413.15,0,0,1.605,189.606,-37.942,13.86,-3.74,-3.47,-2.77,2.81,0.95,1.08,0.982,0.976,-0.179,-0.206,0.066,0.065
0.161,11111100,23,0,0,17,0,0,0,117.18,184.12,162.8,82.36,48.07,50.54,43.31,44.01,-23.67,-46.89,117,38,211,118,0,0,101.84,183.62,182.77,103.66,4.3,6.31,125.93,213.14,183.5,104.6,3.98,7.82,534.22,415.43,0,0,1.688,183.033,-24.113,17.8,-3.74,-3.47,-2.77,2.81,0.95,1.08,0.99,0.986,-0.113,-0.142,0.089,0.088
0.178,11111100,2,0,0,20,0,0,0,117.38,184.29,163.01,82.66,47.73,50.35,43.19,43.86,-20.58,-45.66,117,38,211,118,0,0,101.84,183.62,182.77,103.66,4.3,6.31,125.93,213.17,183.5,104.49,3.98,8.15,541.44,418.48,0,0,1.745,176.858,-23.065,18.016,-3.74,-3.47,-2.77,2.81,0.95,1.08,0.989,0.986,-0.111,-0.141,0.094,0.093
0.194,11111100,2,0,0,23,0,0,0,117.52,184.37,163.23,82.83,47.73,50.05,43.08,43.81,-15.91,-44.37,117,38,212,118,0,0,102,183.62,183,103.66,4.41,6.31,125.93,213.39,183.5,104.73,3.98,8.17,547.92,422.08,0,0,1.803,171.061,-22.196,17.805,-3.74,-3.47,-2.77,2.81,0.95,1.08,0.989,0.985,-0.11,-0.141,0.095,0.094
0.272,11111100,13,0,0,37,0,0,0,117.52,185.54,163.23,84.25,47.73,50.07,43.08,44.22,-15.91,-42.06,117,53,212,117,0,0,102,183.87,183,103.75,4.41,4.59,125.93,213.86,183.5,104.28,3.98,6.78,554.99,426.52,0,0,1.846,166.965,-20.738,18.946,-3.74,-3.47,-2.77,2.81,0.95,1.08,0.989,0.985,-0.104,-0.136,0.104,0.103
0.289,11111100,2,0,0,40,0,0,0,117.52,185.65,163.23,84.4,47.73,49.71,43.08,44.28,-15.91,-41.62,117,41,212,117,0,0,102,183.99,183,103.85,4.41,5.04,125.93,213.78,183.5,104.12,3.98,6.92,562.09,431.24,0,0,1.886,163.286,-20.244,18.813,-3.74,-3.48,-2.77,2.8,0.95,1.08,0.989,0.985,-0.103,-0.136,0.106,0.105
0.333,11111100,7,0,0,48,0,0,0,118.59,185.65,164.96,84.4,47.55,49.71,42.85,44.28,-4.93,-41.62,120,41,210,117,0,0,102.32,183.99,183.68,103.85,4.63,5.04,126.5,213.78,184,104.12,3.45,6.92,569.55,437.7,0,0,1.948,157.866,-18.894,20.202,-3.74,-3.48,-2.77,2.8,0.95,1.08,0.988,0.984,-0.099,-0.132,0.118,0.117
0.35,11111100,2,0,0,51,0,0,0,118.17,186.23,164.72,84.47,48.24,49.74,42.3,43.84,-8,-39.93,130,41,210,117,0,0,102.32,184.34,183.68,104.09,4.63,4.86,126.5,214.16,184,104.31,3.45,7.63,570.76,440.78,0,0,1.989,154.711,-18.363,19.088,-3.74,-3.48,-2.77,2.8,0.95,1.08,0.989,0.985,-0.097,-0.132,0.113,0.112
0.367,11111100,2,0,0,54,0,0,0,118.17,186.37,164.72,84.26,48.24,49.63,42.3,44.17,-8,-39.46,130,40,210,118,0,0,102.32,184.36,183.68,104,4.63,4.85,126.5,214.16,184,104.31,3.45,7.63,571.91,443.19,0,0,2.023,152.065,-17.953,18.607,-3.74,-3.48,-2.77,2.8,0.95,1.08,0.989,0.985,-0.096,-0.131,0.112,0.111
0.378,11111100,1,0,0,56,0,0,0,118.17,186.42,164.72,84.1,48.24,49.33,42.3,43.61,-8,-38.2,130,41,210,117,0,0,102.32,184.42,183.68,103.77,4.63,5.13,126.5,214.37,184,104.08,3.45,7.65,573.01,445.39,0,0,2.054,149.715,-17.651,18.379,-3.74,-3.48,-2.77,2.8,0.95,1.08,0.989,0.985,-0.096,-0.132,0.112,0.111
0.422,11111100,7,0,0,64,0,0,0,119.33,186.42,164.54,84.1,47.76,49.33,42.34,43.61,0.77,-38.2,119,41,195,117,0,0,102.68,184.42,183.32,103.77,4.63,5.13,126.63,214.37,184.13,104.08,3.93,7.65,574.05,446.73,0,0,2.109,145.759,-16.465,18.2,-3.75,-3.48,-2.77,2.8,0.95,1.08,0.989,0.985,-0.091,-0.127,0.114,0.113
0.461,11111100,6,0,0,71,0,0,0,120.26,186.76,164.67,83.66,47.66,49.3,42.92,43.67,1.53,-37.57,120,28,208,117,0,0,102.82,184.51,183.28,103.65,4.9,5.25,127.37,214.58,183.87,104.04,3.92,7.44,575.59,448.03,0,0,2.179,141.082,-15.143,17.805,-3.74,-3.48,-2.77,2.8,0.95,1.08,0.99,0.986,-0.085,-0.122,0.115,0.114
0.5,11111100,6,0,0,78,0,0,0,120.26,188.82,164.67,82.58,47.66,49.58,42.92,43.11,1.53,-35.39,120,51,208,125,0,0,102.82,185.5,183.28,103.31,4.9,5.43,127.37,215.5,183.87,103.5,3.92,7.35,577.66,446.71,0,0,2.196,140.332,-13.67,16.384,-3.74,-3.48,-2.77,2.8,0.95,1.08,0.992,0.988,-0.075,-0.113,0.106,0.105
0.539,11111100,6,0,0,85,0,0,0,121.55,188.16,164.62,82.76,48.11,49.33,41.79,43.34,4.66,-36.5,120,42,195,126,0,0,103.68,185.27,183.59,103.38,4.38,5.22,127.74,215.27,184.12,103.57,4.26,7.33,579.85,446.3,0,0,2.255,136.507,-12.971,16.373,-3.74,-3.47,-2.77,2.8,0.95,1.08,0.991,0.988,-0.072,-0.111,0.109,0.108
0.544,11111100,0,0,0,86,0,0,0,121.46,188.16,164.6,82.76,48.27,49.33,42.45,43.34,7.05,-36.5,119,42,207,126,0,0,103.68,185.27,183.59,103.38,4.38,5.22,127.9,215.27,184.01,103.57,4.3,7.33,581.96,446.02,0,0,2.31,133.191,-12.702,15.979,-3.74,-3.47,-2.77,2.8,0.95,1.08,0.991,0.988,-0.072,-0.112,0.109,0.108
0.583,11111100,6,0,0,93,0,0,0,122.18,188.16,165,82.76,48.19,49.33,42.74,43.34,8.39,-36.5,120,42,206,126,0,0,104,185.27,184,103.38,4.41,5.22,128.29,215.27,184.14,103.57,3.88,7.33,584.33,446.06,0,0,2.382,129.075,-11.917,15.888,-3.74,-3.47,-2.77,2.8,0.95,1.08,0.991,0.988,-0.068,-0.11,0.112,0.11
0.594,11111100,1,0,0,95,0,0,0,121.35,190.64,164.64,81.86,47.82,50.14,42.26,43.11,3.63,-31.86,120,41,207,113,0,0,103.54,186.35,183.51,103.16,4.62,5.99,127.63,216.34,184.13,103.23,3.93,7.6,587.02,444.34,0,0,2.359,130.654,-10.965,14.406,-3.74,-3.47,-2.77,2.8,0.95,1.08,0.993,0.99,-0.061,-0.102,0.099,0.098
0.617,11111100,3,0,0,99,0,0,0,122.37,190.85,165.26,81.77,48.36,50.2,43.19,43.56,8.33,-30.5,120,41,207,125,0,0,104,186.42,184,103.05,4.41,6,128.13,216.52,184.27,103.09,3.65,7.63,589.68,443.02,0,0,2.359,130.663,-10.269,15.027,-3.74,-3.47,-2.76,2.8,0.95,1.08,0.993,0.99,-0.055,-0.096,0.104,0.103
0.661,11111100,7,0,0,107,0,0,0,122.37,191.15,165.26,81.17,48.36,50.44,43.19,43.19,8.33,-29,120,40,207,125,0,0,104,186.65,184,102.73,4.41,6.13,128.13,216.62,184.27,102.7,3.65,7.64,591.55,442.48,0,0,2.351,131.166,-10.131,14.714,-3.74,-3.47,-2.76,2.8,0.95,1.08,0.993,0.99,-0.054,-0.095,0.101,0.1
0.678,11111100,2,0,0,110,0,0,0,122.69,191.15,165.2,81.17,48.31,50.44,42.45,43.19,6.85,-29,120,40,207,125,0,0,103.86,186.65,184.1,102.73,4.74,6.13,128.13,216.62,184.27,102.7,3.65,7.64,593.36,441.58,0,0,2.352,131.094,-9.906,14.713,-3.74,-3.47,-2.76,2.8,0.95,1.08,0.993,0.991,-0.053,-0.094,0.101,0.1
0.694,11111100,2,0,0,113,0,0,0,122.48,191.01,165.23,80.82,48.39,50.64,42.85,43.73,8.29,-27.7,119,40,207,115,0,0,104,186.5,184,102.31,4.41,5.43,128.13,216.44,184.27,102.42,3.65,7.31,595.07,440.65,0,0,2.352,131.072,-10.077,14.699,-3.74,-3.47,-2.76,2.8,0.95,1.08,0.993,0.99,-0.054,-0.095,0.101,0.1
0.7,11111100,0,0,0,114,0,0,0,122.48,191.11,165.23,80.61,48.39,50.97,42.85,43.04,8.29,-26.07,119,39,207,124,0,0,104,186.5,184,102.31,4.41,5.43,128.13,216.44,184.27,102.42,3.65,7.31,596.56,439.16,0,0,2.349,131.267,-10.02,14.499,-3.74,-3.47,-2.76,2.8,0.95,1.08,0.994,0.991,-0.053,-0.094,0.1,0.099
0.739,11111100,6,0,0,121,0,0,0,122.48,190.87,165.23,79.87,48.39,50.76,42.85,43.6,8.29,-23.88,119,45,207,123,0,0,104,186.27,184,101.77,4.41,5.96,128.13,216.36,184.27,102.09,3.65,7.7,597.17,438.93,0,0,2.35,131.238,-10.142,14.208,-3.74,-3.47,-2.76,2.8,0.95,1.08,0.994,0.991,-0.054,-0.095,0.098,0.097
0.756,11111100,2,0,0,124,0,0,0,122.22,190.87,165.15,79.87,48.47,50.76,42.98,43.6,8.73,-23.88,120,45,207,123,0,0,103.65,186.27,184.12,101.77,5.19,5.96,127.95,216.36,184.73,102.09,3.9,7.7,597.21,437.8,0,0,2.344,131.587,-10.28,13.875,-3.74,-3.47,-2.76,2.8,0.95,1.08,0.994,0.991,-0.055,-0.096,0.095,0.094
0.8,11111100,7,0,0,132,0,0,0,122.22,190.92,165.15,79.22,48.47,51.19,42.98,42.83,8.73,-22.36,120,38,207,123,0,0,103.65,186.09,184.12,101.26,5.19,5.96,127.95,216.3,184.73,101.65,3.9,7.71,597.19,436.76,0,0,2.335,132.17,-10.243,13.659,-3.74,-3.47,-2.76,2.8,0.95,1.08,0.994,0.991,-0.055,-0.095,0.093,0.092
0.817,11111100,2,0,0,135,0,0,0,122.05,190.84,165.61,79.28,49.43,51.3,41.9,42.9,7.12,-21.31,133,47,207,122,0,0,103.5,186.09,184.23,101.26,4.99,5.96,127.8,216.21,184.78,101.6,4.16,7.62,596.98,436.12,0,0,2.327,132.594,-10.318,14.153,-3.74,-3.47,-2.76,2.81,0.95,1.08,0.994,0.991,-0.055,-0.096,0.096,0.095
